iteration	BLstm1_backward_c	BLstm1_backward_r	BLstm1_forward_c	BLstm1_forward_r	BLstm2_backward_c	BLstm2_backward_r	BLstm2_forward_c	BLstm2_forward_r	BLstm3_backward_c	BLstm3_backward_r	BLstm3_forward_c	BLstm3_forward_r
1	0.0	0.0	0.0	0.0	None	None	None	None	None	None	None	None
2	0.0	0.0	0.0	0.0	None	None	None	None	None	None	None	None
3	0.0	0.0	0.0	0.0	4.39958e-05	0.0	8.01353e-06	0.0	None	None	None	None
4	0.0	0.0	5.79586e-06	0.0	2.89793e-06	0.0	0.0	0.0	None	None	None	None
5	1.12905e-05	0.0	9.73322e-08	0.0	2.07317e-05	0.0	0.0	0.0	9.73322e-08	0.0	0.0	0.0
6	4.71694e-06	0.0	1.57231e-06	0.0	3.30186e-06	0.0	0.0	0.0	0.0	0.0	1.5452e-05	0.0
7	6.22411e-06	0.0	1.59061e-05	0.0	1.40043e-05	0.0	1.72892e-07	0.0	0.0	0.0	0.0	0.0
8	6.34296e-06	0.0	2.4396e-06	0.0	4.066e-06	0.0	1.6264e-07	0.0	7.80672e-06	0.0	5.60166e-06	0.0
9	0.0	0.0	0.0	0.0	3.41313e-06	0.0	8.53283e-07	0.0	1.1946e-06	0.0	3.63172e-06	0.0
10	7.21329e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22954e-05	0.0	1.24592e-05	0.0
11	0.0	0.0	0.0	0.0	1.73478e-05	0.0	0.0	0.0	6.36615e-07	0.0	7.25781e-06	0.0
12	0.0	0.0	8.95568e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	7.55202e-06	0.0	2.46597e-06	0.0	3.85307e-06	0.0	1.38711e-06	0.0	0.0	0.0	1.24945e-05	0.0
14	6.59499e-06	0.0	8.43546e-06	0.0	9.96918e-06	0.0	0.0	0.0	3.06744e-07	0.0	9.32604e-07	0.0
15	9.33009e-07	0.0	0.0	0.0	2.48802e-06	0.0	5.28705e-06	0.0	0.0	0.0	0.0	0.0
16	2.04761e-05	0.0	1.12095e-05	0.0	0.0	0.0	0.0	0.0	4.33435e-06	0.0	6.96634e-06	0.0
17	3.45674e-05	0.0	0.0	0.0	1.16272e-05	0.0	0.0	0.0	3.45674e-06	0.0	4.2989e-06	0.0
18	1.74406e-05	0.0	0.0	0.0	7.58289e-06	0.0	0.0	0.0	0.0	0.0	1.19862e-05	0.0
19	5.76431e-06	0.0	7.24233e-06	0.0	5.91211e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	0.0	0.0	0.0	0.0	1.51201e-07	0.0	1.04329e-05	0.0	0.0	0.0	0.0	0.0
21	2.24463e-06	0.0	0.0	0.0	2.2596e-05	0.0	0.0	0.0	1.09239e-05	0.0	0.0	0.0
22	3.66757e-05	0.0	9.09438e-06	0.0	9.39255e-06	0.0	2.23632e-06	0.0	2.10214e-05	0.0	0.0	0.0
23	5.20506e-06	0.0	8.92295e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.50691e-07	0.0
24	1.24117e-05	0.0	7.17786e-06	0.0	5.98155e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	1.79797e-06	0.0	0.0	0.0	0.0	0.0	2.39729e-06	0.0	0.0	0.0	0.0	0.0
26	8.85547e-07	0.0	2.06628e-06	0.0	8.85547e-06	0.0	0.0	0.0	3.54219e-06	0.0	0.0	0.0
27	5.96449e-06	0.0	7.90295e-06	0.0	3.5787e-06	0.0	1.49112e-07	0.0	0.0	0.0	0.0	0.0
28	7.39842e-07	0.0	2.07156e-06	0.0	0.0	0.0	0.0	0.0	6.36264e-06	0.0	0.0	0.0
29	8.98891e-06	0.0	8.37949e-06	0.0	1.03601e-05	0.0	3.04709e-07	0.0	5.94182e-06	0.0	0.0	0.0
30	1.79057e-05	0.0	8.12529e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	1.00397e-05	0.0	0.0	0.0	2.06699e-06	0.0	0.0	0.0	7.97267e-06	0.0	0.0	0.0
32	2.07745e-05	0.0	1.14923e-05	0.0	0.0	0.0	3.68342e-06	0.0	7.36684e-07	0.0	2.68737e-06	0.0
33	6.55849e-06	0.0	1.35542e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32919e-06	0.0
34	5.7596e-06	0.0	5.7596e-06	0.0	0.0	0.0	3.249e-06	0.0	4.8735e-06	0.0	0.0	0.0
35	1.50682e-05	0.0	5.90912e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.98894e-06	0.0
36	7.78944e-06	0.0	7.64782e-06	0.0	1.37377e-05	0.0	0.0	0.0	0.0	0.0	1.43515e-07	0.0
37	7.2004e-06	0.0	5.14314e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	4.15947e-06	0.0	5.79355e-06	0.0	4.45657e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	6.93885e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.45751e-06	0.0	0.0	0.0
40	6.98481e-06	0.0	8.43998e-06	0.0	8.00343e-06	0.0	7.27585e-07	0.0	1.45517e-07	0.0	3.09664e-06	0.0
41	4.18531e-06	0.0	8.52009e-06	0.0	1.18086e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	2.48857e-05	0.0	7.76779e-06	0.0	0.0	0.0	6.76085e-06	0.0	2.87696e-06	0.0	0.0	0.0
43	1.17735e-05	0.0	4.50592e-06	0.0	7.55833e-06	0.0	6.25015e-06	0.0	0.0	0.0	0.0	0.0
44	1.19771e-05	0.0	8.1273e-06	0.0	1.19771e-05	0.0	0.0	0.0	2.13876e-06	0.0	0.0	0.0
45	2.98617e-05	0.0	1.1474e-05	0.0	3.67755e-06	0.0	1.41218e-05	0.0	0.0	0.0	0.0	0.0
46	1.89203e-05	0.0	4.10674e-06	0.0	6.16011e-06	0.0	2.93339e-07	0.0	0.0	0.0	0.0	0.0
47	1.61289e-05	0.0	8.57303e-06	0.0	8.71833e-07	0.0	0.0	0.0	2.90611e-07	0.0	1.91408e-06	0.0
48	2.53662e-05	0.0	1.44126e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.11131e-06	0.0
49	2.87961e-06	0.0	2.10211e-05	0.0	0.0	0.0	4.31941e-06	0.0	5.32728e-06	0.0	0.0	0.0
50	4.70351e-05	0.0	2.38793e-05	0.0	1.73668e-06	0.0	8.6834e-07	0.0	4.48642e-06	0.0	2.05299e-06	0.0
51	3.16922e-05	0.0	1.07068e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.36583e-06	0.0
52	1.70536e-05	0.0	2.07796e-05	0.0	0.0	0.0	2.00631e-06	0.0	0.0	0.0	0.0	0.0
53	1.263e-05	0.0	4.87976e-06	0.0	0.0	0.0	5.31033e-06	0.0	0.0	0.0	0.0	0.0
54	2.54249e-05	0.0	1.87418e-05	0.0	1.68531e-05	0.0	1.45285e-07	0.0	0.0	0.0	0.0	0.0
55	1.95255e-05	0.0	8.48935e-06	0.0	1.41489e-07	0.0	0.0	0.0	1.41489e-07	0.0	0.0	0.0
56	2.12615e-05	0.0	1.92503e-05	0.0	8.61952e-06	0.0	0.0	0.0	3.87878e-06	0.0	0.0	0.0
57	4.80427e-05	0.0	9.80463e-06	0.0	6.16291e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	2.8281e-05	0.0	1.19153e-05	0.0	0.0	0.0	2.00982e-06	0.0	0.0	0.0	0.0	0.0
59	5.38052e-05	0.0	5.8011e-06	0.0	0.0	0.0	0.0	0.0	3.91574e-06	0.0	8.22957e-06	0.0
60	2.12272e-05	0.0	1.16884e-05	0.0	1.47785e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61	1.72584e-05	0.0	1.88274e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.22662e-07	0.0
62	2.74612e-05	0.0	5.86412e-06	0.0	0.0	0.0	4.00476e-06	0.0	2.86055e-07	0.0	0.0	0.0
63	1.8956e-05	0.0	6.92623e-06	0.0	0.0	0.0	0.0	0.0	3.09858e-06	0.0	9.25272e-07	0.0
64	1.44189e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65	2.29787e-05	0.0	5.12749e-06	0.0	5.69721e-07	0.0	4.36786e-06	0.0	1.51926e-06	0.0	0.0	0.0
66	1.79922e-05	0.0	2.84088e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.49898e-06	0.0
67	4.37519e-05	0.0	1.58762e-05	0.0	0.0	0.0	1.16303e-05	0.0	5.53822e-06	0.0	3.72874e-07	0.0
