Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
1	0.518	0.272	0.169	0.0697
2	0.498	0.256	0.18	0.0635
3	0.496	0.253	0.179	0.0599
4	0.502	0.253	0.179	0.0583
5	0.5	0.251	0.18	0.0573
6	0.497	0.25	0.18	0.0558
7	0.497	0.249	0.18	0.0551
8	0.496	0.248	0.18	0.0551
9	0.495	0.248	0.181	0.0548
10	0.494	0.247	0.181	0.0545
11	0.493	0.246	0.181	0.0543
12	0.492	0.247	0.181	0.0546
13	0.49	0.247	0.181	0.0546
14	0.489	0.246	0.181	0.0545
15	0.489	0.246	0.181	0.0547
16	0.489	0.246	0.181	0.0546
17	0.489	0.246	0.181	0.0546
18	0.488	0.245	0.181	0.0545
19	0.487	0.245	0.181	0.0545
20	0.486	0.245	0.181	0.0544
21	0.486	0.245	0.181	0.0546
22	0.485	0.245	0.181	0.0544
23	0.485	0.245	0.181	0.0544
24	0.484	0.245	0.181	0.0543
25	0.484	0.245	0.181	0.0543
26	0.483	0.244	0.182	0.0542
27	0.482	0.244	0.182	0.0543
28	0.481	0.244	0.181	0.0543
29	0.481	0.244	0.182	0.0543
30	0.48	0.244	0.182	0.0543
31	0.48	0.244	0.182	0.0542
32	0.479	0.244	0.182	0.0543
33	0.479	0.244	0.182	0.0543
34	0.478	0.244	0.182	0.0542
35	0.478	0.244	0.182	0.0544
36	0.477	0.244	0.182	0.0544
37	0.477	0.243	0.182	0.0544
38	0.477	0.244	0.182	0.0545
39	0.476	0.244	0.182	0.0545
40	0.475	0.244	0.182	0.0544
41	0.475	0.243	0.182	0.0545
42	0.474	0.243	0.182	0.0543
43	0.474	0.243	0.182	0.0543
44	0.473	0.243	0.182	0.0544
45	0.473	0.244	0.181	0.0546
46	0.472	0.244	0.181	0.0545
47	0.471	0.243	0.182	0.0545
48	0.471	0.244	0.181	0.0547
49	0.471	0.244	0.181	0.0547
50	0.47	0.243	0.181	0.0545
51	0.47	0.243	0.181	0.0546
52	0.47	0.243	0.181	0.0545
53	0.469	0.243	0.181	0.0546
54	0.468	0.243	0.181	0.0546
55	0.468	0.243	0.181	0.0546
56	0.468	0.243	0.181	0.0547
57	0.468	0.243	0.181	0.0547
58	0.467	0.243	0.181	0.0548
59	0.466	0.243	0.181	0.0547
60	0.465	0.243	0.181	0.0547
61	0.465	0.242	0.182	0.0547
62	0.464	0.242	0.182	0.0548
63	0.463	0.242	0.182	0.0546
64	0.463	0.242	0.182	0.0545
65	0.462	0.242	0.182	0.0546
66	0.462	0.242	0.182	0.0546
67	0.461	0.242	0.182	0.0547
68	0.462	0.242	0.182	0.0547
69	0.462	0.242	0.181	0.0547
70	0.461	0.242	0.181	0.0548
71	0.46	0.242	0.182	0.0548
72	0.46	0.242	0.182	0.0548
73	0.459	0.242	0.182	0.0547
74	0.458	0.242	0.182	0.0547
75	0.458	0.241	0.182	0.0546
76	0.458	0.242	0.181	0.0547
77	0.457	0.242	0.181	0.0548
78	0.457	0.242	0.181	0.0548
79	0.456	0.242	0.181	0.0547
80	0.455	0.242	0.181	0.0548
81	0.455	0.242	0.181	0.0548
82	0.455	0.242	0.181	0.0548
83	0.455	0.242	0.181	0.0548
84	0.455	0.242	0.181	0.0548
85	0.454	0.241	0.181	0.0548
86	0.454	0.242	0.181	0.0548
87	0.454	0.242	0.181	0.0549
88	0.453	0.242	0.181	0.055
89	0.453	0.242	0.181	0.0551
90	0.453	0.242	0.181	0.055
91	0.453	0.242	0.181	0.0551
92	0.452	0.242	0.181	0.055
93	0.452	0.242	0.181	0.055
94	0.451	0.241	0.181	0.0549
95	0.451	0.242	0.181	0.055
96	0.451	0.241	0.181	0.055
97	0.45	0.241	0.181	0.055
98	0.449	0.241	0.181	0.055
99	0.449	0.241	0.181	0.0549
100	0.449	0.241	0.181	0.0549
101	0.448	0.241	0.181	0.055
102	0.448	0.241	0.181	0.055
103	0.448	0.242	0.18	0.0551
104	0.448	0.241	0.18	0.055
105	0.447	0.241	0.181	0.055
106	0.446	0.241	0.181	0.0551
107	0.446	0.241	0.181	0.055
108	0.446	0.241	0.18	0.0552
109	0.446	0.241	0.18	0.0553
110	0.445	0.241	0.18	0.0553
111	0.445	0.241	0.18	0.0552
112	0.445	0.241	0.18	0.0553
113	0.444	0.241	0.18	0.0553
114	0.444	0.241	0.18	0.0554
115	0.443	0.241	0.18	0.0554
116	0.443	0.241	0.18	0.0553
117	0.443	0.241	0.18	0.0552
118	0.443	0.241	0.18	0.0553
119	0.442	0.241	0.18	0.0553
120	0.442	0.241	0.18	0.0554
121	0.441	0.241	0.18	0.0555
122	0.441	0.241	0.18	0.0555
123	0.441	0.241	0.18	0.0555
124	0.441	0.241	0.18	0.0556
125	0.441	0.241	0.18	0.0556
126	0.441	0.242	0.179	0.0556
127	0.44	0.242	0.179	0.0556
128	0.439	0.242	0.179	0.0557
129	0.439	0.241	0.179	0.0557
130	0.439	0.241	0.179	0.0556
131	0.438	0.241	0.179	0.0555
132	0.438	0.241	0.179	0.0556
133	0.438	0.241	0.179	0.0556
134	0.438	0.241	0.179	0.0557
135	0.437	0.241	0.179	0.0557
136	0.437	0.241	0.179	0.0557
137	0.437	0.241	0.179	0.0556
138	0.436	0.242	0.179	0.0558
139	0.436	0.242	0.179	0.0557
140	0.436	0.241	0.179	0.0557
141	0.436	0.242	0.179	0.0558
142	0.435	0.241	0.179	0.0557
143	0.435	0.241	0.179	0.0557
144	0.434	0.241	0.179	0.0557
145	0.434	0.242	0.179	0.0557
146	0.434	0.242	0.179	0.0558
147	0.433	0.241	0.179	0.0557
148	0.433	0.242	0.178	0.0558
149	0.433	0.242	0.178	0.0559
150	0.433	0.242	0.178	0.0559
151	0.433	0.241	0.178	0.0559
152	0.432	0.242	0.178	0.0559
153	0.432	0.242	0.178	0.056
154	0.432	0.242	0.178	0.056
155	0.431	0.242	0.178	0.0561
156	0.431	0.242	0.178	0.0561
157	0.43	0.242	0.178	0.0561
158	0.43	0.242	0.178	0.0561
