Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
3	-0.00412	0.679	0.481	0.294
4	-0.00316	0.689	0.459	0.275
5	-0.00113	0.668	0.448	0.245
6	0.000161	0.647	0.456	0.23
7	0.0025	0.637	0.455	0.219
8	0.00377	0.632	0.458	0.212
9	0.00429	0.629	0.458	0.206
10	0.00305	0.624	0.459	0.2
11	0.00338	0.62	0.459	0.194
12	0.00274	0.618	0.458	0.191
13	0.00265	0.617	0.455	0.187
14	0.00123	0.614	0.455	0.184
15	0.00101	0.614	0.454	0.182
16	0.000222	0.613	0.452	0.18
17	0.000104	0.613	0.449	0.178
18	-0.000229	0.611	0.449	0.176
19	-0.000818	0.61	0.447	0.174
20	-0.00193	0.61	0.445	0.173
21	-0.0018	0.611	0.442	0.172
22	-0.00123	0.61	0.441	0.171
23	-0.00225	0.61	0.439	0.17
24	-0.00339	0.61	0.438	0.17
25	-0.00215	0.608	0.436	0.169
26	-0.00248	0.609	0.436	0.169
27	-0.00254	0.608	0.434	0.168
28	-0.00336	0.609	0.431	0.167
29	-0.00357	0.609	0.43	0.167
30	-0.00389	0.609	0.428	0.166
31	-0.00454	0.608	0.428	0.166
32	-0.00497	0.608	0.427	0.166
33	-0.00504	0.609	0.426	0.166
34	-0.00442	0.608	0.425	0.165
35	-0.00485	0.608	0.423	0.165
36	-0.00483	0.608	0.422	0.164
37	-0.0058	0.608	0.422	0.165
38	-0.00458	0.607	0.42	0.165
39	-0.00592	0.608	0.419	0.164
40	-0.00566	0.607	0.418	0.164
41	-0.00557	0.608	0.417	0.164
42	-0.00613	0.607	0.417	0.164
43	-0.00636	0.608	0.416	0.164
44	-0.00678	0.608	0.415	0.164
45	-0.00698	0.608	0.414	0.164
46	-0.00707	0.608	0.413	0.164
47	-0.00577	0.609	0.412	0.164
48	-0.00639	0.609	0.411	0.164
49	-0.00773	0.608	0.41	0.164
50	-0.00824	0.608	0.409	0.164
51	-0.00795	0.608	0.408	0.164
52	-0.00691	0.609	0.408	0.164
53	-0.00627	0.61	0.406	0.165
54	-0.00714	0.61	0.406	0.165
55	-0.00766	0.611	0.405	0.165
56	-0.00806	0.611	0.404	0.165
57	-0.00721	0.61	0.404	0.165
58	-0.00659	0.61	0.404	0.165
59	-0.00735	0.61	0.403	0.164
60	-0.00725	0.611	0.402	0.165
61	-0.00764	0.611	0.402	0.164
62	-0.00616	0.61	0.402	0.165
63	-0.00642	0.61	0.401	0.164
64	-0.006	0.61	0.401	0.165
65	-0.00676	0.611	0.4	0.165
66	-0.00693	0.611	0.399	0.165
67	-0.0063	0.611	0.399	0.165
68	-0.00684	0.612	0.398	0.165
69	-0.00678	0.611	0.398	0.166
70	-0.00676	0.611	0.398	0.165
71	-0.00713	0.611	0.397	0.165
72	-0.00828	0.612	0.397	0.166
73	-0.00803	0.611	0.397	0.165
74	-0.00719	0.612	0.396	0.166
75	-0.00758	0.611	0.396	0.166
76	-0.00768	0.611	0.396	0.166
77	-0.00786	0.612	0.395	0.166
78	-0.00754	0.612	0.394	0.166
79	-0.00772	0.612	0.394	0.166
80	-0.00775	0.612	0.393	0.166
81	-0.00736	0.612	0.393	0.167
82	-0.00779	0.611	0.393	0.166
83	-0.00757	0.612	0.393	0.167
84	-0.00707	0.612	0.393	0.167
85	-0.00671	0.611	0.392	0.167
86	-0.00676	0.611	0.392	0.166
87	-0.00696	0.612	0.391	0.167
88	-0.00699	0.612	0.391	0.166
89	-0.00736	0.612	0.39	0.167
90	-0.00666	0.612	0.39	0.166
