Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
3	0.509	0.269	0.168	0.0687
4	0.483	0.256	0.176	0.0641
5	0.484	0.248	0.177	0.0593
6	0.484	0.242	0.179	0.0565
7	0.482	0.239	0.179	0.0547
8	0.48	0.239	0.179	0.0546
9	0.48	0.238	0.179	0.0543
10	0.479	0.237	0.179	0.0542
11	0.478	0.237	0.179	0.054
12	0.477	0.237	0.179	0.0539
13	0.476	0.236	0.179	0.0537
14	0.475	0.236	0.179	0.0535
15	0.475	0.236	0.178	0.0536
16	0.475	0.235	0.178	0.0536
17	0.473	0.235	0.178	0.0533
18	0.473	0.234	0.178	0.0532
19	0.472	0.234	0.178	0.053
20	0.472	0.233	0.178	0.0529
21	0.471	0.233	0.178	0.0527
22	0.47	0.234	0.178	0.0527
23	0.47	0.234	0.177	0.0528
24	0.469	0.234	0.177	0.0531
25	0.469	0.234	0.177	0.0529
26	0.468	0.234	0.177	0.0529
27	0.468	0.234	0.177	0.0527
28	0.466	0.235	0.177	0.0529
29	0.466	0.235	0.176	0.0528
30	0.466	0.234	0.176	0.0528
31	0.465	0.234	0.176	0.0528
32	0.464	0.235	0.176	0.053
33	0.464	0.234	0.176	0.0527
34	0.463	0.234	0.176	0.0528
35	0.463	0.235	0.176	0.0528
36	0.463	0.234	0.176	0.0526
37	0.462	0.234	0.176	0.0526
38	0.462	0.234	0.176	0.0525
39	0.46	0.234	0.176	0.0524
40	0.46	0.234	0.175	0.0523
41	0.459	0.234	0.175	0.0523
42	0.46	0.234	0.175	0.0524
43	0.46	0.234	0.175	0.0525
44	0.459	0.234	0.175	0.0525
45	0.459	0.234	0.175	0.0525
46	0.458	0.235	0.175	0.0526
47	0.457	0.235	0.175	0.0525
48	0.457	0.235	0.174	0.0524
49	0.457	0.235	0.174	0.0523
50	0.456	0.235	0.174	0.0525
51	0.457	0.235	0.174	0.0522
52	0.456	0.235	0.174	0.0522
53	0.455	0.235	0.174	0.0524
54	0.455	0.236	0.174	0.0526
55	0.455	0.236	0.173	0.0526
56	0.455	0.236	0.173	0.0527
57	0.455	0.237	0.173	0.0526
58	0.454	0.236	0.173	0.0525
59	0.454	0.235	0.173	0.0523
60	0.453	0.235	0.173	0.0524
61	0.453	0.236	0.173	0.0525
62	0.452	0.236	0.173	0.0525
63	0.452	0.235	0.173	0.0523
64	0.453	0.236	0.173	0.0524
65	0.452	0.236	0.173	0.0524
66	0.451	0.236	0.173	0.0525
67	0.451	0.236	0.173	0.0527
68	0.45	0.236	0.173	0.0526
69	0.449	0.236	0.173	0.0525
70	0.45	0.237	0.173	0.0525
71	0.451	0.237	0.172	0.0526
72	0.45	0.237	0.172	0.0527
73	0.449	0.237	0.172	0.0525
74	0.449	0.237	0.172	0.0527
75	0.449	0.237	0.172	0.0528
76	0.449	0.237	0.172	0.0527
77	0.448	0.237	0.172	0.0527
78	0.448	0.238	0.172	0.0527
79	0.449	0.237	0.172	0.0526
80	0.448	0.238	0.172	0.0527
81	0.448	0.238	0.172	0.0527
82	0.448	0.238	0.172	0.0528
83	0.447	0.238	0.172	0.0528
84	0.447	0.238	0.172	0.0527
85	0.448	0.238	0.172	0.0527
86	0.447	0.238	0.172	0.0527
87	0.446	0.238	0.172	0.0527
88	0.447	0.238	0.172	0.0527
89	0.447	0.238	0.171	0.0529
90	0.446	0.238	0.171	0.0529
91	0.446	0.238	0.171	0.0528
92	0.446	0.238	0.171	0.0529
93	0.445	0.239	0.171	0.053
94	0.445	0.239	0.171	0.0531
95	0.445	0.239	0.171	0.0531
96	0.445	0.239	0.171	0.0531
97	0.445	0.239	0.171	0.0531
98	0.444	0.239	0.171	0.0532
99	0.443	0.239	0.171	0.0532
100	0.444	0.239	0.171	0.0532
101	0.444	0.239	0.171	0.0531
102	0.443	0.239	0.171	0.0533
103	0.444	0.239	0.171	0.0533
104	0.444	0.24	0.171	0.0534
105	0.444	0.24	0.17	0.0534
106	0.444	0.24	0.17	0.0535
107	0.444	0.24	0.17	0.0533
108	0.443	0.24	0.17	0.0534
109	0.443	0.24	0.17	0.0534
110	0.444	0.24	0.17	0.0534
111	0.443	0.24	0.17	0.0533
112	0.443	0.24	0.17	0.0533
113	0.443	0.24	0.17	0.0533
114	0.443	0.24	0.17	0.0533
115	0.443	0.24	0.17	0.0533
116	0.443	0.24	0.17	0.0533
117	0.442	0.24	0.17	0.0534
118	0.442	0.241	0.17	0.0535
119	0.442	0.241	0.17	0.0535
120	0.441	0.241	0.17	0.0533
121	0.442	0.241	0.17	0.0534
122	0.441	0.241	0.17	0.0535
123	0.441	0.241	0.17	0.0535
124	0.442	0.241	0.169	0.0536
125	0.441	0.241	0.169	0.0535
126	0.441	0.241	0.169	0.0535
127	0.441	0.241	0.169	0.0535
128	0.441	0.242	0.169	0.0535
129	0.44	0.242	0.169	0.0537
130	0.441	0.242	0.169	0.0537
131	0.442	0.242	0.169	0.0536
132	0.441	0.242	0.169	0.0537
133	0.441	0.242	0.169	0.0537
134	0.441	0.242	0.169	0.0536
135	0.44	0.242	0.169	0.0537
136	0.441	0.242	0.169	0.0538
137	0.44	0.242	0.169	0.0537
138	0.439	0.242	0.169	0.0537
139	0.44	0.242	0.169	0.0536
140	0.439	0.242	0.169	0.0537
141	0.439	0.242	0.169	0.0536
142	0.44	0.242	0.169	0.0536
143	0.439	0.242	0.169	0.0537
144	0.439	0.242	0.169	0.0537
145	0.439	0.242	0.169	0.0535
146	0.439	0.242	0.169	0.0536
147	0.439	0.242	0.169	0.0536
148	0.439	0.242	0.169	0.0536
149	0.439	0.242	0.169	0.0537
150	0.438	0.242	0.168	0.0538
151	0.438	0.242	0.169	0.0537
152	0.438	0.242	0.169	0.0538
153	0.438	0.242	0.169	0.0537
154	0.439	0.242	0.169	0.0537
155	0.438	0.242	0.169	0.0536
156	0.438	0.242	0.169	0.0537
157	0.437	0.242	0.169	0.0538
158	0.437	0.242	0.169	0.0537
159	0.437	0.242	0.169	0.0538
160	0.437	0.242	0.168	0.0537
161	0.437	0.242	0.169	0.0536
162	0.436	0.242	0.168	0.0535
163	0.437	0.242	0.168	0.0536
164	0.437	0.242	0.168	0.0535
165	0.436	0.242	0.168	0.0536
166	0.437	0.242	0.168	0.0536
167	0.437	0.242	0.168	0.0537
168	0.436	0.243	0.168	0.0538
169	0.436	0.243	0.168	0.054
170	0.436	0.243	0.168	0.0539
171	0.435	0.243	0.168	0.054
172	0.436	0.243	0.168	0.0539
173	0.436	0.243	0.168	0.0538
174	0.436	0.243	0.168	0.054
175	0.437	0.243	0.168	0.054
176	0.436	0.243	0.168	0.054
177	0.435	0.243	0.168	0.054
178	0.435	0.243	0.168	0.054
179	0.435	0.243	0.168	0.054
180	0.435	0.243	0.168	0.054
181	0.436	0.244	0.168	0.054
182	0.436	0.244	0.168	0.054
183	0.436	0.244	0.168	0.0542
184	0.436	0.244	0.168	0.0541
185	0.437	0.244	0.168	0.054
186	0.436	0.244	0.167	0.0541
187	0.435	0.244	0.167	0.0541
188	0.435	0.244	0.167	0.054
189	0.435	0.244	0.167	0.0541
190	0.435	0.244	0.167	0.0541
191	0.436	0.244	0.167	0.054
192	0.435	0.244	0.167	0.054
193	0.434	0.244	0.167	0.0541
194	0.435	0.244	0.167	0.0541
195	0.435	0.244	0.167	0.054
196	0.435	0.244	0.167	0.0542
197	0.435	0.244	0.167	0.0541
198	0.435	0.244	0.167	0.0541
199	0.434	0.244	0.167	0.0542
200	0.434	0.245	0.167	0.0541
201	0.434	0.245	0.167	0.0542
202	0.434	0.245	0.167	0.0542
203	0.434	0.245	0.167	0.0541
204	0.434	0.245	0.167	0.0541
205	0.434	0.245	0.167	0.0542
206	0.434	0.245	0.167	0.0542
207	0.434	0.245	0.167	0.0542
208	0.435	0.245	0.167	0.0542
209	0.435	0.245	0.167	0.0542
210	0.434	0.245	0.167	0.0542
211	0.434	0.245	0.167	0.0543
212	0.434	0.245	0.167	0.0542
213	0.433	0.245	0.166	0.0542
214	0.433	0.245	0.166	0.0541
215	0.434	0.245	0.166	0.0542
216	0.434	0.245	0.166	0.0541
217	0.434	0.245	0.166	0.0542
218	0.434	0.245	0.166	0.0542
219	0.433	0.245	0.166	0.0542
220	0.433	0.245	0.166	0.0542
221	0.433	0.245	0.166	0.0542
222	0.433	0.245	0.166	0.0541
223	0.432	0.245	0.166	0.0541
224	0.433	0.245	0.166	0.0541
225	0.433	0.245	0.166	0.0541
226	0.432	0.245	0.166	0.0542
227	0.432	0.245	0.166	0.0543
228	0.432	0.245	0.166	0.0541
229	0.432	0.245	0.166	0.0542
230	0.432	0.245	0.166	0.0541
231	0.432	0.245	0.166	0.054
232	0.432	0.245	0.166	0.0542
233	0.432	0.245	0.166	0.0542
234	0.432	0.245	0.166	0.0541
235	0.432	0.245	0.166	0.0541
236	0.433	0.245	0.166	0.0542
237	0.432	0.245	0.166	0.0542
238	0.432	0.246	0.166	0.0542
239	0.432	0.246	0.166	0.0542
240	0.432	0.245	0.166	0.0541
241	0.432	0.246	0.166	0.0542
242	0.432	0.245	0.166	0.054
243	0.432	0.245	0.166	0.054
244	0.431	0.245	0.166	0.054
245	0.431	0.245	0.166	0.0541
246	0.431	0.245	0.166	0.054
247	0.431	0.245	0.166	0.0541
248	0.432	0.246	0.166	0.0542
