Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
5	0.503	0.265	0.167	0.066
6	0.482	0.26	0.172	0.0637
7	0.482	0.254	0.171	0.0607
8	0.48	0.253	0.172	0.0597
9	0.478	0.252	0.172	0.0587
10	0.476	0.25	0.172	0.0579
11	0.474	0.248	0.173	0.0569
12	0.471	0.247	0.173	0.0562
13	0.47	0.246	0.172	0.0558
14	0.469	0.246	0.172	0.0555
15	0.466	0.245	0.172	0.055
16	0.465	0.244	0.172	0.0547
17	0.464	0.244	0.172	0.0546
18	0.464	0.244	0.171	0.0544
19	0.463	0.243	0.171	0.0541
20	0.462	0.243	0.171	0.054
21	0.462	0.243	0.171	0.0539
22	0.462	0.243	0.17	0.0536
23	0.46	0.242	0.17	0.0533
24	0.46	0.242	0.17	0.0533
25	0.46	0.242	0.17	0.053
26	0.46	0.242	0.169	0.0532
27	0.459	0.242	0.169	0.0531
28	0.458	0.242	0.169	0.0531
29	0.458	0.242	0.169	0.053
30	0.457	0.242	0.169	0.0527
31	0.457	0.242	0.168	0.0528
32	0.457	0.242	0.168	0.0527
33	0.456	0.242	0.168	0.0526
34	0.456	0.242	0.168	0.0525
35	0.455	0.242	0.168	0.0523
36	0.455	0.242	0.168	0.0523
37	0.455	0.242	0.168	0.0522
38	0.455	0.242	0.167	0.0523
39	0.455	0.242	0.167	0.0521
40	0.455	0.242	0.167	0.0521
41	0.454	0.242	0.167	0.0521
42	0.454	0.242	0.167	0.0521
43	0.454	0.242	0.166	0.0521
44	0.454	0.242	0.166	0.0522
45	0.454	0.242	0.166	0.0522
46	0.454	0.242	0.166	0.0521
47	0.454	0.242	0.166	0.0521
48	0.453	0.242	0.166	0.0519
49	0.453	0.242	0.166	0.0518
50	0.453	0.242	0.166	0.0517
51	0.453	0.242	0.166	0.0518
52	0.453	0.242	0.166	0.0517
53	0.452	0.242	0.165	0.0517
54	0.452	0.242	0.165	0.0516
55	0.452	0.242	0.165	0.0517
56	0.451	0.242	0.165	0.0516
57	0.451	0.242	0.165	0.0515
58	0.451	0.242	0.165	0.0516
59	0.451	0.242	0.165	0.0516
60	0.45	0.242	0.165	0.0516
61	0.45	0.242	0.165	0.0515
62	0.45	0.242	0.165	0.0513
63	0.451	0.242	0.165	0.0513
64	0.45	0.242	0.165	0.0514
65	0.45	0.242	0.164	0.0514
66	0.45	0.242	0.164	0.0514
67	0.449	0.242	0.164	0.0513
68	0.449	0.242	0.164	0.0513
69	0.45	0.241	0.164	0.0511
70	0.449	0.241	0.164	0.0511
71	0.449	0.241	0.164	0.0512
72	0.45	0.242	0.164	0.0511
73	0.449	0.242	0.164	0.0511
74	0.449	0.242	0.164	0.0512
75	0.45	0.242	0.164	0.051
76	0.448	0.241	0.164	0.051
77	0.449	0.242	0.164	0.0511
78	0.45	0.242	0.164	0.0511
79	0.449	0.242	0.164	0.051
80	0.449	0.242	0.164	0.051
81	0.449	0.242	0.164	0.051
82	0.448	0.242	0.164	0.0508
83	0.448	0.242	0.163	0.051
84	0.448	0.241	0.164	0.0508
85	0.447	0.242	0.163	0.0508
86	0.448	0.242	0.163	0.0508
87	0.448	0.242	0.163	0.0509
88	0.447	0.242	0.163	0.0509
89	0.448	0.242	0.163	0.0508
90	0.447	0.242	0.163	0.0508
91	0.447	0.242	0.163	0.0508
92	0.447	0.242	0.163	0.0508
93	0.447	0.242	0.163	0.0508
94	0.445	0.242	0.163	0.0508
95	0.446	0.242	0.163	0.0509
96	0.447	0.243	0.163	0.0509
97	0.446	0.242	0.163	0.0508
98	0.446	0.242	0.163	0.0508
99	0.447	0.242	0.163	0.0507
100	0.445	0.243	0.163	0.0509
