Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
5	-0.00955	0.544	0.63	0.283
6	-0.00367	0.55	0.638	0.28
7	-0.00293	0.542	0.63	0.266
8	-0.00313	0.541	0.631	0.262
9	-0.00136	0.54	0.633	0.259
10	-0.000332	0.535	0.636	0.255
11	-0.000263	0.531	0.638	0.252
12	0.00153	0.526	0.641	0.25
13	0.00313	0.524	0.641	0.249
14	0.00261	0.522	0.642	0.248
15	0.0021	0.519	0.644	0.245
16	0.0015	0.517	0.645	0.245
17	0.00233	0.516	0.644	0.244
18	0.00385	0.515	0.644	0.244
19	0.00371	0.514	0.645	0.243
20	0.00339	0.513	0.645	0.242
21	0.00456	0.512	0.644	0.243
22	0.00423	0.512	0.644	0.242
23	0.00397	0.509	0.646	0.241
24	0.00366	0.509	0.645	0.241
25	0.00475	0.508	0.644	0.241
26	0.00441	0.509	0.643	0.241
27	0.00428	0.508	0.643	0.241
28	0.00369	0.508	0.643	0.241
29	0.00399	0.507	0.643	0.241
30	0.00412	0.507	0.644	0.24
31	0.00291	0.506	0.643	0.24
32	0.00286	0.505	0.644	0.24
33	0.00301	0.505	0.645	0.24
34	0.00238	0.504	0.645	0.24
35	0.00233	0.504	0.645	0.24
36	0.00265	0.504	0.644	0.24
37	0.00226	0.504	0.645	0.24
38	0.0034	0.505	0.643	0.241
39	0.00347	0.504	0.643	0.24
40	0.00375	0.505	0.643	0.241
41	0.00349	0.504	0.644	0.24
42	0.00324	0.504	0.644	0.24
43	0.00334	0.504	0.643	0.24
44	0.00366	0.505	0.643	0.24
45	0.00401	0.504	0.643	0.24
46	0.00361	0.505	0.643	0.241
47	0.00334	0.504	0.643	0.24
48	0.00329	0.503	0.644	0.239
49	0.00277	0.502	0.644	0.239
50	0.00155	0.502	0.644	0.239
51	0.00201	0.503	0.644	0.24
52	0.00183	0.502	0.645	0.239
53	0.00153	0.502	0.645	0.24
54	0.0015	0.502	0.646	0.239
55	0.00153	0.502	0.645	0.239
56	0.00173	0.501	0.646	0.239
57	0.00133	0.502	0.646	0.239
58	0.000804	0.501	0.646	0.239
59	0.000606	0.501	0.646	0.239
60	0.00111	0.501	0.646	0.24
61	0.00108	0.501	0.646	0.24
62	0.00106	0.5	0.647	0.239
63	0.000666	0.5	0.647	0.239
64	0.000585	0.5	0.647	0.239
65	0.000867	0.5	0.647	0.239
66	0.000185	0.499	0.648	0.239
67	0.000365	0.499	0.648	0.239
68	-3.64e-05	0.499	0.648	0.239
69	-0.000112	0.498	0.648	0.238
70	-0.000405	0.498	0.649	0.239
71	-0.000251	0.499	0.648	0.239
72	-0.00105	0.499	0.648	0.239
73	-0.00138	0.499	0.648	0.239
74	-0.00133	0.499	0.648	0.239
75	-0.00154	0.499	0.648	0.239
76	-0.00104	0.499	0.649	0.239
77	-0.000801	0.5	0.648	0.24
78	-0.00102	0.5	0.648	0.24
79	-0.00111	0.499	0.649	0.239
80	-0.000705	0.499	0.649	0.24
81	-0.00104	0.498	0.649	0.24
82	-0.00153	0.497	0.65	0.239
83	-0.00172	0.498	0.65	0.239
84	-0.00172	0.497	0.65	0.239
85	-0.0019	0.497	0.651	0.239
86	-0.00188	0.498	0.65	0.239
87	-0.00204	0.498	0.651	0.239
88	-0.00223	0.497	0.651	0.239
89	-0.00219	0.497	0.651	0.239
90	-0.00209	0.496	0.652	0.24
91	-0.00214	0.497	0.652	0.24
92	-0.00257	0.496	0.652	0.24
93	-0.00313	0.496	0.652	0.24
94	-0.00304	0.496	0.653	0.24
95	-0.0034	0.496	0.653	0.24
96	-0.00343	0.496	0.653	0.24
97	-0.00344	0.495	0.654	0.24
98	-0.00312	0.495	0.653	0.24
99	-0.0031	0.495	0.654	0.24
100	-0.00294	0.495	0.655	0.24
101	-0.00312	0.495	0.654	0.241
102	-0.00315	0.495	0.654	0.241
103	-0.00331	0.494	0.655	0.24
104	-0.00359	0.495	0.654	0.241
105	-0.0033	0.496	0.654	0.241
106	-0.00338	0.495	0.655	0.241
107	-0.00367	0.496	0.654	0.242
108	-0.00402	0.495	0.654	0.241
109	-0.00401	0.495	0.655	0.241
110	-0.00434	0.495	0.655	0.241
111	-0.00438	0.495	0.654	0.242
112	-0.00374	0.495	0.655	0.242
113	-0.00364	0.495	0.655	0.242
114	-0.00401	0.495	0.655	0.242
115	-0.0034	0.494	0.656	0.241
116	-0.00351	0.494	0.656	0.242
117	-0.0033	0.494	0.656	0.242
118	-0.00338	0.493	0.658	0.241
119	-0.00344	0.493	0.657	0.241
120	-0.00345	0.494	0.657	0.242
121	-0.00385	0.492	0.658	0.241
122	-0.00382	0.493	0.658	0.242
123	-0.00374	0.492	0.659	0.242
124	-0.00372	0.492	0.659	0.241
125	-0.00318	0.492	0.659	0.241
126	-0.00342	0.491	0.66	0.241
127	-0.00347	0.491	0.66	0.241
128	-0.00367	0.491	0.66	0.242
129	-0.00354	0.492	0.66	0.242
130	-0.00327	0.491	0.66	0.241
131	-0.00315	0.491	0.66	0.242
132	-0.00291	0.491	0.66	0.242
133	-0.00279	0.49	0.661	0.241
134	-0.00257	0.49	0.661	0.242
135	-0.00263	0.491	0.661	0.242
136	-0.00261	0.489	0.662	0.241
137	-0.00286	0.49	0.662	0.242
138	-0.00283	0.489	0.662	0.242
139	-0.00314	0.489	0.663	0.241
140	-0.00316	0.49	0.663	0.242
141	-0.00303	0.489	0.663	0.242
142	-0.00308	0.489	0.664	0.242
143	-0.0031	0.489	0.663	0.242
144	-0.00332	0.488	0.664	0.242
145	-0.003	0.488	0.664	0.242
146	-0.00264	0.489	0.664	0.243
147	-0.00267	0.488	0.664	0.243
148	-0.0027	0.488	0.665	0.242
149	-0.00349	0.488	0.665	0.242
150	-0.00311	0.488	0.665	0.242
151	-0.00304	0.488	0.665	0.242
152	-0.00336	0.488	0.665	0.242
153	-0.00352	0.488	0.665	0.242
154	-0.00287	0.488	0.665	0.242
155	-0.00299	0.488	0.665	0.243
156	-0.0029	0.488	0.665	0.243
157	-0.00278	0.487	0.666	0.242
158	-0.00319	0.487	0.666	0.243
159	-0.00324	0.487	0.666	0.243
160	-0.00269	0.487	0.667	0.243
161	-0.00273	0.487	0.666	0.243
162	-0.00264	0.487	0.666	0.243
163	-0.00297	0.486	0.667	0.243
164	-0.00322	0.487	0.667	0.243
165	-0.00288	0.486	0.667	0.243
166	-0.00294	0.485	0.668	0.242
167	-0.00307	0.486	0.668	0.242
168	-0.00298	0.486	0.667	0.243
169	-0.00324	0.485	0.669	0.242
170	-0.00334	0.485	0.668	0.243
171	-0.00364	0.486	0.668	0.243
172	-0.00365	0.485	0.669	0.243
173	-0.00398	0.485	0.669	0.243
174	-0.0038	0.485	0.669	0.243
175	-0.00372	0.485	0.67	0.243
176	-0.00331	0.486	0.669	0.244
177	-0.0032	0.485	0.67	0.243
178	-0.00329	0.484	0.67	0.243
179	-0.00386	0.485	0.67	0.243
180	-0.00385	0.484	0.67	0.243
181	-0.00404	0.483	0.671	0.243
182	-0.00418	0.483	0.671	0.243
183	-0.0037	0.483	0.671	0.243
184	-0.00395	0.483	0.672	0.242
185	-0.00352	0.484	0.671	0.243
186	-0.00336	0.483	0.671	0.243
187	-0.00369	0.483	0.671	0.243
188	-0.0037	0.482	0.672	0.242
189	-0.00283	0.483	0.672	0.243
190	-0.00307	0.482	0.672	0.243
191	-0.00267	0.481	0.673	0.242
192	-0.00298	0.482	0.673	0.243
193	-0.00289	0.482	0.672	0.243
194	-0.00325	0.481	0.673	0.242
195	-0.00304	0.482	0.673	0.243
196	-0.00306	0.482	0.673	0.243
197	-0.00278	0.482	0.673	0.243
198	-0.00333	0.481	0.673	0.243
199	-0.00327	0.481	0.673	0.243
200	-0.00339	0.481	0.674	0.242
201	-0.00325	0.481	0.674	0.243
202	-0.00315	0.481	0.674	0.243
203	-0.00339	0.48	0.675	0.243
204	-0.00303	0.481	0.674	0.243
205	-0.00301	0.481	0.674	0.243
206	-0.00289	0.48	0.675	0.242
207	-0.00304	0.48	0.675	0.243
208	-0.00304	0.48	0.675	0.243
209	-0.00306	0.48	0.675	0.242
210	-0.00327	0.48	0.675	0.243
211	-0.00318	0.48	0.676	0.242
212	-0.00332	0.48	0.676	0.242
213	-0.00377	0.48	0.675	0.243
214	-0.00363	0.479	0.676	0.242
215	-0.00331	0.479	0.676	0.242
216	-0.00321	0.48	0.676	0.243
217	-0.00337	0.48	0.676	0.242
218	-0.0036	0.479	0.677	0.242
219	-0.00368	0.479	0.676	0.243
220	-0.00338	0.479	0.676	0.242
221	-0.00354	0.479	0.677	0.243
222	-0.00338	0.479	0.677	0.242
223	-0.00388	0.478	0.677	0.243
224	-0.00421	0.478	0.677	0.242
225	-0.00461	0.478	0.677	0.242
226	-0.00424	0.478	0.677	0.242
227	-0.00455	0.478	0.678	0.243
228	-0.0042	0.478	0.678	0.243
229	-0.00408	0.477	0.678	0.242
230	-0.00414	0.478	0.678	0.243
231	-0.0042	0.478	0.678	0.243
232	-0.00405	0.478	0.678	0.243
233	-0.00441	0.477	0.679	0.243
234	-0.00393	0.478	0.678	0.243
235	-0.0037	0.477	0.678	0.242
236	-0.00383	0.477	0.679	0.242
237	-0.00363	0.477	0.679	0.242
238	-0.00372	0.478	0.678	0.243
