Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
5	0.506	0.269	0.162	0.0621
6	0.491	0.271	0.164	0.0605
7	0.492	0.27	0.162	0.0581
8	0.492	0.27	0.161	0.0574
9	0.492	0.271	0.161	0.057
10	0.493	0.269	0.161	0.0564
11	0.492	0.268	0.161	0.0558
12	0.491	0.267	0.161	0.0551
13	0.49	0.266	0.161	0.0547
14	0.49	0.265	0.161	0.0544
15	0.489	0.265	0.161	0.0542
16	0.488	0.265	0.161	0.054
17	0.488	0.265	0.16	0.054
18	0.488	0.264	0.16	0.0538
19	0.487	0.264	0.16	0.0534
20	0.486	0.264	0.16	0.0533
21	0.486	0.264	0.159	0.0532
22	0.486	0.263	0.159	0.0529
23	0.485	0.263	0.159	0.0527
24	0.485	0.263	0.159	0.0526
25	0.485	0.262	0.158	0.0524
26	0.484	0.262	0.158	0.0525
27	0.484	0.262	0.158	0.0523
28	0.484	0.262	0.158	0.0523
29	0.483	0.262	0.157	0.0522
30	0.482	0.261	0.157	0.0519
31	0.482	0.261	0.157	0.0518
32	0.481	0.261	0.157	0.0518
33	0.48	0.261	0.157	0.0518
34	0.48	0.261	0.157	0.0518
35	0.479	0.261	0.157	0.0516
36	0.479	0.261	0.157	0.0516
37	0.478	0.26	0.156	0.0515
38	0.478	0.261	0.156	0.0515
39	0.478	0.261	0.156	0.0514
40	0.478	0.261	0.156	0.0514
41	0.477	0.26	0.156	0.0513
42	0.477	0.26	0.156	0.0512
43	0.476	0.26	0.155	0.0511
44	0.476	0.26	0.155	0.051
45	0.476	0.26	0.155	0.051
46	0.476	0.26	0.155	0.051
47	0.475	0.26	0.155	0.0509
48	0.474	0.259	0.155	0.0509
49	0.474	0.259	0.155	0.0507
50	0.473	0.259	0.155	0.0506
51	0.473	0.259	0.155	0.0506
52	0.472	0.259	0.155	0.0507
53	0.472	0.259	0.154	0.0507
54	0.471	0.259	0.154	0.0507
55	0.47	0.259	0.154	0.0506
56	0.47	0.26	0.154	0.0507
57	0.469	0.26	0.154	0.0506
58	0.469	0.26	0.154	0.0506
59	0.469	0.26	0.154	0.0506
60	0.468	0.26	0.154	0.0507
61	0.468	0.26	0.153	0.0506
62	0.467	0.26	0.153	0.0505
63	0.467	0.26	0.153	0.0505
64	0.467	0.26	0.153	0.0504
65	0.466	0.26	0.153	0.0504
66	0.466	0.259	0.153	0.0503
67	0.466	0.259	0.153	0.0502
68	0.465	0.259	0.153	0.0502
69	0.465	0.259	0.153	0.0501
70	0.464	0.259	0.153	0.0502
71	0.464	0.259	0.153	0.0503
72	0.463	0.259	0.153	0.0502
73	0.463	0.259	0.153	0.0502
74	0.463	0.259	0.153	0.0501
75	0.462	0.259	0.152	0.0501
76	0.462	0.259	0.152	0.0501
77	0.462	0.259	0.152	0.0502
78	0.462	0.259	0.152	0.0501
79	0.461	0.259	0.152	0.0499
80	0.461	0.259	0.152	0.05
81	0.46	0.259	0.152	0.05
82	0.46	0.259	0.152	0.0499
83	0.46	0.259	0.152	0.0499
84	0.459	0.259	0.152	0.0498
85	0.459	0.259	0.152	0.0498
86	0.459	0.259	0.152	0.0499
87	0.458	0.259	0.152	0.0499
88	0.458	0.259	0.152	0.0499
89	0.458	0.259	0.151	0.0498
90	0.457	0.259	0.151	0.0498
91	0.457	0.259	0.151	0.0497
92	0.456	0.259	0.151	0.0498
93	0.456	0.259	0.151	0.0498
94	0.456	0.259	0.151	0.0498
95	0.455	0.259	0.151	0.0498
96	0.454	0.259	0.151	0.0498
97	0.454	0.258	0.151	0.0496
98	0.454	0.259	0.151	0.0497
99	0.453	0.259	0.151	0.0496
100	0.454	0.259	0.151	0.0497
101	0.453	0.259	0.151	0.0497
102	0.453	0.259	0.151	0.0497
103	0.452	0.259	0.151	0.0497
104	0.452	0.259	0.151	0.0498
105	0.452	0.259	0.15	0.0498
106	0.452	0.259	0.151	0.0498
107	0.451	0.259	0.15	0.0498
108	0.451	0.259	0.15	0.0497
109	0.451	0.259	0.15	0.0497
110	0.451	0.259	0.15	0.0498
111	0.45	0.259	0.15	0.0497
112	0.45	0.259	0.15	0.0497
113	0.45	0.259	0.15	0.0497
114	0.449	0.259	0.15	0.0497
115	0.449	0.259	0.15	0.0497
116	0.449	0.259	0.15	0.0497
117	0.448	0.259	0.15	0.0497
118	0.448	0.259	0.15	0.0497
119	0.448	0.259	0.15	0.0497
120	0.447	0.259	0.15	0.0497
121	0.447	0.259	0.15	0.0498
122	0.447	0.259	0.15	0.0498
123	0.446	0.259	0.15	0.0497
124	0.446	0.259	0.15	0.0498
125	0.445	0.259	0.15	0.0499
126	0.445	0.259	0.15	0.0498
127	0.444	0.259	0.15	0.0497
128	0.444	0.259	0.15	0.0497
129	0.443	0.259	0.15	0.0498
130	0.444	0.259	0.15	0.0497
131	0.443	0.259	0.149	0.0497
132	0.443	0.259	0.149	0.0497
133	0.443	0.259	0.149	0.0497
134	0.443	0.259	0.149	0.0498
135	0.442	0.259	0.149	0.0498
136	0.442	0.258	0.149	0.0496
137	0.442	0.259	0.149	0.0496
138	0.441	0.259	0.149	0.0497
139	0.441	0.259	0.149	0.0497
140	0.44	0.259	0.149	0.0498
141	0.44	0.258	0.149	0.0497
142	0.44	0.259	0.149	0.0497
143	0.44	0.259	0.149	0.0497
144	0.439	0.259	0.149	0.0497
145	0.439	0.258	0.149	0.0497
146	0.439	0.259	0.149	0.0498
147	0.439	0.259	0.149	0.0497
148	0.438	0.259	0.149	0.0497
149	0.438	0.258	0.149	0.0497
150	0.437	0.259	0.149	0.0497
151	0.437	0.259	0.149	0.0497
152	0.437	0.259	0.149	0.0498
153	0.437	0.259	0.149	0.0498
154	0.436	0.259	0.149	0.0498
155	0.436	0.259	0.148	0.0498
156	0.436	0.259	0.149	0.0499
157	0.436	0.258	0.149	0.0498
158	0.436	0.258	0.149	0.0498
159	0.434	0.258	0.149	0.0498
160	0.434	0.258	0.148	0.0498
161	0.435	0.258	0.148	0.0498
162	0.434	0.258	0.148	0.0498
163	0.433	0.258	0.148	0.0498
164	0.433	0.258	0.148	0.0499
165	0.433	0.258	0.148	0.0499
166	0.433	0.258	0.148	0.0498
167	0.433	0.258	0.148	0.0499
168	0.432	0.258	0.148	0.05
169	0.432	0.258	0.148	0.0499
170	0.432	0.258	0.148	0.0499
171	0.431	0.258	0.148	0.05
172	0.432	0.258	0.148	0.0499
173	0.431	0.258	0.148	0.05
174	0.431	0.258	0.148	0.05
175	0.43	0.258	0.148	0.0501
176	0.43	0.258	0.148	0.0501
177	0.43	0.258	0.148	0.0501
178	0.43	0.258	0.148	0.0501
179	0.429	0.258	0.148	0.05
180	0.429	0.258	0.148	0.0499
181	0.429	0.258	0.148	0.0501
182	0.429	0.258	0.148	0.05
183	0.428	0.257	0.148	0.0501
184	0.429	0.257	0.148	0.05
185	0.428	0.258	0.148	0.0501
186	0.428	0.258	0.148	0.0501
187	0.427	0.258	0.148	0.0501
188	0.427	0.257	0.148	0.0501
189	0.427	0.258	0.148	0.0502
190	0.426	0.258	0.148	0.0502
191	0.426	0.257	0.148	0.0501
192	0.426	0.257	0.148	0.0501
193	0.426	0.257	0.148	0.0502
194	0.426	0.257	0.148	0.05
195	0.425	0.257	0.147	0.0501
196	0.425	0.257	0.147	0.0501
197	0.425	0.257	0.148	0.0502
198	0.425	0.257	0.147	0.0501
199	0.424	0.257	0.147	0.0501
200	0.425	0.257	0.147	0.0501
201	0.424	0.257	0.147	0.0501
202	0.423	0.257	0.147	0.0501
203	0.423	0.256	0.148	0.0501
204	0.423	0.257	0.147	0.0501
205	0.423	0.257	0.147	0.0502
206	0.423	0.257	0.147	0.0501
207	0.422	0.257	0.147	0.0502
208	0.422	0.257	0.147	0.0501
209	0.422	0.257	0.147	0.0501
210	0.421	0.256	0.147	0.0501
211	0.421	0.257	0.147	0.0502
212	0.422	0.256	0.147	0.0502
213	0.421	0.256	0.147	0.0501
214	0.421	0.256	0.147	0.0501
215	0.421	0.256	0.147	0.0501
216	0.421	0.256	0.147	0.0502
217	0.42	0.257	0.147	0.0503
218	0.42	0.256	0.147	0.0502
219	0.42	0.256	0.147	0.0502
220	0.42	0.256	0.147	0.0502
221	0.419	0.256	0.147	0.0502
222	0.419	0.256	0.147	0.0502
223	0.419	0.256	0.147	0.0503
224	0.419	0.256	0.147	0.0502
225	0.419	0.256	0.147	0.0502
226	0.418	0.256	0.147	0.0503
227	0.418	0.256	0.147	0.0503
228	0.418	0.256	0.147	0.0503
229	0.417	0.256	0.147	0.0503
230	0.417	0.256	0.147	0.0503
231	0.417	0.256	0.147	0.0503
232	0.417	0.256	0.146	0.0504
233	0.417	0.256	0.146	0.0504
234	0.417	0.256	0.147	0.0504
235	0.417	0.256	0.146	0.0503
236	0.416	0.256	0.147	0.0503
237	0.416	0.256	0.147	0.0504
238	0.416	0.256	0.146	0.0505
239	0.416	0.256	0.146	0.0504
240	0.416	0.256	0.146	0.0504
241	0.416	0.256	0.146	0.0504
242	0.416	0.255	0.146	0.0504
243	0.416	0.256	0.146	0.0504
244	0.415	0.256	0.146	0.0504
245	0.415	0.255	0.146	0.0504
246	0.415	0.255	0.146	0.0504
247	0.414	0.255	0.146	0.0504
248	0.414	0.255	0.146	0.0504
249	0.415	0.255	0.146	0.0504
250	0.413	0.256	0.146	0.0505
251	0.413	0.255	0.146	0.0505
252	0.413	0.255	0.146	0.0505
253	0.413	0.255	0.146	0.0505
254	0.413	0.255	0.146	0.0505
255	0.413	0.255	0.146	0.0505
256	0.412	0.255	0.146	0.0505
257	0.412	0.255	0.146	0.0505
258	0.412	0.255	0.146	0.0505
259	0.412	0.255	0.146	0.0504
260	0.412	0.255	0.146	0.0505
261	0.411	0.255	0.146	0.0504
262	0.41	0.255	0.146	0.0505
263	0.411	0.255	0.146	0.0505
264	0.411	0.255	0.146	0.0505
265	0.41	0.255	0.146	0.0506
266	0.41	0.254	0.146	0.0505
267	0.41	0.254	0.146	0.0505
268	0.409	0.255	0.146	0.0506
269	0.41	0.255	0.146	0.0506
270	0.41	0.255	0.146	0.0506
