Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
5	0.494	0.27	0.162	0.0652
6	0.5	0.274	0.162	0.0622
7	0.508	0.273	0.159	0.0595
8	0.511	0.274	0.158	0.0588
9	0.512	0.275	0.158	0.0587
10	0.512	0.273	0.158	0.0578
11	0.51	0.272	0.159	0.057
12	0.51	0.27	0.159	0.0565
13	0.509	0.269	0.159	0.0563
14	0.509	0.268	0.159	0.0558
15	0.507	0.267	0.159	0.0552
16	0.506	0.267	0.159	0.0549
17	0.507	0.266	0.159	0.0547
18	0.506	0.266	0.158	0.0544
19	0.505	0.265	0.158	0.0543
20	0.505	0.265	0.158	0.0541
21	0.505	0.265	0.158	0.054
22	0.505	0.264	0.158	0.0537
23	0.504	0.264	0.157	0.0534
24	0.504	0.264	0.157	0.0534
25	0.504	0.263	0.157	0.0532
26	0.503	0.264	0.157	0.0532
27	0.503	0.263	0.157	0.0529
28	0.503	0.263	0.156	0.0528
29	0.502	0.263	0.156	0.0527
30	0.502	0.262	0.156	0.0524
31	0.502	0.262	0.156	0.0522
32	0.501	0.262	0.156	0.0521
33	0.5	0.262	0.156	0.0521
34	0.499	0.262	0.156	0.052
35	0.499	0.262	0.155	0.0519
36	0.498	0.261	0.155	0.0517
37	0.498	0.262	0.155	0.0517
38	0.498	0.262	0.155	0.0516
39	0.498	0.261	0.155	0.0515
40	0.498	0.262	0.155	0.0516
41	0.497	0.261	0.155	0.0513
42	0.497	0.261	0.154	0.0513
43	0.496	0.261	0.154	0.0513
44	0.495	0.262	0.154	0.0513
45	0.496	0.261	0.154	0.0512
46	0.495	0.261	0.154	0.0511
47	0.494	0.261	0.154	0.051
48	0.494	0.261	0.154	0.0508
49	0.493	0.261	0.154	0.0507
50	0.493	0.26	0.154	0.0506
51	0.492	0.26	0.153	0.0505
52	0.492	0.261	0.153	0.0506
53	0.491	0.26	0.153	0.0505
54	0.491	0.26	0.153	0.0505
55	0.49	0.26	0.153	0.0504
56	0.49	0.26	0.153	0.0504
57	0.489	0.26	0.153	0.0504
58	0.488	0.26	0.153	0.0503
59	0.488	0.26	0.153	0.0503
60	0.487	0.26	0.153	0.0503
61	0.487	0.26	0.153	0.0503
62	0.486	0.26	0.153	0.0502
63	0.486	0.26	0.152	0.0502
64	0.485	0.26	0.152	0.0502
65	0.485	0.26	0.152	0.0502
66	0.485	0.26	0.152	0.0501
67	0.485	0.26	0.152	0.0499
68	0.485	0.26	0.152	0.0499
69	0.485	0.259	0.152	0.0498
70	0.484	0.26	0.152	0.0498
71	0.484	0.26	0.152	0.0499
72	0.483	0.26	0.152	0.0499
73	0.482	0.26	0.152	0.0498
74	0.482	0.26	0.152	0.0498
75	0.482	0.26	0.151	0.0498
76	0.481	0.26	0.151	0.0498
77	0.481	0.26	0.151	0.0499
78	0.48	0.26	0.151	0.0498
79	0.48	0.26	0.151	0.0497
80	0.48	0.26	0.151	0.0497
81	0.479	0.26	0.151	0.0497
82	0.478	0.26	0.151	0.0496
83	0.478	0.26	0.151	0.0496
84	0.478	0.259	0.151	0.0495
85	0.478	0.26	0.151	0.0495
86	0.478	0.26	0.151	0.0495
87	0.477	0.26	0.151	0.0495
88	0.476	0.26	0.15	0.0494
89	0.476	0.26	0.15	0.0494
90	0.476	0.26	0.15	0.0494
91	0.475	0.26	0.15	0.0494
92	0.475	0.261	0.15	0.0495
93	0.475	0.26	0.15	0.0494
94	0.474	0.26	0.15	0.0494
95	0.474	0.26	0.15	0.0494
96	0.473	0.26	0.15	0.0495
97	0.473	0.26	0.15	0.0493
98	0.472	0.26	0.15	0.0493
99	0.472	0.26	0.15	0.0493
100	0.472	0.26	0.15	0.0494
101	0.471	0.261	0.15	0.0494
102	0.471	0.261	0.149	0.0494
103	0.47	0.26	0.149	0.0493
104	0.47	0.261	0.149	0.0495
105	0.469	0.261	0.149	0.0495
106	0.469	0.261	0.149	0.0494
107	0.468	0.261	0.149	0.0494
108	0.468	0.261	0.149	0.0494
109	0.467	0.261	0.149	0.0492
110	0.467	0.261	0.149	0.0492
111	0.466	0.262	0.148	0.0493
112	0.466	0.262	0.148	0.0493
113	0.466	0.262	0.148	0.0493
114	0.465	0.262	0.148	0.0493
115	0.465	0.261	0.148	0.0493
116	0.465	0.261	0.148	0.0493
117	0.464	0.262	0.148	0.0494
118	0.464	0.262	0.148	0.0492
119	0.464	0.262	0.148	0.0493
120	0.463	0.262	0.148	0.0494
121	0.463	0.262	0.148	0.0493
122	0.463	0.262	0.148	0.0494
123	0.462	0.262	0.148	0.0494
124	0.462	0.262	0.148	0.0493
125	0.461	0.262	0.148	0.0492
126	0.461	0.262	0.148	0.0491
127	0.46	0.261	0.148	0.0491
128	0.46	0.262	0.148	0.0492
129	0.46	0.262	0.148	0.0493
130	0.459	0.262	0.148	0.0493
131	0.459	0.262	0.148	0.0493
132	0.458	0.262	0.147	0.0494
133	0.458	0.262	0.147	0.0493
134	0.458	0.262	0.147	0.0494
135	0.457	0.262	0.147	0.0493
136	0.457	0.262	0.147	0.0491
137	0.457	0.263	0.147	0.0492
138	0.456	0.263	0.147	0.0493
139	0.456	0.263	0.147	0.0493
140	0.456	0.263	0.147	0.0494
141	0.455	0.263	0.147	0.0494
142	0.455	0.263	0.147	0.0493
143	0.455	0.263	0.147	0.0493
144	0.455	0.263	0.147	0.0493
145	0.454	0.263	0.147	0.0494
146	0.454	0.263	0.147	0.0495
147	0.454	0.263	0.146	0.0494
148	0.453	0.263	0.146	0.0493
149	0.453	0.263	0.146	0.0494
150	0.452	0.263	0.146	0.0495
151	0.452	0.264	0.146	0.0495
152	0.452	0.264	0.146	0.0495
153	0.451	0.264	0.146	0.0495
154	0.451	0.264	0.146	0.0495
155	0.451	0.264	0.146	0.0495
156	0.45	0.264	0.146	0.0495
157	0.45	0.264	0.146	0.0495
158	0.45	0.264	0.146	0.0496
159	0.449	0.264	0.146	0.0496
160	0.448	0.264	0.145	0.0495
161	0.448	0.264	0.145	0.0495
162	0.448	0.264	0.145	0.0496
163	0.448	0.264	0.145	0.0495
164	0.448	0.264	0.145	0.0495
165	0.447	0.264	0.145	0.0496
166	0.447	0.264	0.145	0.0494
167	0.446	0.264	0.145	0.0496
168	0.445	0.265	0.145	0.0496
169	0.445	0.264	0.145	0.0495
170	0.445	0.264	0.145	0.0496
171	0.445	0.265	0.145	0.0497
172	0.445	0.264	0.145	0.0497
173	0.444	0.265	0.145	0.0497
174	0.444	0.265	0.145	0.0497
175	0.444	0.265	0.145	0.0498
176	0.443	0.265	0.145	0.0498
177	0.443	0.265	0.145	0.0497
178	0.443	0.265	0.145	0.0497
179	0.443	0.265	0.144	0.0497
180	0.443	0.265	0.144	0.0497
181	0.442	0.265	0.144	0.0497
182	0.442	0.265	0.144	0.0497
183	0.441	0.265	0.144	0.0497
184	0.442	0.265	0.144	0.0496
185	0.441	0.265	0.144	0.0497
186	0.441	0.265	0.144	0.0498
187	0.441	0.265	0.144	0.0497
188	0.441	0.265	0.144	0.0497
189	0.44	0.266	0.144	0.0498
190	0.44	0.265	0.144	0.0497
191	0.44	0.265	0.144	0.0496
192	0.439	0.265	0.144	0.0498
193	0.439	0.265	0.144	0.0497
194	0.439	0.265	0.144	0.0497
195	0.438	0.266	0.144	0.0499
196	0.439	0.265	0.144	0.0498
197	0.438	0.266	0.143	0.0498
198	0.437	0.266	0.143	0.0498
199	0.438	0.266	0.143	0.0497
200	0.438	0.266	0.143	0.0497
201	0.437	0.266	0.143	0.0499
202	0.437	0.266	0.143	0.0498
203	0.437	0.266	0.143	0.0497
204	0.436	0.266	0.143	0.0499
205	0.436	0.266	0.143	0.0498
206	0.436	0.266	0.143	0.0498
207	0.435	0.266	0.143	0.05
208	0.436	0.266	0.143	0.0498
209	0.435	0.266	0.143	0.0498
210	0.434	0.266	0.143	0.0498
211	0.435	0.266	0.143	0.0497
212	0.435	0.266	0.143	0.0497
213	0.434	0.266	0.143	0.0499
214	0.435	0.266	0.143	0.0498
215	0.434	0.266	0.143	0.0497
216	0.433	0.266	0.143	0.0499
217	0.433	0.266	0.142	0.0497
218	0.432	0.266	0.143	0.0497
219	0.432	0.266	0.142	0.0499
