Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
5	0.00439	0.66	0.48	0.275
6	0.00233	0.675	0.452	0.254
7	0.000725	0.663	0.432	0.23
8	0.00176	0.662	0.424	0.22
9	0.000324	0.661	0.421	0.215
10	0.000388	0.657	0.42	0.206
11	0.000934	0.653	0.419	0.2
12	-0.000248	0.649	0.417	0.195
13	-0.000158	0.646	0.415	0.189
14	-0.000529	0.645	0.412	0.185
15	-1.92e-05	0.644	0.41	0.181
16	-1.77e-05	0.643	0.407	0.178
17	-0.000794	0.642	0.404	0.175
18	-0.000321	0.641	0.403	0.173
19	-0.00061	0.641	0.4	0.17
20	-0.00117	0.641	0.398	0.169
21	-0.000773	0.64	0.395	0.167
22	-0.000413	0.64	0.393	0.166
23	-3.35e-06	0.64	0.39	0.164
24	0.00028	0.639	0.388	0.163
25	0.000272	0.639	0.386	0.161
26	-0.000258	0.64	0.384	0.161
27	0.00058	0.639	0.382	0.16
28	0.00143	0.64	0.38	0.159
29	0.000704	0.641	0.378	0.159
30	0.00127	0.64	0.377	0.157
31	0.00134	0.639	0.376	0.157
32	0.00183	0.64	0.374	0.156
33	0.00255	0.641	0.372	0.156
34	0.002	0.641	0.371	0.155
35	0.00161	0.641	0.369	0.155
36	0.00202	0.641	0.369	0.155
37	0.00245	0.641	0.367	0.154
38	0.00327	0.642	0.366	0.153
39	0.00308	0.641	0.365	0.153
40	0.00381	0.642	0.363	0.153
41	0.00411	0.642	0.362	0.152
42	0.00441	0.642	0.361	0.151
43	0.00448	0.643	0.36	0.151
44	0.00465	0.643	0.359	0.151
45	0.00496	0.642	0.358	0.151
46	0.004	0.643	0.357	0.15
47	0.00408	0.643	0.357	0.151
48	0.00428	0.643	0.356	0.15
49	0.0039	0.643	0.355	0.15
50	0.00326	0.642	0.355	0.15
51	0.00314	0.642	0.354	0.149
52	0.00334	0.643	0.353	0.149
53	0.00335	0.642	0.353	0.149
54	0.00355	0.642	0.352	0.149
55	0.00343	0.643	0.351	0.149
56	0.00371	0.643	0.351	0.149
57	0.00359	0.643	0.35	0.149
58	0.00398	0.643	0.35	0.149
59	0.00357	0.643	0.349	0.148
60	0.00355	0.643	0.349	0.149
61	0.00381	0.642	0.349	0.148
62	0.00342	0.642	0.348	0.148
63	0.00391	0.643	0.347	0.148
64	0.00437	0.643	0.346	0.147
65	0.00472	0.643	0.347	0.147
66	0.00497	0.642	0.347	0.147
67	0.00503	0.642	0.346	0.147
68	0.00526	0.642	0.345	0.147
69	0.00478	0.642	0.345	0.146
70	0.00468	0.642	0.344	0.146
71	0.00437	0.643	0.344	0.147
72	0.00433	0.643	0.344	0.147
73	0.00513	0.642	0.344	0.146
74	0.00471	0.643	0.343	0.147
75	0.00472	0.642	0.343	0.147
76	0.00533	0.642	0.343	0.147
77	0.00501	0.642	0.342	0.147
78	0.00512	0.643	0.342	0.147
79	0.0057	0.642	0.342	0.146
80	0.00587	0.642	0.341	0.146
81	0.00599	0.643	0.341	0.146
82	0.00623	0.641	0.341	0.146
83	0.00613	0.642	0.341	0.146
84	0.00633	0.642	0.34	0.146
85	0.00604	0.642	0.34	0.146
86	0.00601	0.642	0.34	0.146
87	0.00562	0.642	0.34	0.146
88	0.00553	0.643	0.34	0.146
89	0.00606	0.642	0.339	0.146
90	0.00612	0.642	0.339	0.146
91	0.00594	0.642	0.339	0.146
92	0.00651	0.642	0.339	0.146
93	0.00607	0.641	0.339	0.145
94	0.00633	0.643	0.338	0.146
95	0.00637	0.643	0.338	0.146
96	0.00653	0.642	0.338	0.146
97	0.00718	0.642	0.338	0.145
98	0.00703	0.641	0.337	0.145
99	0.00692	0.642	0.337	0.145
100	0.00707	0.642	0.337	0.145
101	0.00674	0.642	0.337	0.145
102	0.00671	0.642	0.337	0.145
103	0.00747	0.642	0.336	0.145
104	0.0072	0.643	0.336	0.145
105	0.00713	0.643	0.336	0.145
106	0.00706	0.642	0.336	0.145
107	0.00709	0.642	0.336	0.145
108	0.00732	0.641	0.336	0.145
109	0.00759	0.642	0.336	0.144
110	0.00811	0.641	0.335	0.144
111	0.00791	0.641	0.335	0.144
112	0.00803	0.642	0.335	0.144
113	0.00774	0.642	0.335	0.144
114	0.00781	0.642	0.334	0.144
115	0.00847	0.642	0.334	0.144
116	0.00822	0.642	0.334	0.144
117	0.00864	0.643	0.334	0.144
118	0.00907	0.643	0.334	0.144
119	0.00905	0.643	0.334	0.144
120	0.00873	0.643	0.334	0.144
121	0.00821	0.643	0.333	0.144
122	0.00837	0.643	0.333	0.144
123	0.00824	0.642	0.333	0.144
124	0.00827	0.642	0.333	0.144
125	0.00822	0.642	0.333	0.143
126	0.00813	0.642	0.333	0.144
127	0.00866	0.641	0.333	0.143
128	0.00862	0.642	0.333	0.143
129	0.00791	0.643	0.333	0.143
130	0.00882	0.642	0.332	0.143
131	0.00856	0.641	0.333	0.143
132	0.00865	0.642	0.332	0.143
133	0.00852	0.642	0.332	0.143
134	0.00889	0.642	0.332	0.143
135	0.00875	0.642	0.332	0.143
136	0.00937	0.642	0.332	0.143
137	0.00924	0.642	0.331	0.143
138	0.00881	0.642	0.331	0.142
139	0.0092	0.642	0.331	0.142
140	0.00892	0.642	0.332	0.142
141	0.00901	0.642	0.331	0.142
142	0.00924	0.642	0.331	0.142
143	0.00902	0.642	0.331	0.143
144	0.00906	0.642	0.331	0.142
145	0.0093	0.642	0.331	0.142
146	0.00901	0.641	0.331	0.142
147	0.00952	0.642	0.331	0.142
148	0.00934	0.642	0.331	0.142
149	0.00921	0.641	0.33	0.142
150	0.00962	0.641	0.33	0.142
151	0.00984	0.641	0.331	0.142
152	0.00999	0.642	0.33	0.142
153	0.0096	0.642	0.33	0.141
154	0.0102	0.642	0.33	0.142
155	0.0101	0.641	0.33	0.141
156	0.00985	0.642	0.33	0.141
157	0.0103	0.641	0.33	0.141
158	0.00959	0.641	0.33	0.141
159	0.00947	0.641	0.33	0.141
160	0.0103	0.641	0.33	0.141
161	0.0103	0.642	0.329	0.141
162	0.0104	0.641	0.33	0.14
163	0.0106	0.641	0.329	0.14
164	0.0104	0.641	0.329	0.14
165	0.0098	0.641	0.329	0.14
166	0.0107	0.641	0.329	0.14
167	0.0104	0.641	0.329	0.14
168	0.0101	0.642	0.329	0.14
169	0.0106	0.641	0.329	0.141
170	0.01	0.641	0.329	0.14
171	0.00978	0.641	0.329	0.14
172	0.0101	0.641	0.329	0.14
173	0.00989	0.641	0.329	0.14
174	0.0101	0.641	0.329	0.14
175	0.01	0.641	0.329	0.14
176	0.01	0.641	0.329	0.14
177	0.00986	0.641	0.329	0.14
178	0.01	0.641	0.329	0.14
179	0.0103	0.641	0.329	0.14
180	0.00923	0.641	0.329	0.14
181	0.00976	0.641	0.328	0.14
182	0.00943	0.641	0.329	0.14
183	0.00942	0.64	0.329	0.14
184	0.01	0.64	0.329	0.14
185	0.0105	0.64	0.329	0.14
186	0.0102	0.64	0.328	0.14
187	0.0106	0.64	0.328	0.14
188	0.0107	0.64	0.328	0.139
189	0.011	0.641	0.328	0.14
190	0.0102	0.64	0.328	0.14
191	0.0102	0.641	0.328	0.14
192	0.01	0.641	0.328	0.14
193	0.0106	0.641	0.328	0.139
194	0.0112	0.64	0.328	0.139
195	0.0112	0.641	0.328	0.139
196	0.0113	0.64	0.328	0.139
197	0.0115	0.641	0.327	0.139
198	0.0113	0.64	0.328	0.139
199	0.0115	0.64	0.328	0.139
200	0.0116	0.64	0.327	0.139
201	0.0117	0.64	0.327	0.139
202	0.0122	0.641	0.327	0.139
203	0.012	0.641	0.327	0.139
204	0.0119	0.641	0.326	0.139
205	0.0116	0.641	0.327	0.139
206	0.0118	0.641	0.327	0.139
207	0.0119	0.641	0.327	0.139
208	0.0119	0.64	0.327	0.139
209	0.012	0.64	0.326	0.139
210	0.0119	0.64	0.327	0.138
211	0.0116	0.64	0.327	0.138
212	0.0123	0.64	0.327	0.138
213	0.0117	0.64	0.327	0.138
214	0.0118	0.64	0.327	0.138
215	0.0118	0.64	0.327	0.138
216	0.0114	0.64	0.327	0.138
217	0.012	0.64	0.327	0.138
218	0.0123	0.64	0.327	0.138
219	0.0122	0.64	0.327	0.138
220	0.0125	0.64	0.326	0.138
221	0.012	0.64	0.326	0.138
222	0.0118	0.64	0.327	0.138
223	0.0124	0.639	0.327	0.138
224	0.012	0.64	0.327	0.138
225	0.0115	0.639	0.327	0.138
226	0.0117	0.64	0.327	0.138
227	0.0119	0.64	0.327	0.138
228	0.0118	0.639	0.327	0.138
229	0.0118	0.639	0.327	0.137
230	0.0121	0.639	0.327	0.138
231	0.0126	0.639	0.327	0.138
232	0.0123	0.639	0.327	0.138
233	0.0125	0.639	0.327	0.138
234	0.0126	0.639	0.326	0.138
235	0.013	0.639	0.326	0.138
236	0.0127	0.639	0.326	0.138
237	0.013	0.639	0.326	0.137
238	0.013	0.64	0.326	0.138
239	0.0132	0.639	0.326	0.137
240	0.0128	0.639	0.326	0.138
