Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
5	0.0111	0.555	0.614	0.292
6	0.00888	0.562	0.625	0.288
7	0.0061	0.542	0.627	0.27
8	0.0058	0.536	0.631	0.264
9	0.00349	0.533	0.635	0.26
10	0.00352	0.528	0.639	0.255
11	0.00435	0.522	0.643	0.251
12	0.00372	0.519	0.644	0.249
13	0.00482	0.515	0.645	0.246
14	0.0048	0.514	0.644	0.245
15	0.00508	0.511	0.647	0.244
16	0.00509	0.51	0.648	0.244
17	0.00417	0.508	0.647	0.243
18	0.00462	0.508	0.647	0.242
19	0.00454	0.507	0.647	0.243
20	0.00364	0.507	0.647	0.242
21	0.00452	0.505	0.646	0.242
22	0.00474	0.504	0.647	0.241
23	0.0047	0.504	0.646	0.241
24	0.00485	0.503	0.646	0.24
25	0.00473	0.502	0.646	0.239
26	0.00425	0.501	0.647	0.239
27	0.00506	0.5	0.647	0.239
28	0.00573	0.501	0.646	0.24
29	0.00466	0.502	0.645	0.24
30	0.0049	0.5	0.646	0.239
31	0.00514	0.5	0.646	0.238
32	0.00546	0.5	0.646	0.238
33	0.00576	0.5	0.646	0.239
34	0.00539	0.499	0.646	0.238
35	0.00487	0.499	0.646	0.238
36	0.0053	0.498	0.646	0.238
37	0.00567	0.499	0.646	0.238
38	0.0064	0.499	0.645	0.238
39	0.00647	0.499	0.645	0.238
40	0.00713	0.498	0.645	0.238
41	0.00735	0.498	0.644	0.238
42	0.00721	0.499	0.644	0.238
43	0.00731	0.499	0.644	0.239
44	0.00749	0.498	0.645	0.238
45	0.00772	0.498	0.644	0.239
46	0.00709	0.498	0.644	0.238
47	0.00743	0.498	0.644	0.239
48	0.00752	0.498	0.644	0.238
49	0.0069	0.498	0.644	0.239
50	0.00661	0.498	0.644	0.238
51	0.00605	0.498	0.644	0.238
52	0.00597	0.498	0.644	0.239
53	0.00604	0.497	0.645	0.238
54	0.0065	0.497	0.645	0.238
55	0.00657	0.498	0.644	0.239
56	0.0069	0.497	0.645	0.239
57	0.00646	0.497	0.645	0.239
58	0.00705	0.497	0.645	0.239
59	0.00649	0.496	0.646	0.238
60	0.00635	0.496	0.647	0.239
61	0.00653	0.496	0.647	0.239
62	0.00648	0.496	0.647	0.239
63	0.00672	0.496	0.646	0.24
64	0.00713	0.496	0.646	0.24
65	0.00754	0.495	0.647	0.239
66	0.00776	0.495	0.647	0.239
67	0.00774	0.495	0.646	0.239
68	0.00811	0.495	0.647	0.239
69	0.00787	0.495	0.647	0.239
70	0.00778	0.495	0.646	0.24
71	0.00765	0.495	0.647	0.24
72	0.00759	0.495	0.647	0.24
73	0.00835	0.494	0.648	0.24
74	0.00794	0.494	0.648	0.24
75	0.00789	0.495	0.647	0.24
76	0.00832	0.495	0.647	0.24
77	0.00794	0.495	0.647	0.241
78	0.00833	0.495	0.647	0.24
79	0.0087	0.494	0.647	0.24
80	0.0088	0.494	0.648	0.24
81	0.00932	0.494	0.648	0.24
82	0.00943	0.493	0.648	0.24
83	0.00934	0.493	0.649	0.24
84	0.00968	0.493	0.649	0.24
85	0.00956	0.493	0.649	0.24
86	0.00927	0.494	0.648	0.241
87	0.00925	0.493	0.649	0.241
88	0.00909	0.494	0.649	0.241
89	0.00941	0.493	0.649	0.241
90	0.00972	0.493	0.65	0.241
91	0.00944	0.493	0.649	0.241
92	0.00963	0.493	0.65	0.242
93	0.00962	0.492	0.65	0.241
94	0.00981	0.493	0.651	0.241
95	0.0101	0.492	0.651	0.241
96	0.0104	0.492	0.651	0.241
97	0.0112	0.491	0.652	0.241
98	0.0108	0.491	0.652	0.241
99	0.0104	0.492	0.652	0.241
100	0.0105	0.492	0.652	0.242
101	0.0102	0.492	0.652	0.242
102	0.0101	0.491	0.653	0.241
103	0.0105	0.491	0.653	0.242
104	0.0103	0.491	0.653	0.241
105	0.0101	0.49	0.653	0.241
106	0.0101	0.491	0.653	0.241
107	0.01	0.49	0.653	0.241
108	0.0106	0.489	0.654	0.241
109	0.0106	0.49	0.654	0.241
110	0.0109	0.489	0.654	0.24
111	0.0108	0.489	0.654	0.241
112	0.0105	0.49	0.654	0.241
113	0.0106	0.489	0.654	0.24
114	0.0109	0.489	0.655	0.24
115	0.0115	0.49	0.654	0.241
116	0.0114	0.489	0.654	0.241
117	0.0116	0.49	0.655	0.241
118	0.0119	0.49	0.655	0.242
119	0.0117	0.489	0.655	0.242
120	0.0114	0.489	0.656	0.242
121	0.0112	0.49	0.655	0.242
122	0.0116	0.489	0.655	0.242
123	0.0116	0.489	0.656	0.242
124	0.0115	0.489	0.655	0.242
125	0.0114	0.489	0.656	0.242
126	0.0113	0.489	0.656	0.243
127	0.0118	0.488	0.657	0.242
128	0.0118	0.488	0.657	0.242
129	0.0113	0.489	0.657	0.243
130	0.012	0.489	0.657	0.243
131	0.0117	0.488	0.657	0.242
132	0.0115	0.488	0.657	0.242
133	0.0112	0.488	0.657	0.242
134	0.0113	0.487	0.658	0.242
135	0.0117	0.487	0.658	0.242
136	0.012	0.488	0.658	0.242
137	0.0119	0.487	0.658	0.243
138	0.0116	0.487	0.658	0.242
139	0.0121	0.488	0.658	0.243
140	0.012	0.487	0.659	0.243
141	0.0122	0.487	0.659	0.243
142	0.0122	0.487	0.659	0.243
143	0.0123	0.487	0.659	0.243
144	0.0125	0.486	0.66	0.243
145	0.0127	0.487	0.66	0.243
146	0.0127	0.486	0.66	0.243
147	0.0129	0.486	0.66	0.242
148	0.0126	0.486	0.66	0.243
149	0.0124	0.485	0.661	0.243
150	0.0126	0.485	0.661	0.243
151	0.0128	0.486	0.66	0.243
152	0.013	0.486	0.661	0.243
153	0.0129	0.485	0.661	0.243
154	0.0131	0.485	0.661	0.243
155	0.013	0.485	0.661	0.243
156	0.0129	0.485	0.661	0.243
157	0.0135	0.485	0.662	0.243
158	0.0132	0.484	0.662	0.243
159	0.0132	0.484	0.662	0.243
160	0.0136	0.484	0.662	0.242
161	0.0136	0.485	0.662	0.243
162	0.0138	0.484	0.662	0.243
163	0.0139	0.484	0.663	0.242
164	0.0135	0.483	0.663	0.243
165	0.0134	0.483	0.664	0.243
166	0.0141	0.483	0.664	0.242
167	0.0137	0.483	0.664	0.243
168	0.0138	0.483	0.664	0.242
169	0.0141	0.483	0.664	0.243
170	0.0139	0.482	0.665	0.242
171	0.0135	0.482	0.665	0.242
172	0.0139	0.483	0.665	0.243
173	0.0138	0.482	0.666	0.243
174	0.0139	0.482	0.665	0.243
175	0.0138	0.482	0.665	0.243
176	0.0138	0.482	0.666	0.243
177	0.0136	0.482	0.666	0.243
178	0.0137	0.482	0.666	0.243
179	0.014	0.481	0.666	0.243
180	0.0132	0.482	0.666	0.243
181	0.0131	0.482	0.667	0.243
182	0.0129	0.481	0.667	0.243
183	0.0135	0.481	0.667	0.243
