Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
5	0.496	0.278	0.157	0.0661
6	0.507	0.277	0.16	0.0642
7	0.51	0.273	0.159	0.0595
8	0.511	0.273	0.159	0.0587
9	0.51	0.274	0.158	0.0583
10	0.508	0.272	0.159	0.0577
11	0.505	0.27	0.159	0.0572
12	0.505	0.269	0.159	0.0567
13	0.504	0.268	0.159	0.056
14	0.503	0.267	0.159	0.0557
15	0.501	0.266	0.16	0.0553
16	0.5	0.266	0.159	0.0551
17	0.501	0.265	0.159	0.0547
18	0.5	0.265	0.159	0.0545
19	0.498	0.264	0.159	0.0543
20	0.497	0.264	0.159	0.0541
21	0.498	0.264	0.158	0.0539
22	0.497	0.264	0.158	0.0537
23	0.496	0.263	0.158	0.0536
24	0.495	0.263	0.158	0.0534
25	0.495	0.262	0.157	0.0531
26	0.495	0.262	0.157	0.053
27	0.494	0.262	0.157	0.0528
28	0.493	0.262	0.157	0.0527
29	0.493	0.262	0.157	0.0527
30	0.492	0.262	0.157	0.0525
31	0.492	0.262	0.156	0.0524
32	0.491	0.261	0.156	0.0522
33	0.49	0.262	0.156	0.0522
34	0.49	0.261	0.156	0.0521
35	0.489	0.261	0.156	0.0521
36	0.489	0.261	0.156	0.0519
37	0.488	0.261	0.155	0.052
38	0.488	0.261	0.155	0.052
39	0.488	0.262	0.155	0.052
40	0.488	0.261	0.155	0.0518
41	0.487	0.261	0.155	0.0518
42	0.485	0.262	0.154	0.0518
43	0.485	0.261	0.154	0.0518
44	0.485	0.261	0.154	0.0517
45	0.484	0.262	0.154	0.0517
46	0.484	0.261	0.154	0.0516
47	0.483	0.262	0.154	0.0516
48	0.482	0.261	0.154	0.0515
49	0.482	0.261	0.154	0.0514
50	0.481	0.261	0.153	0.0513
51	0.48	0.261	0.153	0.0513
52	0.48	0.261	0.153	0.0512
53	0.479	0.261	0.153	0.0511
54	0.479	0.261	0.153	0.0511
55	0.478	0.261	0.153	0.0512
56	0.478	0.261	0.153	0.0512
57	0.477	0.261	0.153	0.0512
58	0.476	0.261	0.153	0.0511
59	0.476	0.261	0.153	0.0511
60	0.475	0.261	0.152	0.0512
61	0.475	0.261	0.152	0.0512
62	0.474	0.261	0.152	0.0512
63	0.474	0.261	0.152	0.0513
64	0.473	0.261	0.152	0.0511
65	0.473	0.261	0.152	0.0511
66	0.473	0.261	0.152	0.0511
67	0.472	0.261	0.152	0.051
68	0.472	0.261	0.152	0.0511
69	0.472	0.261	0.152	0.051
