,numeric,lon,lat,address
고등학교학생,444,127.0516132,37.475978,"65 gaepo-ro 22-gil, gangnam-gu, seoul, south korea"
고등학교학생,964,127.0391179,37.5958295,"36 wolgok-ro, jongam-dong, seongbuk-gu, seoul, south korea"
고등학교학생,514,126.9064243,37.4463538,"24-17 siheung-dong, geumcheon-gu, seoul, south korea"
고등학교학생,1231,127.1165911,37.5011923,"42 songi-ro, songpa-gu, seoul, south korea"
고등학교학생,562,126.9095726,37.5743151,"100-35 susaek-ro, bukgajwa 1(il)-dong, seodaemun-gu, seoul, south korea"
고등학교학생,805,127.1777318,37.5639542,"40 arisu-ro 98-gil, gangdong-gu, seoul, south korea"
고등학교학생,1184,127.0596014,37.4846776,"402 gaepo-ro, gangnam-gu, seoul, south korea"
고등학교학생,1689,127.05525,37.5161265,"643 yeongdong-daero, gangnam-gu, seoul, south korea"
고등학교학생,1676,127.0660933,37.486824,"29 samseong-ro, gangnam-gu, seoul, south korea"
고등학교학생,879,127.0149147,37.586143,"49 bomun-ro 29-gil, seongbuk-gu, seoul, south korea"
고등학교학생,1535,126.9717423,37.5872659,"9 jahamun-ro 28ga-gil, cheongun-dong, jongno-gu, seoul, south korea"
고등학교학생,1508,126.8657015,37.4964627,"31 gyeongin-ro 46-gil, guro-gu, seoul, south korea"
고등학교학생,740,127.0475745,37.5436777,"27 seongsuil-ro, seongsu-dong 1(il)-ga, seongdong-gu, seoul, south korea"
고등학교학생,944,126.8506504,37.5085758,"162 jungang-ro 15-gil, guro-gu, seoul, south korea"
고등학교학생,825,126.8063749,37.5686983,"495 gaehwadong-ro, gangseo-gu, seoul, south korea"
고등학교학생,1187,126.882934,37.5214974,"26 yeongdeungpo-ro 6-gil, yeongdeungpo-gu, seoul, south korea"
고등학교학생,1888,127.1018748,37.5413179,"554-11 gwangjang-dong, gwangjin-gu, seoul, south korea"
고등학교학생,970,127.0855989,37.5293846,"31 jayang-ro 3ga-gil, gwangjin-gu, seoul, south korea"
고등학교학생,1300,126.8896924,37.4984981,"45 gamasan-ro 27-gil, guro-gu, seoul, south korea"
고등학교학생,848,126.9502242,37.4924558,"57 seonghyeon-ro, sangdo-dong, gwanak-gu, seoul, south korea"
고등학교학생,1405,126.873852,37.4941106,"90-51 guil-ro, guro-gu, seoul, south korea"
고등학교학생,915,126.8744126,37.5022703,"17 gyeongin-ro 53ga-gil, guro-gu, seoul, south korea"
고등학교학생,856,126.8442611,37.5106219,"213 sinjeong-ro, yangcheon-gu, seoul, south korea"
고등학교학생,961,126.9055327,37.444959,"26 siheung-daero 38-gil, geumcheon-gu, seoul, south korea"
고등학교학생,1037,127.0518346,37.6638702,"855-25 sanggye-dong, nowon-gu, seoul, south korea"
고등학교학생,907,127.0498868,37.6855142,"849 madeul-ro, dobong-gu, seoul, south korea"
고등학교학생,987,126.9346016,37.4916205,"108 bongcheon-ro 21-gil, gwanak-gu, seoul, south korea"
고등학교학생,853,126.9056461,37.5033892,"16 dorim-ro 86-gil, yeongdeungpo-gu, seoul, south korea"
고등학교학생,432,127.0428051,37.6867707,"27 dobongsan-gil, dobong-gu, seoul, south korea"
고등학교학생,1028,126.9108536,37.4760267,"64 munseong-ro, geumcheon-gu, seoul, south korea"
고등학교학생,1251,126.9652979,37.4823386,"51 solbat-ro, dongjak-gu, seoul, south korea"
고등학교학생,1223,127.1439317,37.530868,"140 myeongil-ro, gangdong-gu, seoul, south korea"
고등학교학생,846,126.8450161,37.5625935,"115 gonghang-daero 39-gil, gangseo-gu, seoul, south korea"
고등학교학생,958,127.0971627,37.5842779,"36-14 yongmasan-ro 72-gil, jungnang-gu, seoul, south korea"
고등학교학생,1125,127.1500544,37.549855,"350 myeongil-ro, gangdong-gu, seoul, south korea"
고등학교학생,1394,127.03352,37.557398,"197 gosanja-ro, haengdang-dong, seongdong-gu, seoul, south korea"
고등학교학생,1027,127.1267288,37.4847089,"62 songi-ro 34-gil, songpa-gu, seoul, south korea"
고등학교학생,907,127.1287497,37.4812764,"115 chungmin-ro, songpa-gu, seoul, south korea"
고등학교학생,601,127.0122428,37.6232973,"39 insubong-ro, gangbuk-gu, seoul, south korea"
고등학교학생,1205,127.016153,37.5022177,"71 gomurae-ro, seocho-gu, seoul, south korea"
고등학교학생,1269,127.1204817,37.508227,"18 ogeum-ro 27-gil, songpa-gu, seoul, south korea"
고등학교학생,1329,127.0801792,37.648924,"155 junggye-ro, nowon-gu, seoul, south korea"
고등학교학생,892,127.0200563,37.6160082,"40 samyang-ro 19-gil, gangbuk-gu, seoul, south korea"
고등학교학생,754,126.943685,37.4691633,"41 sillim-ro, gwanak-gu, seoul, south korea"
고등학교학생,1542,127.0556823,37.6525328,"432 nohae-ro, nowon-gu, seoul, south korea"
고등학교학생,997,126.8836186,37.5813449,"445 world cup buk-ro, mapo-gu, seoul, south korea"
고등학교학생,1805,127.005399,37.4842697,"197 hyoryeong-ro, seocho-gu, seoul, south korea"
고등학교학생,391,126.9982134,37.5916754,"63 hyehwa-ro, jongno-gu, seoul, south korea"
고등학교학생,451,126.9959635,37.59134,"40 sungkyunkwan-ro 13-gil, jongno-gu, seoul, south korea"
고등학교학생,1043,126.9485819,37.5478121,"34 baekbeom-ro 25-gil, mapo-gu, seoul, south korea"
고등학교학생,398,127.130579,37.5216734,"232 gangdong-daero, songpa-gu, seoul, south korea"
고등학교학생,1213,127.0057059,37.4893551,"29 banpo-daero 27-gil, seocho-gu, seoul, south korea"
고등학교학생,1219,127.0664232,37.610067,"30 hancheon-ro 70-gil, seongbuk-gu, seoul, south korea"
고등학교학생,695,127.1359719,37.5564791,"17 godeok-ro 25-gil, gangdong-gu, seoul, south korea"
