"문화재 일련번호","문화재명칭_한글","한자","영문","수량ㆍ규모","규격","구조ㆍ형식","재질","조성연대","측량성과","소재지ㆍ보관장소_자치구","기타주소","관리청","지정일","해제일"
"11001","봉황각","鳳凰閣","Bonghwanggak"," 건물 1棟, 토지 169.8㎡","부동산건조물 대상항목 아님","정면 5칸, 측면 5칸, 팔작지붕집","석조 기단, 목조","","","강북구"," 삼양로 173길  107-12 (우이동)","","19690918",""
"11002","양관","洋館","","1棟","부동산건조물 대상항목 아님","지상 3층 탑, 르네상스 양식","구조 - 벽돌조, 외장재 - 회색 벽돌, 화강암"," 고종 27년 (1890)","","중구"," 정동 15-3","","19690918","19781218"
"11003","낙성대 삼층석탑","落星垈 三層石塔","Nakseongdae 삼층석탑","석탑 1基, 토지 3.7㎡","부동산건조물 대상항목 아님","탑 높이 4.48m, 단층기단 위의 3층탑","석조 기단, 목조","","","관악구","낙성대로 77 (봉천동)","관악구청","19720525",""
"11004","용양봉저정","龍?鳳?亭","Yongyangbongjeojeong "," 건물 1棟, 토지 162.6㎡","부동산건조물 대상항목 아님","정면 6칸, 측면 2칸, 익공계 팔작지붕","석조 기단, 목조","","","동작구"," 노량진로32길 14-5 , 노량진로32길 14-7 (본동)","동작구청","19720525",""
"11005","성제묘","聖帝廟","Seongjemyo (Shrine)"," 건물 1棟, 토지 21.4㎡","부동산건조물 대상항목 아님","정면 1칸, 측면 1칸 목조 맞배지붕","복합","","","중구","동호로 385-1 (방산동)","중구청","19720525",""
"11006","사육신묘","死六臣墓","Graveyard for the Six Martyred Ministers"," 분묘 4基, 묘표 4基, 토지 90.4㎡","부동산건조물 대상항목 아님","9,370평(7기)","복합","","","동작구"," 노량진로 191 (노량진동)","동작구청","19720525",""
"11007","종친부 경근당과 옥첩당","宗親府 敬近堂과 玉牒堂","Jongchinbu 경근당과 옥첩당"," 건물 3棟, 월대(앞계단), 토지 810.2㎡","부동산건조물 대상항목 아님","정면 7칸, 측면 5칸, 정면 5 칸, 측면 3칸, 익공계 단층 팔작지붕","석조 기단, 목조","","","종로구","북촌로5길 48 (화동)","","19720525",""
"11008","한우물","한우물","","토지 75,053㎡","부동산건조물 대상항목 아님","길이 22m,  폭 12m, 깊이 1.2m","석축","","","금천구","시흥동 산83-1","","19720830","19910226"
"11009","양녕대군 이제 묘역","讓寧大君 李? 墓域","Graveyard for Prince Yangnyeong Yi Je","건물 3棟, 분묘 1基, 석물 7基, 토지 1,739㎡","부동산건조물 대상항목 아님","봉분과 석물","석조기단, 목조 ","","","동작구"," 양녕로 167 (상도동)","","19720830",""
"11010","효령대군 이보 묘역","孝寧大君 李補 墓域","Graveyard for Prince Hyoryeong Yi Bo"," 건물 1棟, 분묘 2基, 석물 10基, 토지 1,535.1㎡","부동산건조물 대상항목 아님","정면 3칸, 측면 2칸 및 묘역","석조기단, 목조","","","서초구"," 효령로 135 (방배동)","","19720830",""
"11011","동십자각","東十字閣","Dongsipjagak"," 1동","부동산건조물 대상항목 아님","정면 3칸, 측면 2칸 ","석조기단, 목조누각"," 1880년","","종로구"," 세종로 1-58, 1-65","","19720830","20060828"
"11012","선농단","先農檀","","지정면적 (2평) 보호구역(383㎡)","부동산건조물 대상항목 아님","4m의 석축단(石築壇)","석(계)단 ","성종 7년(1476년)","","동대문구","제기2동 274-1번지","","19730126","20020315"
"11013","삼군부 청헌당","三軍府 淸憲堂","Samgunbu Cheongheondang"," 건물 1棟, 토지 283㎡","부동산건조물 대상항목 아님","정면 5칸 측면 3칸, 단층 익공계 팔작지붕","석조 기단, 목조","","","노원구"," 화랑로 574 육군사관학교 (공릉동)","","19730618",""
"11014","수표교","水標橋","Supyogyo (Br)"," 다리 1基, 토지 210.3㎡","부동산건조물 대상항목 아님","길이 27.5m, 너비 7.5m, 높이 4m","화강암","조선 세종 2년(1420), 영조 43~44년(1767~1768) 개조 추정","","중구"," 장충동2가 197-1, 산4-50, 산6-5 ","중구청","19730618",""
"11015","경희궁 흥화문","慶熙宮 興化門","Heunghwamun of Gyeonghuigung Palace"," 건물 1棟, 토지 303.1㎡","부동산건조물 대상항목 아님","정면 3칸 측면 2칸, 단층 다포계 우진각지붕","석조 기단, 목조","","","종로구"," 새문안로 55 서울역사박물관 (신문로2가)","종로구청","19740115",""
"11016","경희궁 숭정전","慶熙宮  崇政殿","Sungjeongjeon Hall of Gyeonghuigung Palace"," 건물 1棟, 토지 575.8㎡","부동산건조물 대상항목 아님","정면 5칸, 측면 4칸, 주심포계 다포형식, 팔작지붕","석조기단 목조","","","중구"," 필동로1길 30 (장충동2가)","","19740115",""
"11017","운현궁","雲峴宮",""," 6棟 (324평)","부동산건조물 대상항목 아님","단층 팔작지붕","석조 기단, 목조","","","종로구"," 삼일대로 464 (운니동)","","19740115","19781218"
"11018","석파정 별당","石坡亭 別堂","Daewongun's Villa"," 건물 1棟, 토지 85.2㎡","부동산건조물 대상항목 아님"," 정면 5칸, 측면 3칸, 단층 맞배지붕","석조 기단, 벽돌조 및 목조","","","종로구"," 자하문로 309 (홍지동)","","19740115",""
"11019","황학정","黃鶴亭","Hwanghakjeong"," 건물 1棟, 토지 154.1㎡","부동산건조물 대상항목 아님","정면 4칸, 측면 2칸, 단층 겹처마 팔작지붕","석조 기단, 목조","","","종로구"," 사직로9길 15-32 (사직동)","","19740115",""
"11020","석파정","石坡亭","Seokpajeong"," 건물 4棟, 각자바위 2基, 정자 초석 1基, 토자 1,108.4㎡","부동산건조물 대상항목 아님","별장 1동","석조 기단, 목조","","","종로구"," 창의문로11길 4-1 (부암동)","","19740115",""
"11021","삼층석탑","三層石塔","Three Story Stone Pagoda"," 석탑 1基, 토지 2.5㎡","부동산건조물 대상항목 아님","높이 2.2m, 이층의 기단부에 3층의 탑신부를 갖춘 일반형 석탑","화강암","","","성북구","성북로 102-11 (성북동)","","19740512",""
"11022","석조팔각승탑","石造八角僧塔","Octagonal Stone Stupa"," 부도 1基, 토지 2.8㎡","부동산건조물 대상항목 아님","높이 6.1m","화강암","","","성북구"," 성북로 102-11 (성북동)","","19740512",""
"11023","선희궁 터","宣禧宮 터","Seonhuigung Site"," 건물 1棟, 기단및계단 1기, 토지 695.2㎡","부동산건조물 대상항목 아님","정면3칸, 측면 2칸의 단층맞배지붕 목조기와 건물","석축 기단, 벽돌벽, 목조","","","종로구","필운대로 103 (신교동)","","19750510",""
"11024","홍지문 및 탕춘대성","弘智門 및 蕩春臺城","Hongjimun and Tangchundaeseong"," 전장 4,882.3m","부동산건조물 대상항목 아님","[탕춘대성]약 4㎞, [홍지문]홍예문이 있는 축대 위에 단층 문루(문루는 정면 3칸, 측면 2칸의 우진각지붕 건물로 평면 40㎡ )","복합","","","서대문구"," 홍제동 산4-4 등","종로구청","19760623",""
"11025","성공회 서울성당","聖公會 서울聖堂","Seoul Anglican Church"," 건물 1棟(증축부분포함), 토지 1,586.7㎡","부동산건조물 대상항목 아님","지하 1층, 지상 3층, 로마네스크 양식","구조- 목조 트러스, 외장재- 적벽돌ㆍ화강암","","","중구"," 세종대로19길 16 (정동)","","19781218",""
"11026","천도교 중앙대교당","天道敎 中央大敎堂","The Central Temple of Chondogyo"," 건물 1棟, 토지 750.1㎡","부동산건조물 대상항목 아님","지상 2층 및 탑부 4층 비엔나 쎄제션풍(風)","구조 - 벽돌조, 외장재 - 적벽돌ㆍ화강암 ","","","종로구"," 삼일대로 457 (경운동)","","19781218",""
"11027","삼군부 총무당","三軍府 總武堂","Samgunbu Chongmudang"," 건물 1棟, 토지 443.2㎡","부동산건조물 대상항목 아님","정면 7칸 측면 4칸, 익공계 단층 팔작지붕","석조 기단, 목조","조선 고종 5년(1868)","","성북구"," 삼선동1가 303, 산1-12, 산1-13","성북구청","19781218",""
"11028","약사사 삼층석탑","藥師寺 三層石塔","Three Storied Stone Pagoda of Yaksasa Temple"," 석탑 1基, 토지 2.6㎡","부동산건조물 대상항목 아님","높이 4m, 단층 기단 위에 3층의 탑신부를 갖춘 일반 형 석탑","화강암","","","강서구","금낭화로17길 261 (개화동)","","19800611",""
"11029","구영릉 석물","舊英陵 石物","Tomb Monument of King Sejong"," 석물 13基, 토지 22.6㎡","부동산건조물 대상항목 아님","비신 높이 5.7m, 두께 50cm, 너비(下端 1.55m, 上端 1.78m) ","대리석","","","동대문구"," 홍릉로 90 , 회기로 56 (청량리동)","","19800611",""
"11030","상봉동5층석탑","上鳳洞五層石塔",""," 1基","부동산건조물 대상항목 아님","5층석탑","석조"," 고려시대로 추정","","중랑구"," 상봉동 344-1","","19801028","19930410"
"11031","상봉동석제태실신석","上鳳洞石製胎室身石",""," 1基","부동산건조물 대상항목 아님","","석조"," 연대 미상","","중랑구"," 상봉동 344-1","","19801028","19930410"
