"연번","업소명","업종","업태","소재지","도로명주소","전화번호","한실수","양실수"
"125","휴모텔","숙박업(일반)","여관업","서울특별시 종로구 숭인동 352번지","서울특별시 종로구 보문로7길 6-15, (숭인동)","02-953-3538","10",""
"126","인사동 미니 호텔","숙박업(일반)","여관업","서울특별시 종로구 관훈동 84번지 4호","서울특별시 종로구 인사동14길 26, (관훈동)","02-733-1355","10","5"
"127","미 하우스","숙박업(일반)","여관업","서울특별시 종로구 숭인동 1233번지","서울특별시 종로구 보문로 15-1, (숭인동)","02-235-2641","20",""
"128","레몬트리호텔(Lemon Tree)","숙박업(일반)","여관업","서울특별시 종로구 돈의동 59번지","서울특별시 종로구 돈화문로5가길 39, (돈의동)","02-762-5722","","26"
"129","하나장","숙박업(일반)","여관업","서울특별시 종로구 숭인동 1407번지","서울특별시 종로구 난계로29길 19-7, (숭인동)","02-2232-1204","7","10"
"130","초원장","숙박업(일반)","여관업","서울특별시 종로구 숭인동 202번지 35호","서울특별시 종로구 난계로27길 30-4, (숭인동)","02-2237-4200","18",""
"131","이화","숙박업(일반)","여관업","서울특별시 종로구 효제동 244번지","서울특별시 종로구 대학로2길 23, (효제동)","02-762-8456","12",""
"132","동신","숙박업(일반)","여관업","서울특별시 종로구 낙원동 283번지 14호","서울특별시 종로구 인사동길 22-7, (낙원동)","02-735-8697","16",""
"133","라휘느","숙박업(일반)","여관업","서울특별시 종로구 돈의동 161번지 3호","서울특별시 종로구 수표로22길 24, (돈의동)","02-763-7366","10",""
"134","스타호스텔 동대문 광장 마켓점","숙박업(일반)","여관업","서울특별시 종로구 효제동 245번지 2호","서울특별시 종로구 대학로2길 15, (효제동)","02-744-2142","5","15"
"135","(주)낙원장","숙박업(일반)","여관업","서울특별시 종로구 익선동 170번지","서울특별시 종로구 수표로28길 25, (익선동)","02-765-9595","22",""
"136","카라","숙박업(일반)","여관업","서울특별시 종로구 낙원동 135번지 1호","서울특별시 종로구 수표로26길 3, (낙원동)","02-741-4455","14","20"
"137","쿠즈호텔","숙박업(일반)","여관업","서울특별시 종로구 운니동 25번지 1호","서울특별시 종로구 돈화문로11가길 83, (운니동)","02-962-1057","8","20"
"138","호텔가온골든파크","숙박업(일반)","여관업","서울특별시 종로구 창신동 406번지 4호","서울특별시 종로구 종로44길 77-0, (창신동)","02-762-3702","23","24"
