역명,호선명,인구300,가구300,주택300,사업체수300,교육시설300,공공기관300,금융시설300,의료시설300,대중교통300,방범/방재300,백화점/중대형마트300,편의점300,극장/영화관300,도서관/박물관300,인구500,가구500,주택500,사업체수500,교육시설500,공공기관500,금융시설500,의료시설500,대중교통500,방범/방재500,백화점/중대형마트500,편의점500,극장/영화관500,도서관/박물관500,전철역코드,호선,외부코드,사이버스테이션,주소,현장민원소,관광안내소,문화공간,항공권판매,장애인시설,만남의장소,주차장,자전거보관소,무인민원발급기,역무실,수유방,엘레베이터,에스컬레이터,휠체어리프트시설,스피드게이트,화장실,X좌표,Y좌표,X좌표(WGS),Y좌표(WGS)
회룡,1호선,14630,5078,4750,861,9,3,7,85,12,2,1,8,0,1,31142,10759,10097,1418,15,5,10,133,14,2,1,14,0,2,1905,1,111,1905,경기도 의정부시 평화로 363,,,,,,,,,,,N,,,,,게이트 외부,510190,1172670,37.724846,127.046895
도봉산(7),1호선,5014,1767,1600,213,2,0,0,10,6,0,0,2,0,0,16113,5719,5227,713,7,1,1,34,27,1,0,7,0,0,1903,1,113,1903,서울특별시 도봉구 도봉로 964-33,N,N,N,N,N,N,Y,N,,,N,,,,,게이트 외부,510065,1163090,37.689313,127.046222
청량리(지상),1호선,6188,2920,2018,2595,0,1,48,69,19,0,2,10,3,0,19000,8688,5485,4873,0,8,62,110,32,4,2,15,3,0,158,1,124,158,서울특별시 동대문구 왕산로 지하 205,N,N,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,게이트 외부,510002,1132640,37.580178,127.046835
제기동,1호선,11397,5423,4297,1842,1,4,14,106,10,1,0,9,0,1,23489,10735,7815,5049,3,8,58,159,29,2,1,18,1,1,157,1,125,157,서울특별시 동대문구 왕산로 지하 93,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,게이트 외부,507552,1132159,37.578103,127.034893
신설동,1호선,7792,4168,2991,3249,5,7,95,39,18,2,0,28,0,1,19542,9501,6463,5286,5,9,112,66,32,3,1,40,1,1,156,1,126,156,서울특별시 동대문구 왕산로 지하 1,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,게이트 외부,505342,1131412,37.575297,127.025087
동묘앞,1호선,10625,5274,3634,3437,6,4,36,67,16,1,0,19,0,1,25957,12241,8879,16704,12,14,99,114,34,6,1,44,3,3,159,1,127,159,서울특별시 종로구 종로 359,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,게이트 외부,503422,1130557,37.572627,127.016429
동대문,1호선,7802,3836,2467,23756,6,14,86,138,33,6,0,34,4,1,18314,8526,5923,25707,12,16,96,171,45,8,0,46,4,2,155,1,128,155,서울특별시 종로구 종로 지하 302,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,게이트 외부,502155,1130180,37.57142,127.009745
종로 5가,1호선,3692,1950,1482,17575,2,9,93,135,38,5,0,26,2,1,6060,3305,2450,24775,6,14,123,162,55,6,0,38,4,1,154,1,129,154,서울특별시 종로구 종로 지하 216,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,게이트 외부,500162,1130132,37.570926,127.001849
종로 3가,1호선,2786,1836,1209,14115,2,10,150,103,35,5,0,44,4,9,5312,3085,2293,21395,4,20,323,169,54,7,0,86,9,25,153,1,130,153,서울특별시 종로구 종로 지하 129,N,N,N,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,게이트 외부,498060,1130332,37.571607,126.991806
종각,1호선,1878,1266,1103,8485,3,32,378,160,41,6,0,67,4,25,3995,2347,1782,15739,11,42,766,303,78,9,4,111,14,30,152,1,131,152,서울특별시 종로구 종로 지하 55,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,게이트 외부,496085,1129940,37.570161,126.982923
시청(2),1호선,804,428,410,5732,7,20,423,103,44,4,5,43,5,5,2764,1101,955,20468,9,42,853,317,88,8,7,104,15,13,151,1,132,151,서울특별시 중구 세종대로 지하 101,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,게이트 외부,494587,1128532,37.564718,126.977108
서울역,1호선,5119,2980,2147,1582,0,4,93,50,24,2,1,27,1,0,17824,8943,6175,3850,2,12,205,102,37,3,1,47,1,2,150,1,133,150,서울특별시 중구 세종대로 지하 2,N,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,게이트 외부,493365,1125595,37.554648,126.972559
용두(동대문구청),2호선,9719,4464,3010,2026,0,9,19,36,11,3,1,8,0,3,22997,10222,6768,5617,8,13,60,134,34,3,1,15,1,3,250,2,211-3,250,서울특별시 동대문구 천호대로 지하 129,N,N,N,N,,,,,,,N,,,,,게이트 내부,508200,1131077,37.574028,127.038091
신정네거리,2호선,14994,6609,3501,1166,0,3,10,68,10,1,0,9,0,0,36618,15170,9507,2001,9,5,12,107,24,1,0,17,0,1,249,2,234-3,249,서울특별시 양천구 중앙로 지하 261,Y,N,N,N,Y,N,N,Y,N,Y,N,Y,Y,N,Y,게이트 외부,467370,1116015,37.520074,126.852912
양천구청,2호선,13416,4608,4488,437,3,1,2,30,9,1,0,3,0,0,30001,10558,10418,1181,7,7,12,75,21,2,0,12,0,0,248,2,234-2,248,서울특별시 양천구 목동로3길 지하 33,Y,N,N,N,N,Y,N,Y,N,Y,N,Y,N,N,Y,게이트 내부,470185,1113852,37.512398,126.865819
도림천,2호선,6164,2284,2209,810,3,0,6,7,12,0,0,3,0,1,20317,6896,6787,1304,5,1,9,38,25,0,0,8,0,2,247,2,234-1,247,서울특별시 구로구 경인로67길 160,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,게이트 외부,473827,1114450,37.514287,126.882768
신설동,2호선,7792,4168,2991,3249,5,7,95,39,18,2,0,28,0,1,19542,9501,6463,5286,5,9,112,66,32,3,1,40,1,1,246,2,211-4,156,서울특별시 동대문구 왕산로 지하 1,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,게이트 외부,505342,1131412,37.575297,127.025087
신답,2호선,10153,3948,3127,1312,3,1,16,24,19,0,0,8,0,0,24272,10105,7422,3035,6,4,26,53,28,0,0,15,0,2,245,2,211-2,245,서울특별시 성동구 천호대로 232,N,N,N,N,,,,,,,N,,,,,게이트 내부,510310,1129987,37.57004,127.046481
용답,2호선,11777,5276,2042,555,5,2,4,23,5,1,0,8,0,0,2312,10209,4482,1585,22,6,26,57,17,2,0,18,0,1,244,2,211-1,244,서울특별시 성동구 용답길 86,N,N,N,N,,,,,,,N,,,,,게이트 외부,511015,1127677,37.561904,127.050899
충정로(경기대입구),2호선,12499,5577,4794,1862,6,11,84,44,27,6,0,19,1,1,23034,10154,8187,2897,17,16,113,78,48,7,1,28,1,1,243,2,243,243,서울특별시 서대문구 서소문로 지하 17,N,N,N,N,N,Y,N,N,N,Y,N,Y,Y,N,Y,게이트 외부,491842,1127227,37.559973,126.963672
아현,2호선,9919,4371,3158,1137,7,3,16,50,25,0,0,5,0,1,27294,11391,8870,1798,15,4,25,75,34,1,0,10,0,1,242,2,242,242,서울특별시 마포구 신촌로 지하 270,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,게이트 외부,490052,1126335,37.557345,126.956141
이대,2호선,13865,8207,5040,2403,27,8,34,78,29,1,0,24,3,0,27448,14214,9397,3001,51,9,38,102,43,2,0,30,4,0,241,2,241,241,서울특별시 마포구 신촌로 지하 180,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,게이트 외부,487955,1126182,37.556733,126.946013
신촌,2호선,8798,5407,2984,2868,17,4,59,138,29,1,2,39,4,1,18591,11285,6704,3957,18,5,62,176,54,1,2,57,6,2,240,2,240,240,서울특별시 마포구 신촌로 지하 90,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,게이트 외부,485922,1125867,37.555134,126.936893
홍대입구,2호선,6982,3993,2187,4651,1,2,90,95,25,1,0,38,11,7,20503,11194,6291,6702,9,5,100,122,42,3,0,62,15,9,239,2,239,239,서울특별시 마포구 양화로 지하 160,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,게이트 외부,483315,1126247,37.557192,126.925381
