교육청,소재구,학교명,홈페이지 주소,설립,남녀,우편번호,주소,전화번호, 1학년 학급수, 2학년 학급수, 3학년 학급수, 특수학급 수, 1학년 학생수 계, 1학년 여 학생수, 2학년 학생수 계, 2학년 여 학생수, 3학년 학생수 계, 3학년 여 학생수, 학급당 평균학생수, 정규 교원수 계, 정규 여 교원수, 기간제 교원수 계, 기간제 여 교원수, 직원수 계, 여 직원수," 보통
교실수",
동부,동대문구,동대문중학교,http://dongdaemun.ms.kr, 공립, 공학, 130-855,서울특별시 동대문구 사가정로 59, 02-3407-4103,9,9,9,1,261,122,253,129,257,114,27.5,46,35,6,4,5,3,32,
동부,중랑구,동원중학교,http://www.tongwon.ms.kr, 공립, 공학, 131-800,서울특별시 중랑구 양원역로 32, 02-493-8129,5,6,6, - ,111,18,162,31,155,28,25.2,29,16,10,8,4,1,25,
동부,중랑구,면목중학교,http://www.myonmok.ms.kr, 공립, 공학, 131-812,서울특별시 중랑구 용마산로70길 37, 02-437-0278,9,10,10, - ,268,88,325,111,329,109,31.8,48,35,6,5,4,3,29,
동부,중랑구,봉화중학교,http://www.ibonghwa.ms.kr, 공립, 공학, 131-230,서울특별시 중랑구 망우로70길 89, 02-435-8348,5,6,6,2,152,34,181,39,180,37,27,34,23,3,3,4,2,23,
동부,중랑구,상봉중학교,http://www.sangbong.ms.kr, 공립, 공학, 131-856,서울특별시 중랑구 상봉중앙로8나길 28, 02-436-4316,10,10,10,1,294,135,334,148,341,159,31.3,50,38,10,9,4,1,37,
동부,동대문구,성일중학교,http://sungil.ms.kr, 공립, 공학, 130-861,서울특별시 동대문구 왕산로23길 55, 02-926-0211,5,5,5,1,120,42,141,55,161,69,26.4,27,19,10,9,4,2,33,
동부,동대문구,숭인중학교,http://www.soongin.ms.kr, 공립, 공학, 130-804,서울특별시 동대문구 천호대로47길 34, 02-2215-0176,5,6,6,2,134,75,174,74,199,99,26.7,31,22,5,4,3,1,19,
동부,중랑구,신현중학교,http://sinhyeon.ms.kr, 공립, 공학, 131-863,서울특별시 중랑구 봉화산로 162, 02-3421-0631,9,9,9,2,270,119,299,127,294,143,29.8,48,32,5,2,4,1,33,
동부,중랑구,용마중학교,http://yongma.ms.kr, 공립, 공학, 131-830,서울특별시 중랑구 면목로28길 18, 02-439-6220,8,9,9,2,237,97,301,129,285,135,29.4,44,32,8,6,4,3,28,
동부,중랑구,원묵중학교,http://wonmook.ms.kr, 공립, 공학, 131-846,서울특별시 중랑구 신내로23길 57, 02-2094-9807,12,12,12, - ,380,187,409,167,405,197,33.2,56,44,11,10,2,2,38,
동부,중랑구,장안중학교,http://www.jangan70.ms.kr, 공립, 공학, 131-877,서울특별시 중랑구 동일로 780, 02-6930-3300,7,8,8,3,221,80,255,110,260,90,28.3,46,34,9,8,4,2,32,
동부,동대문구,장평중학교,http://www.jangpyung.ms.kr, 공립, 공학, 130-841,"서울 동대문구 답십리로72길 158 , 장평중학교", 02-2243-8280,9,10,9,1,278,129,321,165,277,145,30.2,46,30,10,9,4, - ,29,
동부,동대문구,전농중학교,http://www.jeonnong.ms.kr, 공립, 공학, 130-850,서울특별시 동대문구 사가정로13길 71, 02-2242-6652,7,8,8,1,201,88,248,105,247,105,29,39,29,9,6,3, - ,26,
동부,동대문구,전동중학교,http://www.jeondong.ms.kr, 공립, 공학, 130-874,"서울특별시 동대문구 장안벚꽃로 291 , 전동중학교", 02-2212-9265,6,7,6,2,175,77,224,86,179,79,27.5,33,24,10,9,3,1,21,
동부,동대문구,전일중학교,http://www.jeonil.ms.kr, 공립, 공학, 130-850,서울특별시 동대문구 사가정로13길 67, 02-2245-2745,7,7,7,1,201,90,236,106,230,106,30.3,36,26,10,8,4,1,22,
동부,중랑구,중랑중학교,http://www.joongrang.ms.kr, 공립, 공학, 131-875,서울특별시 중랑구 동일로140길 33, 02-437-5312,7,8,8,1,208,84,259,89,267,115,30.6,41,30,7,6,4,1,30,
동부,중랑구,중화중학교,http://www.junghwa.ms.kr, 공립, 공학, 131-812,서울특별시 중랑구 용마산로 364, 02-439-5811,9,10,10,2,271,85,317,103,349,115,30.2,50,34,12,6,4,3,31,
동부,동대문구,청량중학교,http://www.cheongryang.ms.kr, 공립, 공학, 130-866,서울특별시 동대문구 왕산로 301, 02-966-4284,7,8,8,3,211,88,240,93,240,84,26.6,41,28,14,9,4,2,29,
동부,중랑구,태릉중학교,www.taereung.ms.kr, 공립, 공학, 131-849,서울특별시 중랑구 공릉로2길 60-25, 02-973-5551,6,7,7,1,159,79,199,102,191,76,26.1,34,26,6,5,4,1,23,
동부,동대문구,휘경중학교,http://www.hwigyong.ms.kr, 공립, 공학, 130-878,서울특별시 동대문구 망우로18나길 20, 02-2244-1359,6,7,7,1,173,62,232,91,218,78,29.7,34,24,7,6,3,1,22,
동부,동대문구,경희여자중학교,http://www.kyungheegls.ms.kr, 사립, 여자, 130-701,서울특별시 동대문구 경희대로 26, 02-966-4148,7,7,7, - ,226,226,228,228,242,242,33.1,37,23,3,3,4,2, - ,
동부,동대문구,경희중학교,http://www.kyunghee.ms.kr, 사립, 남자, 130-701,서울특별시 동대문구 경희대로 26, 02-966-6402,7,7,7, - ,227, - ,243, - ,245, - ,34,33,9,5,5,4, - , - ,
동부,동대문구,대광중학교,http://www.dgm.ms.kr, 사립, 공학, 130-810,"서울특별시 동대문구 안암로 6 , 대광중학교", 02-940-2257,7,7,7, - ,189,82,227,73,228,68,30.7,37,12,3,3,4,1,21,
동부,동대문구,동국대학교사범대학부속중학교,http://dongguk.ms.kr, 사립, 남자, 130-839,서울특별시 동대문구 장안벚꽃로 201, 02-6716-1700,8,8,8, - ,215, - ,241, - ,231, - ,28.6,40,17,6,3,4,1,24,
동부,중랑구,송곡여자중학교,http://www.songgok.ms.kr, 사립, 여자, 131-800,서울특별시 중랑구 양원역로 67, 070-7124-3569,4,4,4, - ,81,81,103,103,95,95,23.3,17,14,5,5,4,2,12,
동부,중랑구,영란여자중학교,http://www.youngran.ms.kr, 사립, 여자, 131-230,서울특별시 중랑구 망우로73길 56, 02-2209-0143,7,8,8, - ,142,142,192,192,199,199,23.2,37,27,7,7,4,1,23,
동부,동대문구,정화여자중학교,http://www.jhg.ms.kr, 사립, 여자, 130-862,서울특별시 동대문구 홍릉로15길 50, 02-966-9332,4,4,5, - ,75,75,109,109,100,100,21.8,21,11,3,1,4,1, - ,
동부,중랑구,혜원여자중학교,http://hyewon.ms.kr, 사립, 여자, 131-807,서울특별시 중랑구 봉우재로58길 39, 070-8686-2704,7,7,8, - ,215,215,243,243,282,282,33.6,36,21,4,4,4, - ,22,
동부,동대문구,휘경여자중학교,http://www.hwikyung.ms.kr, 사립, 여자, 130-874,서울특별시 동대문구 한천로 247, 02-2244-8927,7,8,8, - ,192,192,251,251,256,256,30.4,37,14,7,5,4, - ,24,
서부,서대문구,가재울중학교,http://www.gajaeul.ms.kr, 공립, 공학, 120-802,서울특별시 서대문구 수색로 150-35, 02-376-8565,7,7, - ,2,234,113,244,118, - , - ,29.9,26,16,6,5,4,2,23,
서부,은평구,구산중학교,http://www.gusanjung.ms.kr, 공립, 공학, 122-822,서울특별시 은평구 갈현로15길 20-23, 02-389-8784,9,10,9,2,293,116,305,101,310,118,30.3,49,34,6,6,4,1,32,
서부,은평구,덕산중학교,http://www.duksan.ms.kr, 공립, 공학, 122-889,서울특별시 은평구 가좌로 400, 02-353-9427,6,8,8, - ,184,120,260,145,228,132,30.5,38,26,11,7,5,1,22,
서부,은평구,불광중학교,http://bulgwang.ms.kr, 공립, 공학, 122-853,서울특별시 은평구 불광로 180, 02-385-8356,8,9,9,2,243,96,301,128,294,114,29.9,48,37,6,6,4,1,31,
서부,은평구,상신중학교,www.sangsin.ms.kr, 공립, 공학, 122-884,서울 은평구 증산로15길 61, 02-305-5136,7,7,6,1,214,115,222,138,181,117,29.4,34,26,4,2,4,1,21,
서부,마포구,상암중학교,http://sangam.ms.kr, 공립, 공학, 121-904,서울특별시 마포구 상암산로1길 26, 02-375-5300,12,10,12,2,415,205,344,163,396,181,32.1,61,46,4,3,4,2,36,
서부,서대문구,서연중학교,http://www.seoyun.ms.kr, 공립, 공학, 120-829,서울특별시 서대문구 연희로11마길 9-6, 02-332-7375,7,6,7,1,195,83,181,66,197,67,27.3,35,29,8,6,4,1,23,
서부,마포구,서울여자중학교,http://www.seoul.ms.kr, 공립, 여자, 121-872,서울특별시 마포구 백범로25길 34, 02-716-5041,6,7,5,1,159,159,229,229,170,170,29.4,34,31,8,7,3, - ,21,
서부,마포구,성사중학교,http://www.sungsa.ms.kr, 공립, 공학, 121-849,서울특별시 마포구 모래내로9길 16, 02-373-8002,8,9,7,2,235,132,268,126,235,132,28.4,45,33,4,2,4, - ,30,
서부,마포구,성산중학교,http://sungsan.ms.kr/, 공립, 공학, 121-884,서울특별시 마포구 성지1길 32-13, 02-332-0307,9,10,9,2,276,148,316,154,300,116,29.7,52,41,5,2,4,1,30,
서부,마포구,성서중학교,http://www.sungseo.ms.kr, 공립, 공학, 121-844,서울 마포구 성산로4길 42, 02-3140-7100,8,8,8,1,236,118,259,136,262,152,30.3,43,27,3,3,4,2,28,
서부,은평구,신도중학교,http://www.shindo.ms.kr, 공립, 공학, 122-200,"서울특별시 은평구 진관1로 77-30 , 신도중학교", 02-389-4303,9,9,8,1,291,151,303,157,270,142,32,44,36,6,5,4,3,27,
서부,마포구,신수중학교,www.sinsu.ms.kr, 공립, 공학, 121-856,서울 마포구 신수로 49, 02-717-6004,5,7,6,1,163,107,232,160,205,116,31.6,33,25,4,2,4, - ,22,
서부,서대문구,신연중학교,http://www.sinyeon.ms.kr, 공립, 공학, 120-823,서울특별시 서대문구 모래내로 408, 02-379-4317,6,6,7,2,175,81,199,100,236,88,29,37,27,6,4,4,1,22,
