키,업종,상호,주소,도로명주소,행정 시,행정 구,행정 동,객실수,비고
BE_LiST20-0546,외국인관광도시민박업,현준게스트하우스,,서울특별시 영등포구 영등포동7가 46-1번지 ,서울특별시,영등포구,영등포동,1,
BE_LiST20-0547,외국인관광도시민박업,어반아트게스트하우스,,서울특별시 영등포구 문래동3가 58-77 2층,서울특별시,영등포구,문래동,3,
BE_LiST20-0548,외국인관광도시민박업,해피하우스홈스테이,,"서울특별시 동작구 장승배기로 26, 105동 1802호 (상도동,아이파크상도동)",서울특별시,동작구,상도2동,3,
BE_LiST20-0549,외국인관광도시민박업,수니홈스테이,,"서울특별시 동작구 상도로53길 8, 316동 404호 (상도동,래미안상도3차아파트)",서울특별시,동작구,상도1동,1,
BE_LiST20-0550,외국인관광도시민박업,HAO HAO,,서울특별시 동작구 동작대로45길 22 (동작동),서울특별시,동작구,사당2동,2,
BE_LiST20-0551,외국인관광도시민박업,e-편한세상,,"서울특별시 동작구 알마타길 37, 103동 903호 (대방동, 대방1차 e-편한세상 A)",서울특별시,동작구,대방동,1,
BE_LiST20-0552,외국인관광도시민박업,그리나하우스 (Grina house),,"서울특별시 동작구 사당로27길 130, 108동 101호 (사당동, 이수역 리가 아파트)",서울특별시,동작구,사당3동,2,
BE_LiST20-0553,외국인관광도시민박업,Peace On House,,"서울특별시 동작구 노량진로28길 16, 101호 (본동)",서울특별시,동작구,노량진1동,2,
BE_LiST20-0554,외국인관광도시민박업,Ordinary People,,"서울특별시 동작구 사당로26가길 5, 202호 (사당동)",서울특별시,동작구,사당1동,1,
BE_LiST20-0555,외국인관광도시민박업,Sadang Mom's House,,"서울특별시 동작구 남부순환로261길 12, C동 302호 (사당동)",서울특별시,동작구,사당1동,2,
BE_LiST20-0556,외국인관광도시민박업,경림(KYUNG RIM),,"서울시 동작구 여의대방로 44길 22, 101-1905",서울특별시,동작구,대방동,2,
BE_LiST20-0557,외국인관광도시민박업,킴스 훼미리 하우스,,동작구 현충로 151 107동 1302호,서울특별시,동작구,사당2동,1,
BE_LiST20-0558,외국인관광도시민박업,서울 길 게스트하우스,,"동작구 매봉로4길 8, 은하수빌라 402호",서울특별시,동작구,상도1동,2,
BE_LiST20-0559,외국인관광도시민박업,아르떼하우스(Aret House),,동작구 장승배기로 24길 19,서울특별시,동작구,노량진1동,2,
BE_LiST20-0560,외국인관광도시민박업,오케이 게스트하우스,,동작구 알마타길 21-18,서울특별시,동작구,대방동,4,
BE_LiST20-0561,외국인관광도시민박업,서울 웤스,,동작구 만양로 20-6(상도동),서울특별시,동작구,상도2동,3,
BE_LiST20-0562,외국인관광도시민박업,코리아게스트하우스,,"서울특별시 관악구 은천로 93, 205동 803호 (봉천동, 벽산블루밍아파트)",서울특별시,관악구,은천동,1,
BE_LiST20-0563,외국인관광도시민박업,그레이스빌,,"서울특별시 관악구 승방길 36, 402호 (남현동, 금호파크빌리지)",서울특별시,관악구,남현동,1,
BE_LiST20-0564,외국인관광도시민박업,아씨방,,"서울특별시 관악구 남부순환로260길 83, 102호 (남현동, 예촌하이츠빌)",서울특별시,관악구,남현동,1,
BE_LiST20-0565,외국인관광도시민박업,신림빌,,"서울특별시 관악구 조원로31길 17, A동 302호 (신림동, 삼성맨션)",서울특별시,관악구,신사동,1,
BE_LiST20-0566,외국인관광도시민박업,엠디,,"서울특별시 관악구 은천로 93, 108동 2505호 (봉천동, 벽산블루밍아파트)",서울특별시,관악구,은천동,1,
BE_LiST20-0567,외국인관광도시민박업,Cozy Lodge,,"서울특별시 관악구 성현로 80, 107동 701호 (봉천동, 관악드림타운아파트)",서울특별시,관악구,성현동,2,
