호선,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범.방재,백화점.중대형마트,편의점,극장.영화관,도서관.박물관
1,도봉산,16113,5719,5227,713,7,1,1,34,27,1,0,7,0,0
1,창동,31842,11137,10889,1721,6,9,41,117,19,2,2,18,0,1
1,석계,34952,13270,10409,1524,5,5,9,79,31,1,0,11,1,1
1,청량리,19000,8688,5485,4873,0,8,62,110,32,4,2,15,3,0
1,제기동,23489,10735,7815,5049,3,8,58,159,29,2,1,18,1,1
1,신설동,19542,9501,6463,5286,5,9,112,66,32,3,1,40,1,1
1,동묘앞,25957,12241,8879,16704,12,14,99,114,34,6,1,44,3,3
1,동대문,18314,8526,5923,25707,12,16,96,171,45,8,0,46,4,2
1,종로5가,6060,3305,2450,24775,6,14,123,162,55,6,0,38,4,1
1,종로3가,5312,3085,2293,21395,4,20,323,169,54,7,0,86,9,25
1,종각,3995,2347,1782,15739,11,42,766,303,78,9,4,111,14,30
1,시청,2764,1101,955,20468,9,42,853,317,88,8,7,104,15,13
1,서울역,17824,8943,6175,3850,2,12,205,102,37,3,1,47,1,2
1,노량진,15091,8803,3583,3443,4,10,39,47,23,2,0,30,0,1
1,신길,16542,7946,6181,3499,9,7,87,57,23,4,1,36,2,0
1,신도림,28319,11272,10224,3915,3,3,85,85,26,0,3,28,2,0
1,가산디지털단지,7497,4345,2439,11980,1,7,106,75,55,1,0,62,1,2
1,온수,16408,5932,5639,806,18,1,5,19,33,1,0,11,0,1
2,까치산,45413,19667,15471,2088,3,5,14,124,19,1,0,30,0,2
2,신정네거리,36618,15170,9507,2001,9,5,12,107,24,1,0,17,0,1
2,양천구청,30001,10558,10418,1181,7,7,12,75,21,2,0,12,0,0
2,도림천,20317,6896,6787,1304,5,1,9,38,25,0,0,8,0,2
2,신설동,19542,9501,6463,5286,5,9,112,66,32,3,1,40,1,1
2,용두,22997,10222,6768,5617,8,13,60,134,34,3,1,15,1,3
2,신답,24272,10105,7422,3035,6,4,26,53,28,0,0,15,0,2
2,용답,2312,10209,4482,1585,22,6,26,57,17,2,0,18,0,1
2,충정로,23034,10154,8187,2897,17,16,113,78,48,7,1,28,1,1
2,아현,27294,11391,8870,1798,15,4,25,75,34,1,0,10,0,1
2,이대,27448,14214,9397,3001,51,9,38,102,43,2,0,30,4,0
2,신촌,18591,11285,6704,3957,18,5,62,176,54,1,2,57,6,2
2,홍대입구,20503,11194,6291,6702,9,5,100,122,42,3,0,62,15,9
2,합정,19525,9115,6513,4544,3,5,73,79,27,4,1,51,9,1
2,당산,19053,8579,7260,2005,10,6,81,87,31,2,0,21,0,2
2,영등포구청,24757,10533,7789,4078,6,8,101,78,34,1,1,24,0,2
2,문래,21597,8748,7171,6109,5,7,92,79,39,1,1,27,1,2
2,신도림,28319,11272,10223,3915,3,3,85,5,26,0,3,38,2,0
2,대림,31864,14728,10890,4628,9,10,79,138,29,3,0,31,0,2
2,구로디지털단지,22986,11838,7597,4570,3,6,109,84,37,1,2,36,0,0
2,신대방,32218,15176,7565,2020,8,8,15,87,24,2,0,22,0,0
2,신림,37433,22352,9835,3404,3,9,31,128,29,3,1,48,1,1
2,봉천,36099,17434,10578,2486,8,6,28,124,20,1,0,23,1,2
2,서울대입구,38830,22596,12628,3355,12,11,42,163,26,5,0,41,1,2
2,낙성대,33991,18956,7484,1893,8,8,16,104,30,4,0,26,0,3
2,사당,27593,12917,7809,3030,5,10,103,116,36,4,1,38,0,1
2,방배,21825,8320,6618,2253,6,4,34,101,33,0,0,16,0,0
2,서초,8904,3785,2890,4587,1,15,110,76,26,2,0,25,2,1
2,교대,18391,6875,5678,5948,4,10,158,197,30,1,0,35,1,0
2,강남,14520,7350,6211,7872,4,11,314,419,53,0,0,78,5,2
2,역삼,14329,8144,4879,6522,0,4,306,131,16,0,0,58,0,2
2,선릉,18675,9190,7333,6271,4,5,320,176,19,0,0,65,1,0
2,삼성,4593,2130,1684,4761,5,7,206,113,33,4,2,45,4,1
2,종합운동장,10966,3888,3857,1912,3,8,68,36,19,3,0,32,2,1
2,잠실새내,43532,15720,1373,2394,13,6,52,185,15,2,0,26,0,1
2,잠실,13965,4833,4882,2446,5,7,112,88,24,1,6,20,1,0
2,잠실나루,28917,9522,9593,1629,7,3,102,95,21,0,0,14,0,0
2,강변,22192,7918,7512,2203,7,6,30,63,27,0,1,14,1,1
2,구의,30451,14253,7915,2870,12,7,37,107,18,0,0,29,0,1
2,건대입구,33265,16623,6989,3106,18,3,29,107,20,0,7,38,3,2
2,성수,14622,6338,4437,5658,5,9,37,51,36,3,1,34,0,0
2,뚝섬,23701,10335,6524,4294,7,5,27,69,26,1,0,33,0,1
2,한양대,10440,5252,2672,1826,21,7,12,20,23,3,1,26,2,0
2,왕십리,27011,12846,6816,3434,26,12,51,120,32,5,1,41,2,3
2,상왕십리,31343,13087,9193,2389,8,8,35,107,27,3,0,20,0,2
2,신당,23071,10663,7466,15356,9,14,53,106,26,8,0,34,2,4
2,동대문역사문화공원,12114,6262,4059,20793,7,14,116,71,33,7,0,39,4,1
2,을지로4가,5224,3037,2343,27738,3,11,207,113,48,6,0,56,3,1
2,을지로3가,4843,2798,1991,25600,4,25,560,258,64,10,0,105,14,10
2,을지로입구,3386,1921,1650,23387,10,46,854,332,94,29,6,124,13,29
2,시청,2764,1101,955,20468,9,42,853,317,88,8,7,104,15,13
3,오금,21904,7976,6257,1769,10,7,8,52,21,4,0,16,0,1
3,경찰병원,31394,11834,9614,3702,9,7,51,103,28,2,0,25,0,1
3,가락시장,21445,8033,7295,7435,2,7,72,89,29,2,3,28,2,1
3,수서,14632,6881,6703,1485,7,3,19,48,22,1,0,11,0,1
3,일원,19616,6432,6080,337,8,3,5,31,20,1,0,5,0,1
3,대청,25371,10030,8321,1134,8,3,9,71,12,1,0,9,0,1
3,학여울,27717,9669,9700,763,5,6,13,48,15,1,0,12,1,1
3,대치,33711,10295,10269,1716,7,7,34,122,14,2,0,12,1,2
3,도곡,33503,10870,10804,1446,15,5,62,102,22,1,0,16,0,2
3,매봉,19475,7017,6631,1915,9,5,53,62,16,2,0,19,0,1
3,양재,14329,6372,4527,3892,6,7,78,150,38,0,0,32,1,0
3,남부터미널,18848,7904,6545,5405,11,6,109,100,34,2,0,43,6,3
3,교대,18301,6875,5678,5948,4,10,158,197,30,1,0,35,1,0
3,고속터미널,22334,7271,7206,3504,5,7,57,130,29,1,2,27,1,1
3,잠원,28617,10585,9875,1756,7,3,19,126,18,1,1,10,0,0
3,신사,17893,8425,5438,6089,1,3,75,242,22,0,1,46,4,1
3,압구정,15954,6126,5422,3973,8,4,82,508,17,0,1,37,3,2
3,옥수,24637,9743,9276,851,10,3,10,48,32,1,0,5,0,0
3,금호,35246,14124,11942,1812,11,6,16,118,46,3,0,17,0,0
3,약수,30645,12924,10171,2522,13,7,22,105,26,2,1,20,1,3
3,동대입구,15735,7211,5023,2716,15,5,24,70,18,1,1,23,2,3
3,충무로,6827,3293,2318,14574,21,19,387,174,31,7,0,77,14,2
3,을지로3가,4843,2798,1991,25600,6,25,560,258,64,10,0,105,14,10
3,종로3가,5312,3085,2293,21395,4,20,323,169,54,7,0,86,9,25
3,안국,7003,3633,2930,9378,14,25,164,120,48,7,0,46,6,37
3,경복궁,10491,4699,4158,7173,6,39,228,166,46,8,1,51,3,27
3,독립문,22475,8757,7804,886,5,13,11,48,42,3,0,9,0,5
3,무악재,19661,7517,6730,671,4,1,4,39,16,0,0,4,0,0
3,홍제,28857,11505,8376,2281,9,5,23,132,35,1,0,13,0,0
3,녹번,18899,7499,6025,823,6,4,7,45,19,2,0,7,0,1
3,불광,30854,13502,10240,2409,3,8,38,138,29,2,1,16,3,0
3,연신내,35275,15280,10112,3065,11,5,59,165,37,1,0,33,2,1
3,구파발,12261,4261,4279,257,9,4,4,28,25,2,0,5,0,0
4,당고개,23299,9372,7544,994,6,3,3,41,11,1,0,8,0,0
4,상계,44273,17244,12960,2419,7,6,17,114,20,2,0,20,0,2
4,노원,29133,11729,10191,3236,10,11,131,251,35,0,0,32,0,0
4,창동,31842,11137,10889,1721,6,9,41,117,19,2,2,18,0,0
4,쌍문,40154,16610,11460,2134,14,6,16,114,37,2,0,26,0,1
4,수유,33224,16069,9146,3956,3,9,135,159,37,3,0,51,1,0
4,미아,31354,13095,8241,2588,8,11,32,113,28,4,0,19,0,4
4,미아사거리,26917,11698,6789,2907,14,10,25,129,42,4,3,21,1,2
4,길음,39753,15127,13287,2106,6,10,17,116,40,5,2,15,0,1
4,성신여대입구,31939,14862,9632,3146,15,8,38,152,30,2,0,36,2,0
4,한성대입구,26147,11631,7292,2097,14,7,16,100,44,2,0,26,23,7
4,혜화,15785,7485,4863,2347,12,12,20,64,39,3,0,25,62,10
4,동대문,18314,8526,5923,25707,12,16,96,171,45,8,0,46,4,2
4,동대문역사문화공원,12114,6262,4059,20793,7,14,116,71,33,7,0,39,4,1
4,충무로,6827,3293,2318,14574,21,19,387,174,31,7,0,77,14,2
