1호선,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
회룡,14630,5078,4750,861,9,3,7,85,12,2,1,8,0,1
도봉산(7),5014,1767,1600,213,2,0,0,10,6,0,0,2,0,0
청량리(지상),6188,2920,2018,2595,0,1,48,69,19,0,2,10,3,0
제기동,11397,5423,4297,1842,1,4,14,106,10,1,0,9,0,1
신설동,7792,4168,2991,3249,5,7,95,39,18,2,0,28,0,1
동묘앞,10625,5274,3634,3437,6,4,36,67,16,1,0,19,0,1
동대문,7802,3836,2467,23756,6,14,86,138,33,6,0,34,4,1
종로 5가,3692,1950,1482,17575,2,9,93,135,38,5,0,26,2,1
종로 3가,2786,1836,1209,14115,2,10,150,103,35,5,0,44,4,9
종각,1878,1266,1103,8485,3,32,378,160,41,6,0,67,4,25
시청(2),804,428,410,5732,7,20,423,103,44,4,5,43,5,5
서울역,5119,2980,2147,1582,0,4,93,50,24,2,1,27,1,0
