호선,역 ,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
2,용두(동대문구청),9719,4464,3010,2026,0,9,19,36,11,3,1,8,0,3
2,신정네거리,14994,6609,3501,1166,0,3,10,68,10,1,0,9,0,0
2,양천구청,13416,4608,4488,437,3,1,2,30,9,1,0,3,0,0
2,도림천,6164,2284,2209,810,3,0,6,7,12,0,0,3,0,1
2,신설동,7792,4168,2991,3249,5,7,95,39,18,2,0,28,0,1
2,신답,10153,3948,3127,1312,3,1,16,24,19,0,0,8,0,0
2,용답,11777,5276,2042,555,5,2,4,23,5,1,0,8,0,0
2,충정로(경기대입구),12499,5577,4794,1862,6,11,84,44,27,6,0,19,1,1
2,아현,9919,4371,3158,1137,7,3,16,50,25,0,0,5,0,1
2,이대,13865,8207,5040,2403,27,8,34,78,29,1,0,24,3,0
2,신촌,8798,5407,2984,2868,17,4,59,138,29,1,2,39,4,1
2,홍대입구,6982,3993,2187,4651,1,2,90,95,25,1,0,38,11,7
2,합정,8835,4185,3191,2574,2,4,47,56,13,3,1,29,5,0
2,당산,8936,24632,3864,1076,1,4,49,52,11,2,0,13,0,0
2,영등포구청,13052,5738,4127,2634,6,6,82,59,17,1,0,19,0,2
2,문래,14024,5258,4729,3728,5,5,74,65,28,1,1,19,1,2
2,신도림,9803,2096,3847,2956,2,2,76,54,13,0,3,21,2,0
2,대림(구로구청),11115,5140,3532,1414,3,3,27,51,10,1,0,14,0,0
2,구로디지털단지,11199,6057,3947,2950,3,5,86,56,28,1,1,23,0,0
2,신대방,11848,6092,2561,953,4,5,8,37,13,2,0,12,0,0
2,신림,13866,9184,4100,2370,0,2,26,95,16,1,1,32,1,0
2,봉천,16822,7945,4540,1387,4,4,16,71,8,1,0,11,1,2
2,서울대입구(관악구청),15499,9721,6324,2309,2,4,34,121,16,0,0,28,1,1
2,낙성대,18136,11331,3628,1192,6,3,14,65,13,1,0,20,0,0
2,사당,9542,4754,3028,2065,3,4,79,73,21,0,1,30,0,1
2,방배,8571,3345,2706,1396,3,4,19,67,19,0,0,9,0,0
2,서초,3150,1322,994,2852,1,12,60,45,18,2,0,13,0,1
2,교대(법원.검찰청),6129,2589,1760,4561,3,9,112,173,22,1,0,24,1,0
2,강남,6984,3808,3380,4706,1,4,169,335,39,0,0,49,5,2
2,역삼,5841,3345,1906,4114,0,3,236,96,12,0,0,40,0,1
2,선릉,8905,4590,3713,4612,4,2,269,145,12,0,0,47,0,0
2,삼성(무역센터),1905,878,691,3696,3,6,165,95,28,3,2,28,3,1
2,종합운동장,2171,729,734,246,2,2,4,1,4,1,0,10,1,0
2,잠실새내,17816,6253,5448,1793,0,3,47,155,10,1,0,16,0,1
2,잠실(송파구청),5472,1883,1901,1456,0,2,99,45,19,0,6,17,1,0
2,잠실나루,14913,5016,5052,784,5,2,11,58,7,0,0,7,0,0
2,강변(동서울터미널),7592,2716,2515,1589,1,1,19,37,16,0,1,12,1,0
2,구의(광진구청),11308,5714,3205,1627,0,5,24,71,10,0,0,15,0,1
2,건대입구,12199,6210,1946,2059,15,3,23,78,9,0,2,27,2,2
2,성수,8760,3880,2687,4633,2,8,32,41,28,3,1,27,0,0
2,뚝섬,13384,5734,3693,2867,3,3,22,49,18,1,0,21,0,0
2,한양대,4650,1985,942,619,16,2,5,6,10,1,0,13,1,0
2,왕십리(성동구청),11829,6219,3350,2071,2,8,37,77,15,3,1,23,1,2
2,상왕십리,12224,5682,3249,1415,2,4,28,60,17,2,0,8,0,1
2,신당,11836,5779,3764,14447,8,11,47,86,15,8,0,30,2,2
2,동대문역사문화공원,4602,2440,1841,16856,4,11,101,53,24,6,0,24,4,1
2,을지로4가,1899,1294,912,14138,1,3,75,4,24,1,0,17,2,1
2,을지로3가,1892,1040,766,16458,4,13,413,182,45,5,0,72,10,4
2,을지로입구,919,349,250,7938,2,22,573,177,47,4,4,58,9,3
2,시청,804,428,410,5732,7,20,423,103,44,4,5,43,5,5
