,300,,,,,,,,,,,,,,500,,,,,,,,,,,,,,1000,,,,,,,,,,,,,
,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
오금,7408,2807,2152,794,4,5,6,22,11,2,0,7,0,1,21904,7976,6257,1769,10,7,8,52,21,4,0,16,0,1,101826,36022,30871,7462,33,18,85,274,66,6,0,54,0,2
경찰병원,17772,6856,5709,2129,0,5,40,47,12,1,0,14,0,0,31394,11834,9614,3702,9,7,51,103,28,2,0,25,0,1,97617,34974,29955,12104,24,20,107,277,78,7,3,62,2,3
가락시장,6137,2451,2222,4706,0,2,45,61,12,1,1,9,0,0,21445,8033,7295,7435,2,7,72,89,29,2,3,28,2,1,68224,25144,21596,11586,16,18,109,223,63,6,3,59,2,1
수서,9354,4341,4239,1363,6,3,14,44,17,1,0,9,0,1,14632,6881,6703,1485,7,3,19,48,22,1,0,11,0,1,23802,9957,9676,6731,14,16,44,81,60,6,2,27,2,2
일원,13122,4282,4188,287,7,3,5,24,19,1,0,4,0,1,19616,6432,6080,337,8,3,5,31,20,1,0,5,0,1,41348,14602,12174,1328,18,6,13,87,46,1,0,12,0,1
대청,10385,3792,3256,795,5,3,7,57,9,1,0,6,0,1,25371,10030,8321,1134,8,3,9,71,12,1,0,9,0,1,60740,22711,19875,1757,18,10,17,131,39,2,0,20,0,2
학여울,10829,3419,3420,184,0,0,3,8,7,0,0,6,0,0,27717,9669,9700,763,5,6,13,48,15,1,0,12,1,1,79012,25612,25766,4301,23,16,89,231,53,3,0,44,1,5
대치,13370,4050,4051,1211,2,5,24,88,10,1,0,7,1,1,33711,10295,10269,1716,7,7,34,122,14,2,0,12,1,2,93024,31751,29224,5743,27,16,107,301,69,3,0,59,1,6
도곡,13739,4503,4522,700,5,4,38,58,14,1,0,8,0,0,33503,10870,10804,1446,15,5,62,102,22,1,0,16,0,2,98141,33430,30591,6207,31,17,121,326,69,4,0,61,0,5
매봉,9277,3513,3170,981,4,3,11,25,12,1,0,12,0,0,19475,7017,6631,1915,9,5,53,62,16,2,0,19,0,1,90213,33467,29146,7888,23,13,134,267,81,3,0,68,2,1
양재,7286,3550,2342,2473,6,6,49,125,29,0,0,22,0,0,14329,6372,4527,3892,6,7,78,150,38,0,0,32,1,0,57570,23504,19056,11463,21,15,208,298,88,4,0,90,2,2
