호선,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
8,암사,20711,8503,6164,1471,3,2,10,89,8,0,0,14,0,2
8,천호(8),13907,6938,3983,2734,0,2,64,150,20,0,2,22,1,0
8,강동구청,11791,4197,3001,1639,10,9,18,49,27,3,0,20,0,2
8,몽촌토성,8889,3490,3193,1577,10,4,40,37,20,1,0,20,0,3
8,잠실,5472,1883,1901,1456,0,2,99,45,19,0,6,17,1,0
8,석촌,16435,7249,5600,1335,4,6,26,70,8,2,0,17,0,0
8,송파,7142,2950,2052,4322,7,6,15,90,19,3,0,11,0,0
8,가락시장,6137,2451,2222,4706,0,2,45,61,12,1,1,9,0,0
8,문정,6251,2545,1911,2440,0,2,18,19,16,1,2,15,2,0
8,장지,10547,5146,5004,2118,5,2,18,36,22,1,2,11,2,0
8,복정,1324,504,200,305,2,1,3,27,27,1,0,4,0,0
8,산성,7849,3344,1739,408,7,1,2,21,46,1,0,5,0,1
8,남한산성입구,16178,6002,4378,668,7,3,9,37,9,1,0,7,0,0
8,단대오거리,11485,5066,2997,1523,1,3,11,70,13,0,1,8,1,1
8,신흥,14832,7301,3064,2229,2,4,16,79,15,2,0,20,0,0
8,수진,16583,7603,3515,1368,7,4,15,48,13,2,0,15,0,0
8,모란,11878,5571,2939,1723,7,3,45,62,16,2,1,26,1,0
