,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
1,가산디지털단지역,8846 ,5226 ,2358 ,897 ,0 ,4 ,66 ,51 ,33 ,1 ,0 ,32 ,0 ,1 
1,온수역,6305 ,2566 ,2412 ,281 ,1 ,1 ,3 ,7 ,13 ,1 ,0 ,6 ,0 ,0 
1,창동역,10960 ,4067 ,3882 ,1418 ,3 ,7 ,39 ,84 ,16 ,1 ,2 ,17 ,0 ,1 
1,석계역,14551 ,5810 ,4270 ,1048 ,1 ,3 ,5 ,55 ,19 ,0 ,0 ,8 ,1 ,1 
1,제기동역,9717 ,4464 ,3010 ,2026 ,0 ,4 ,14 ,106 ,10 ,1 ,0 ,9 ,0 ,1 
1,청량리역,6188 ,2920 ,2018 ,2595 ,0 ,1 ,48 ,69 ,19 ,0 ,2 ,10 ,3 ,0 
1,노량진역,5845 ,4103 ,1416 ,2225 ,1 ,6 ,13 ,21 ,16 ,2 ,0 ,20 ,0 ,0 
1,동묘앞역,10625 ,5274 ,3634 ,3437 ,6 ,4 ,36 ,67 ,16 ,1 ,0 ,19 ,0 ,1 
1,신설동역,7792 ,4168 ,2991 ,3249 ,5 ,7 ,95 ,39 ,18 ,2 ,0 ,28 ,0 ,1 
1,신도림역,9803 ,4096 ,3847 ,2956 ,2 ,2 ,76 ,54 ,13 ,0 ,3 ,21 ,2 ,0 
1,신길역,8103 ,4578 ,3662 ,2710 ,4 ,4 ,66 ,37 ,16 ,3 ,1 ,26 ,2 ,0 
1,서울역,5119 ,2980 ,2147 ,1582 ,0 ,4 ,93 ,50 ,24 ,2 ,1 ,27 ,1 ,0 
1,동대문역,3910,2125,2057,10590,6,14,86,138,33,6,0,34,4,1
1,종각역,1878,1266,1103,8485,3,32,378,160,41,6,0,67,4,25
1,종로3가역,2786,1836,1209,14115,2,10,150,103,35,5,0,44,4,9
1,시청역,804,428,410,5732,7,20,423,103,44,4,5,43,5,5
1,도봉산역,5014,1767,1600,213,2,0,0,10,6,0,0,2,0,0
2,삼성역,1905 ,878 ,691 ,3696 ,3 ,6 ,165 ,95 ,28 ,3 ,2 ,28 ,3 ,1 
2,강남역,6984 ,3808 ,3380 ,4706 ,0 ,4 ,169 ,335 ,39 ,0 ,0 ,49 ,5 ,2 
2,역삼역,5841 ,3345 ,1906 ,4114 ,0 ,3 ,236 ,96 ,12 ,0 ,0 ,40 ,0 ,0 
2,까치산역,18312 ,8191 ,6226 ,1362 ,2 ,3 ,12 ,92 ,14 ,1 ,0 ,18 ,0 ,2 
2,낙성대역,18136 ,11331 ,3628 ,1192 ,6 ,3 ,14 ,65 ,13 ,1 ,0 ,20 ,0 ,0 
2,서울대입구역,15499 ,9721 ,6324 ,2309 ,2 ,4 ,34 ,121 ,16 ,0 ,0 ,28 ,1 ,1 
2,사당역,9542 ,4754 ,3028 ,2065 ,3 ,4 ,79 ,73 ,21 ,0 ,1 ,30 ,0 ,1 
2,봉천역,16822 ,7945 ,4540 ,1387 ,4 ,4 ,16 ,71 ,8 ,1 ,0 ,11 ,1 ,2 
2,신림역,13866 ,9184 ,4100 ,2370 ,0 ,2 ,26 ,95 ,16 ,1 ,1 ,32 ,1 ,0 
2,구로디지털단지역,18136 ,11331 ,3628 ,1192 ,3 ,5 ,86 ,56 ,28 ,1 ,1 ,23 ,0 ,0 
2,신대방역,11848 ,6092 ,2561 ,953 ,4 ,5 ,8 ,37 ,13 ,2 ,0 ,12 ,0 ,0 
2,구의역,11308 ,5714 ,3205 ,1627 ,0 ,5 ,24 ,71 ,10 ,0 ,0 ,15 ,0 ,1 
2,건대입구역,12199 ,6210 ,1946 ,2059 ,15 ,3 ,23 ,78 ,9 ,0 ,2 ,27 ,3 ,2 
2,대림역,11115 ,5140 ,3532 ,1414 ,3 ,3 ,27 ,51 ,10 ,1 ,0 ,14 ,0 ,0 
2,신답역,10153 ,3948 ,3127 ,1312 ,3 ,1 ,16 ,24 ,19 ,0 ,0 ,8 ,0 ,0 
2,용두역,9717 ,4464 ,3010 ,2026 ,0 ,9 ,19 ,36 ,11 ,3 ,1 ,8 ,0 ,3 
2,신촌역,8798 ,5407 ,2984 ,2868 ,17 ,4 ,59 ,138 ,29 ,1 ,2 ,39 ,4 ,1 
2,이대역,13865 ,8207 ,5040 ,2403 ,27 ,8 ,34 ,78 ,29 ,1 ,0 ,24 ,3 ,0 
2,합정역,8835 ,4185 ,3191 ,2574 ,2 ,4 ,47 ,56 ,13 ,3 ,1 ,29 ,5 ,0 
2,홍대입구역,6982 ,3993 ,2187 ,4651 ,1 ,2 ,90 ,95 ,25 ,1 ,0 ,38 ,11 ,7 
2,아현역,3991 ,2005 ,1579 ,2275 ,7 ,3 ,16 ,50 ,25 ,0 ,0 ,5 ,0 ,1 
2,충정로역,12499 ,5577 ,4794 ,1862 ,6 ,11 ,84 ,44 ,27 ,6 ,0 ,19 ,1 ,1 
2,서초역,3150 ,1322 ,994 ,2852 ,1 ,12 ,60 ,45 ,18 ,2 ,0 ,13 ,0 ,1 
2,방배역,8571 ,3345 ,2706 ,1396 ,3 ,4 ,19 ,67 ,19 ,0 ,0 ,9 ,0 ,0 
2,교대역,6129 ,2589 ,1760 ,4561 ,3 ,9 ,112 ,173 ,22 ,1 ,0 ,24 ,1 ,0 
