호선,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
1,가산디지털단지역,7497,4345,2439,11980,1,7,106,75,55,1,0,62,1,2
1,온수역,16408,5932,5639,806,18,1,5,19,33,1,0,11,0,1
1,창동역,31842,11137,10889,1721,6,9,41,117,19,2,2,18,0,1
1,석계역,34952,13270,10409,1524,5,5,9,79,31,1,0,11,1,1
1,제기동역,22997,10222,6768,5617,0,8,58,159,29,2,1,18,1,1
1,청량리역,19000,8688,5485,4873,0,8,62,110,32,4,2,15,3,0
1,노량진역,15091,8803,3583,3443,4,10,39,47,23,2,0,30,0,1
1,동묘앞역,44588,16843,14179,1710,12,14,99,114,34,6,1,44,3,3
1,신설동역,19542,9501,6463,5286,5,9,112,66,32,3,1,40,1,1
1,신도림역,28319,11272,10224,3915,3,3,85,85,26,0,3,28,2,0
1,신길역,16542,7946,6181,3499,9,7,87,57,23,4,1,36,2,0
1,서울역,17824,8943,6175,3850,2,12,205,102,37,3,0,47,0,2
1,동대문역,5182,2664,2527,10994,0,16,96,171,45,8,0,46,4,2
1,종로5가역,18314,8526,5923,25707,6,14,123,162,55,6,0,38,4,1
1,시청역,2764,1101,955,20468,9,42,853,317,88,8,7,104,15,13
1,종각역,3995,2347,1782,15739,11,42,766,303,78,9,4,111,14,30
1,종로3가역,3995,2347,1782,15739,4,20,323,169,54,7,0,86,9,25
1,도봉산역,16113,5719,5227,713,7,1,1,34,27,1,0,7,0,0
2,삼성역,14329,6372,4527,4761,5,7,206,113,33,4,2,45,4,0
2,강남역,14520,7350,6211,7872,4,11,314,419,53,0,0,78,5,0
2,역삼역,14239,8144,4879,6522,0,4,306,131,16,0,0,58,0,2
2,까치산역,45413,19667,15471,2088,3,5,14,124,19,1,0,30,0,2
2,낙성대역,33991,18956,7484,1893,8,8,16,104,30,4,0,26,0,3
2,서울대입구역,38830,22596,12628,3355,12,11,42,163,26,5,0,41,1,2
2,사당역,27593,12917,7809,3030,5,10,103,116,36,4,1,38,0,1
2,봉천역,36099,17434,10578,2486,8,6,28,124,20,1,0,23,1,2
2,신림역,37433,22352,9835,3404,3,9,31,128,29,3,1,48,1,1
2,구로디지털단지역,22986,11838,7597,4570,3,6,109,84,37,1,2,36,0,0
2,신대방역,32218,15176,7565,2020,8,8,15,87,24,2,0,22,0,0
2,구의역,30451,14253,7915,2870,12,7,37,107,18,0,0,29,0,1
2,건대입구역,33265,16623,6989,3106,18,3,29,107,20,0,2,38,3,2
2,대림역,31864,14728,10890,4628,9,10,79,138,29,3,0,31,0,2
2,신답역,24272,10105,7472,3035,6,4,26,53,28,0,0,15,0,2
2,용두역,22997,10222,6768,5617,8,13,60,134,34,3,1,15,1,3
2,신촌역,18591,11285,6704,3957,18,5,62,176,54,1,2,57,6,2
2,이대역,27448,14214,9397,3001,51,9,38,102,43,2,0,30,4,0
2,합정역,19525,9115,6513,4544,3,5,73,79,27,4,1,51,9,1
2,홍대입구역,20503,11194,6291,6702,9,5,100,122,42,3,0,62,15,9
2,아현역,27294,11391,8870,1798,15,4,25,75,34,1,0,10,0,1
2,충정로역,23034,10154,8187,2897,17,16,113,78,48,7,1,28,1,1
2,서초역,8904,3785,2890,4587,1,15,110,76,26,2,0,25,2,1
2,방배역,21825,8320,6618,2253,6,4,34,101,33,0,0,16,0,0
2,교대역,21825,8320,6618,2253,0,10,158,197,30,0,0,35,0,0
2,왕십리역,27011,12846,6816,3434,26,12,51,120,32,5,1,41,2,3
2,용답역,23182,10209,4482,1585,22,6,26,57,17,2,0,18,0,1
2,뚝섬역,23701,10335,6524,4294,7,5,27,69,26,1,0,33,0,1
2,성수역,14622,6338,4437,5658,5,9,37,51,36,3,1,34,0,0
2,상왕십리역,31343,13087,9193,2389,8,8,35,107,27,3,0,20,0,2
2,신당역,25334,11623,8296,15387,9,14,54,107,28,8,0,34,2,4
2,한양대역,10440,5252,2672,1826,21,7,12,20,23,3,1,26,2,0
2,신설동역,19542,9501,6463,5286,5,9,112,66,32,3,1,40,1,1
2,잠실나루역,28917,9552,9593,1629,7,3,102,95,21,0,1,14,0,0
2,잠실역,13965,4833,4882,2446,5,7,112,88,24,1,6,20,1,0
2,종합운동장역,10966,3888,3857,1912,3,8,68,36,19,3,0,32,2,1
2,신정네거리역,36618,15170,9507,2001,9,5,12,107,24,1,0,17,0,1
2,양천구청역,30001,10558,10418,1181,7,7,12,75,21,2,0,12,0,0
2,영등포구청역,24757,10533,7789,4078,6,8,101,78,34,1,1,24,0,2
2,당산역,19053,8579,7260,2005,10,6,81,87,31,2,0,21,0,2
2,신도림역,28319,11272,10224,3915,3,3,85,85,26,0,3,28,2,0
2,문래역,21597,8748,7171,6109,5,7,92,79,39,1,1,27,1,2
2,을지로3가역,7003,3633,2930,9378,0,25,560,258,64,10,0,105,14,10
2,동대문역사문화공원역,12114,6262,4059,20793,7,14,116,71,33,7,0,39,4,1
2,시청역,2764,1101,955,20468,9,42,853,317,88,8,7,104,15,13
2,을지로입구역,4843,2798,1991,25600,0,46,854,332,94,10,6,124,13,29
2,을지로4가역,4843,2798,1991,25600,0,11,207,113,48,6,0,56,3,0
2,신천역,43532,15720,13737,2394,13,6,52,185,15,2,0,26,0,1
3,대청역,25371,10030,8321,1134,8,3,9,71,12,1,0,9,0,1
3,대치역,33711,10295,10269,1716,7,7,34,122,14,2,0,12,1,2
3,신사역,17893,8425,5438,6089,0,3,75,242,22,0,0,46,4,0
3,도곡역,33503,10870,10804,1446,15,5,62,102,22,1,0,16,0,2
3,매봉역,19475,7017,6631,1915,9,5,53,62,16,2,0,19,0,1
3,학여울역,27717,9669,9700,763,5,6,13,48,15,1,0,12,1,1
3,양재역,14329,6372,4527,3892,6,7,78,150,38,0,0,32,1,0
3,수서역,14632,6881,6703,1485,7,3,19,48,22,1,0,11,0,1
3,압구정역,15954,6126,5422,3973,8,4,82,508,17,0,0,37,3,0
3,일원역,19616,6432,6080,337,8,3,5,31,20,1,0,5,0,1
3,독립문역,22475,8757,7804,886,5,13,11,48,42,3,0,9,0,5
3,무악재역,19661,7517,6730,671,4,1,4,39,16,0,0,4,0,0
