Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
µ·¾Ï2µ¿_1,1108059020222,1,557,7.5
µ·¾Ï2µ¿_2,1108059020214,2,393,5.3
µ·¾Ï2µ¿_3,1108059020223,3,308,4.2
µ·¾Ï2µ¿_4,1108059020220,4,254,3.4
µ·¾Ï2µ¿_5,1108059010201,5,200,2.7
µ·¾Ï2µ¿_6,1108059020201,6,194,2.6
µ·¾Ï2µ¿_7,1108059020501,7,191,2.6
µ·¾Ï2µ¿_8,1108059020211,8,190,2.6
µ·¾Ï2µ¿_9,1108059020207,9,184,2.5
µ·¾Ï2µ¿_10,1108059020218,10,180,2.4
µ·¾Ï2µ¿_11,1108059020212,11,179,2.4
µ·¾Ï2µ¿_12,1108059020401,12,169,2.3
µ·¾Ï2µ¿_13,1108059020402,13,169,2.3
µ·¾Ï2µ¿_14,1108059010102,14,168,2.3
µ·¾Ï2µ¿_15,1108059010107,15,165,2.2
µ·¾Ï2µ¿_16,1108059020203,16,158,2.1
µ·¾Ï2µ¿_17,1108059020104,17,158,2.1
µ·¾Ï2µ¿_18,1108059010002,18,157,2.1
µ·¾Ï2µ¿_19,1108059020202,19,157,2.1
µ·¾Ï2µ¿_20,1108059020209,20,156,2.1
µ·¾Ï2µ¿_21,1108059010101,21,155,2.1
µ·¾Ï2µ¿_22,1108059010106,22,152,2.1
µ·¾Ï2µ¿_23,1108059010104,23,152,2.1
µ·¾Ï2µ¿_24,1108059010103,24,152,2.1
µ·¾Ï2µ¿_25,1108059020105,25,151,2
µ·¾Ï2µ¿_26,1108059020216,26,145,2
µ·¾Ï2µ¿_27,1108059020217,27,144,2
µ·¾Ï2µ¿_28,1108059010105,28,144,2
µ·¾Ï2µ¿_29,1108059020219,29,138,1.9
µ·¾Ï2µ¿_30,1108059020102,30,138,1.9
µ·¾Ï2µ¿_31,1108059020301,31,134,1.8
µ·¾Ï2µ¿_32,1108059020101,32,130,1.8
µ·¾Ï2µ¿_33,1108059020206,33,122,1.7
µ·¾Ï2µ¿_34,1108059020215,34,119,1.6
µ·¾Ï2µ¿_35,1108059020205,35,119,1.6
µ·¾Ï2µ¿_36,1108059010001,36,117,1.6
µ·¾Ï2µ¿_37,1108059020221,37,117,1.6
µ·¾Ï2µ¿_38,1108059020213,38,116,1.6
µ·¾Ï2µ¿_39,1108059020204,39,115,1.6
µ·¾Ï2µ¿_40,1108059020210,40,113,1.5
µ·¾Ï2µ¿_41,1108059020103,41,111,1.5
µ·¾Ï2µ¿_42,1108059020224,42,107,1.4
µ·¾Ï2µ¿_43,1108059020208,43,104,1.4
µ·¾Ï2µ¿_44,1108059020002,44,79,1.1
µ·¾Ï2µ¿_45,1108059020001,45,19,0.3
