Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
µ·¾Ï2µ¿_1,1108059020222,1,1178,5.3
µ·¾Ï2µ¿_2,1108059020214,2,971,4.4
µ·¾Ï2µ¿_3,1108059020223,3,926,4.2
µ·¾Ï2µ¿_4,1108059020501,4,632,2.8
µ·¾Ï2µ¿_5,1108059020201,5,624,2.8
µ·¾Ï2µ¿_6,1108059020211,6,602,2.7
µ·¾Ï2µ¿_7,1108059020207,7,598,2.7
µ·¾Ï2µ¿_8,1108059020220,8,581,2.6
µ·¾Ï2µ¿_9,1108059010201,9,570,2.6
µ·¾Ï2µ¿_10,1108059020218,10,564,2.5
µ·¾Ï2µ¿_11,1108059010107,11,545,2.5
µ·¾Ï2µ¿_12,1108059020401,12,544,2.5
µ·¾Ï2µ¿_13,1108059020202,13,543,2.4
µ·¾Ï2µ¿_14,1108059010102,14,541,2.4
µ·¾Ï2µ¿_15,1108059020402,15,532,2.4
µ·¾Ï2µ¿_16,1108059020212,16,515,2.3
µ·¾Ï2µ¿_17,1108059020203,17,511,2.3
µ·¾Ï2µ¿_18,1108059020104,18,501,2.3
µ·¾Ï2µ¿_19,1108059010103,19,492,2.2
µ·¾Ï2µ¿_20,1108059010104,20,491,2.2
µ·¾Ï2µ¿_21,1108059020105,21,482,2.2
µ·¾Ï2µ¿_22,1108059020209,22,475,2.1
µ·¾Ï2µ¿_23,1108059020216,23,475,2.1
µ·¾Ï2µ¿_24,1108059010101,24,475,2.1
µ·¾Ï2µ¿_25,1108059010106,25,460,2.1
µ·¾Ï2µ¿_26,1108059010002,26,444,2
µ·¾Ï2µ¿_27,1108059020219,27,442,2
µ·¾Ï2µ¿_28,1108059010105,28,438,2
µ·¾Ï2µ¿_29,1108059020102,29,436,2
µ·¾Ï2µ¿_30,1108059020101,30,433,2
µ·¾Ï2µ¿_31,1108059020217,31,424,1.9
µ·¾Ï2µ¿_32,1108059020301,32,421,1.9
µ·¾Ï2µ¿_33,1108059020206,33,409,1.8
µ·¾Ï2µ¿_34,1108059020205,34,390,1.8
µ·¾Ï2µ¿_35,1108059020103,35,385,1.7
µ·¾Ï2µ¿_36,1108059020221,36,382,1.7
µ·¾Ï2µ¿_37,1108059010001,37,374,1.7
µ·¾Ï2µ¿_38,1108059020215,38,373,1.7
µ·¾Ï2µ¿_39,1108059020210,39,365,1.6
µ·¾Ï2µ¿_40,1108059020204,40,365,1.6
µ·¾Ï2µ¿_41,1108059020208,41,347,1.6
µ·¾Ï2µ¿_42,1108059020213,42,347,1.6
µ·¾Ï2µ¿_43,1108059020224,43,341,1.5
µ·¾Ï2µ¿_44,1108059020002,44,209,0.9
µ·¾Ï2µ¿_45,1108059020001,45,41,0.2
