Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
µ·¾Ï2µ¿_1,1108059020222,1,557,7.6
µ·¾Ï2µ¿_2,1108059020214,2,392,5.3
µ·¾Ï2µ¿_3,1108059020223,3,309,4.2
µ·¾Ï2µ¿_4,1108059020220,4,255,3.5
µ·¾Ï2µ¿_5,1108059010201,5,200,2.7
µ·¾Ï2µ¿_6,1108059020201,6,195,2.7
µ·¾Ï2µ¿_7,1108059020501,7,191,2.6
µ·¾Ï2µ¿_8,1108059020211,8,191,2.6
µ·¾Ï2µ¿_9,1108059020207,9,185,2.5
µ·¾Ï2µ¿_10,1108059020212,10,180,2.5
µ·¾Ï2µ¿_11,1108059020218,11,180,2.5
µ·¾Ï2µ¿_12,1108059010102,12,169,2.3
µ·¾Ï2µ¿_13,1108059020402,13,169,2.3
µ·¾Ï2µ¿_14,1108059020401,14,169,2.3
µ·¾Ï2µ¿_15,1108059010107,15,164,2.2
µ·¾Ï2µ¿_16,1108059020104,16,160,2.2
µ·¾Ï2µ¿_17,1108059020203,17,159,2.2
µ·¾Ï2µ¿_18,1108059020202,18,157,2.1
µ·¾Ï2µ¿_19,1108059020209,19,156,2.1
µ·¾Ï2µ¿_20,1108059010101,20,153,2.1
µ·¾Ï2µ¿_21,1108059010106,21,152,2.1
µ·¾Ï2µ¿_22,1108059010104,22,152,2.1
µ·¾Ï2µ¿_23,1108059010103,23,152,2.1
µ·¾Ï2µ¿_24,1108059020105,24,149,2
µ·¾Ï2µ¿_25,1108059010105,25,144,2
µ·¾Ï2µ¿_26,1108059020217,26,144,2
µ·¾Ï2µ¿_27,1108059020216,27,144,2
µ·¾Ï2µ¿_28,1108059020219,28,139,1.9
µ·¾Ï2µ¿_29,1108059020102,29,138,1.9
µ·¾Ï2µ¿_30,1108059020301,30,134,1.8
µ·¾Ï2µ¿_31,1108059020101,31,131,1.8
µ·¾Ï2µ¿_32,1108059020206,32,122,1.7
µ·¾Ï2µ¿_33,1108059010002,33,122,1.7
µ·¾Ï2µ¿_34,1108059020215,34,119,1.6
µ·¾Ï2µ¿_35,1108059020205,35,119,1.6
µ·¾Ï2µ¿_36,1108059020221,36,117,1.6
µ·¾Ï2µ¿_37,1108059020213,37,116,1.6
µ·¾Ï2µ¿_38,1108059020204,38,115,1.6
µ·¾Ï2µ¿_39,1108059020210,39,114,1.6
µ·¾Ï2µ¿_40,1108059020103,40,112,1.5
µ·¾Ï2µ¿_41,1108059020224,41,108,1.5
µ·¾Ï2µ¿_42,1108059020208,42,104,1.4
µ·¾Ï2µ¿_43,1108059010001,43,101,1.4
µ·¾Ï2µ¿_44,1108059020002,44,75,1
µ·¾Ï2µ¿_45,1108059020001,45,17,0.2
