Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
»ï°¢»êµ¿_1,1109073010108,1,340,3
»ï°¢»êµ¿_2,1109073010302,2,308,2.7
»ï°¢»êµ¿_3,1109073010308,3,308,2.7
»ï°¢»êµ¿_4,1109073010120,4,266,2.4
»ï°¢»êµ¿_5,1109073010105,5,263,2.3
»ï°¢»êµ¿_6,1109073010112,6,251,2.2
»ï°¢»êµ¿_7,1109073010127,7,234,2.1
»ï°¢»êµ¿_8,1109073010605,8,233,2.1
»ï°¢»êµ¿_9,1109073010405,9,228,2
»ï°¢»êµ¿_10,1109073010207,10,212,1.9
»ï°¢»êµ¿_11,1109073010606,11,203,1.8
»ï°¢»êµ¿_12,1109073010406,12,203,1.8
»ï°¢»êµ¿_13,1109073010101,13,198,1.8
»ï°¢»êµ¿_14,1109073010601,14,196,1.7
»ï°¢»êµ¿_15,1109073010111,15,195,1.7
»ï°¢»êµ¿_16,1109073010118,16,195,1.7
»ï°¢»êµ¿_17,1109073010104,17,194,1.7
»ï°¢»êµ¿_18,1109073010602,18,189,1.7
»ï°¢»êµ¿_19,1109073010119,19,185,1.6
»ï°¢»êµ¿_20,1109073010106,20,185,1.6
»ï°¢»êµ¿_21,1109073010113,21,182,1.6
»ï°¢»êµ¿_22,1109073010114,22,182,1.6
»ï°¢»êµ¿_23,1109073010102,23,181,1.6
»ï°¢»êµ¿_24,1109073010125,24,180,1.6
»ï°¢»êµ¿_25,1109073010122,25,177,1.6
»ï°¢»êµ¿_26,1109073010103,26,176,1.6
»ï°¢»êµ¿_27,1109073010401,27,176,1.6
»ï°¢»êµ¿_28,1109073010123,28,174,1.5
»ï°¢»êµ¿_29,1109073010304,29,171,1.5
»ï°¢»êµ¿_30,1109073010121,30,171,1.5
»ï°¢»êµ¿_31,1109073010305,31,168,1.5
»ï°¢»êµ¿_32,1109073010203,32,166,1.5
»ï°¢»êµ¿_33,1109073010604,33,166,1.5
»ï°¢»êµ¿_34,1109073010107,34,165,1.5
»ï°¢»êµ¿_35,1109073010004,35,164,1.5
»ï°¢»êµ¿_36,1109073010202,36,162,1.4
»ï°¢»êµ¿_37,1109073010311,37,161,1.4
»ï°¢»êµ¿_38,1109073010404,38,159,1.4
»ï°¢»êµ¿_39,1109073010206,39,158,1.4
»ï°¢»êµ¿_40,1109073010407,40,152,1.4
»ï°¢»êµ¿_41,1109073010309,41,151,1.3
»ï°¢»êµ¿_42,1109073010310,42,148,1.3
»ï°¢»êµ¿_43,1109073010116,43,144,1.3
»ï°¢»êµ¿_44,1109073010403,44,143,1.3
»ï°¢»êµ¿_45,1109073010204,45,143,1.3
»ï°¢»êµ¿_46,1109073010109,46,142,1.3
»ï°¢»êµ¿_47,1109073010307,47,140,1.2
»ï°¢»êµ¿_48,1109073010603,48,139,1.2
»ï°¢»êµ¿_49,1109073010408,49,138,1.2
»ï°¢»êµ¿_50,1109073010208,50,137,1.2
»ï°¢»êµ¿_51,1109073010306,51,137,1.2
»ï°¢»êµ¿_52,1109073010115,52,137,1.2
»ï°¢»êµ¿_53,1109073010128,53,136,1.2
»ï°¢»êµ¿_54,1109073010201,54,136,1.2
»ï°¢»êµ¿_55,1109073010110,55,136,1.2
»ï°¢»êµ¿_56,1109073010126,56,135,1.2
»ï°¢»êµ¿_57,1109073010205,57,134,1.2
»ï°¢»êµ¿_58,1109073010402,58,132,1.2
»ï°¢»êµ¿_59,1109073010117,59,130,1.2
»ï°¢»êµ¿_60,1109073010124,60,130,1.2
»ï°¢»êµ¿_61,1109073010303,61,126,1.1
»ï°¢»êµ¿_62,1109073010502,62,121,1.1
»ï°¢»êµ¿_63,1109073010501,63,120,1.1
»ï°¢»êµ¿_64,1109073010301,64,114,1
»ï°¢»êµ¿_65,1109073010005,65,7,0.1
