Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
»ï°¢»êµ¿_1,1109073010004,1,260,48.3
»ï°¢»êµ¿_2,1109073010127,2,96,17.8
»ï°¢»êµ¿_3,1109073010106,3,27,5
»ï°¢»êµ¿_4,1109073010311,4,27,5
»ï°¢»êµ¿_5,1109073010005,5,22,4.1
»ï°¢»êµ¿_6,1109073010201,6,15,2.8
»ï°¢»êµ¿_7,1109073010502,7,13,2.4
»ï°¢»êµ¿_8,1109073010401,8,12,2.2
»ï°¢»êµ¿_9,1109073010206,9,11,2
»ï°¢»êµ¿_10,1109073010002,10,11,2
»ï°¢»êµ¿_11,1109073010302,11,11,2
»ï°¢»êµ¿_12,1109073010601,12,11,2
»ï°¢»êµ¿_13,1109073010406,13,9,1.7
»ï°¢»êµ¿_14,1109073010203,14,7,1.3
»ï°¢»êµ¿_15,1109073010402,15,6,1.1
