Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
»ï°¢»êµ¿_1,1109073010108,1,695,2.1
»ï°¢»êµ¿_2,1109073010111,2,677,2.1
»ï°¢»êµ¿_3,1109073010125,3,642,2
»ï°¢»êµ¿_4,1109073010113,4,627,1.9
»ï°¢»êµ¿_5,1109073010104,5,626,1.9
»ï°¢»êµ¿_6,1109073010118,6,622,1.9
»ï°¢»êµ¿_7,1109073010119,7,620,1.9
»ï°¢»êµ¿_8,1109073010606,8,618,1.9
»ï°¢»êµ¿_9,1109073010121,9,612,1.9
»ï°¢»êµ¿_10,1109073010101,10,612,1.9
»ï°¢»êµ¿_11,1109073010102,11,611,1.9
»ï°¢»êµ¿_12,1109073010305,12,600,1.8
»ï°¢»êµ¿_13,1109073010114,13,591,1.8
»ï°¢»êµ¿_14,1109073010127,14,590,1.8
»ï°¢»êµ¿_15,1109073010106,15,583,1.8
»ï°¢»êµ¿_16,1109073010304,16,580,1.8
»ï°¢»êµ¿_17,1109073010207,17,579,1.8
»ï°¢»êµ¿_18,1109073010103,18,575,1.8
»ï°¢»êµ¿_19,1109073010107,19,570,1.7
»ï°¢»êµ¿_20,1109073010122,20,568,1.7
»ï°¢»êµ¿_21,1109073010405,21,567,1.7
»ï°¢»êµ¿_22,1109073010605,22,563,1.7
»ï°¢»êµ¿_23,1109073010602,23,554,1.7
»ï°¢»êµ¿_24,1109073010311,24,553,1.7
»ï°¢»êµ¿_25,1109073010604,25,542,1.7
»ï°¢»êµ¿_26,1109073010105,26,538,1.6
»ï°¢»êµ¿_27,1109073010406,27,536,1.6
»ï°¢»êµ¿_28,1109073010112,28,530,1.6
»ï°¢»êµ¿_29,1109073010120,29,525,1.6
»ï°¢»êµ¿_30,1109073010308,30,517,1.6
»ï°¢»êµ¿_31,1109073010601,31,516,1.6
»ï°¢»êµ¿_32,1109073010203,32,515,1.6
»ï°¢»êµ¿_33,1109073010202,33,512,1.6
»ï°¢»êµ¿_34,1109073010401,34,507,1.5
»ï°¢»êµ¿_35,1109073010310,35,505,1.5
»ï°¢»êµ¿_36,1109073010307,36,498,1.5
»ï°¢»êµ¿_37,1109073010302,37,496,1.5
»ï°¢»êµ¿_38,1109073010115,38,493,1.5
»ï°¢»êµ¿_39,1109073010306,39,492,1.5
»ï°¢»êµ¿_40,1109073010116,40,489,1.5
»ï°¢»êµ¿_41,1109073010404,41,488,1.5
»ï°¢»êµ¿_42,1109073010206,42,470,1.4
»ï°¢»êµ¿_43,1109073010407,43,467,1.4
»ï°¢»êµ¿_44,1109073010128,44,459,1.4
»ï°¢»êµ¿_45,1109073010303,45,459,1.4
»ï°¢»êµ¿_46,1109073010408,46,448,1.4
»ï°¢»êµ¿_47,1109073010124,47,442,1.3
»ï°¢»êµ¿_48,1109073010309,48,441,1.3
»ï°¢»êµ¿_49,1109073010205,49,435,1.3
»ï°¢»êµ¿_50,1109073010110,50,433,1.3
»ï°¢»êµ¿_51,1109073010204,51,431,1.3
»ï°¢»êµ¿_52,1109073010403,52,430,1.3
»ï°¢»êµ¿_53,1109073010109,53,427,1.3
»ï°¢»êµ¿_54,1109073010402,54,421,1.3
»ï°¢»êµ¿_55,1109073010603,55,410,1.3
»ï°¢»êµ¿_56,1109073010117,56,403,1.2
»ï°¢»êµ¿_57,1109073010502,57,402,1.2
»ï°¢»êµ¿_58,1109073010208,58,401,1.2
»ï°¢»êµ¿_59,1109073010201,59,398,1.2
»ï°¢»êµ¿_60,1109073010301,60,398,1.2
»ï°¢»êµ¿_61,1109073010501,61,379,1.2
»ï°¢»êµ¿_62,1109073010126,62,372,1.1
»ï°¢»êµ¿_63,1109073010123,63,360,1.1
»ï°¢»êµ¿_64,1109073010004,64,358,1.1
»ï°¢»êµ¿_65,1109073010005,65,17,0.1
