Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
»ï¾çµ¿_1,1109069020010,1,272,2.5
»ï¾çµ¿_2,1109069040105,2,270,2.5
»ï¾çµ¿_3,1109069030009,3,266,2.4
»ï¾çµ¿_4,1109069040110,4,253,2.3
»ï¾çµ¿_5,1109069010010,5,250,2.3
»ï¾çµ¿_6,1109069030004,6,248,2.3
»ï¾çµ¿_7,1109069030005,7,246,2.3
»ï¾çµ¿_8,1109069030011,8,242,2.2
»ï¾çµ¿_9,1109069010006,9,237,2.2
»ï¾çµ¿_10,1109069020017,10,235,2.2
»ï¾çµ¿_11,1109069030008,11,234,2.1
»ï¾çµ¿_12,1109069030012,12,232,2.1
»ï¾çµ¿_13,1109069030006,13,227,2.1
»ï¾çµ¿_14,1109069030010,14,226,2.1
»ï¾çµ¿_15,1109069010008,15,224,2.1
»ï¾çµ¿_16,1109069020012,16,220,2
»ï¾çµ¿_17,1109069020004,17,218,2
»ï¾çµ¿_18,1109069040108,18,209,1.9
»ï¾çµ¿_19,1109069030002,19,209,1.9
»ï¾çµ¿_20,1109069010301,20,208,1.9
»ï¾çµ¿_21,1109069020009,21,208,1.9
»ï¾çµ¿_22,1109069010002,22,207,1.9
»ï¾çµ¿_23,1109069010003,23,200,1.8
»ï¾çµ¿_24,1109069010201,24,200,1.8
»ï¾çµ¿_25,1109069030013,25,199,1.8
»ï¾çµ¿_26,1109069010004,26,197,1.8
»ï¾çµ¿_27,1109069030001,27,196,1.8
»ï¾çµ¿_28,1109069010005,28,192,1.8
»ï¾çµ¿_29,1109069040103,29,192,1.8
»ï¾çµ¿_30,1109069030003,30,192,1.8
»ï¾çµ¿_31,1109069010001,31,187,1.7
»ï¾çµ¿_32,1109069020001,32,187,1.7
»ï¾çµ¿_33,1109069040101,33,187,1.7
»ï¾çµ¿_34,1109069020016,34,184,1.7
»ï¾çµ¿_35,1109069010007,35,184,1.7
»ï¾çµ¿_36,1109069020006,36,184,1.7
»ï¾çµ¿_37,1109069020005,37,183,1.7
»ï¾çµ¿_38,1109069020003,38,182,1.7
»ï¾çµ¿_39,1109069020015,39,181,1.7
»ï¾çµ¿_40,1109069030007,40,179,1.6
»ï¾çµ¿_41,1109069040104,41,176,1.6
»ï¾çµ¿_42,1109069020008,42,173,1.6
»ï¾çµ¿_43,1109069040109,43,173,1.6
»ï¾çµ¿_44,1109069020011,44,170,1.6
»ï¾çµ¿_45,1109069040106,45,169,1.6
»ï¾çµ¿_46,1109069020014,46,165,1.5
»ï¾çµ¿_47,1109069040107,47,165,1.5
»ï¾çµ¿_48,1109069010009,48,164,1.5
»ï¾çµ¿_49,1109069020007,49,163,1.5
»ï¾çµ¿_50,1109069020002,50,162,1.5
»ï¾çµ¿_51,1109069040102,51,162,1.5
»ï¾çµ¿_52,1109069020013,52,145,1.3
»ï¾çµ¿_53,1109069040002,53,128,1.2
»ï¾çµ¿_54,1109069040001,54,128,1.2
»ï¾çµ¿_55,1109069010202,55,106,1
