Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
»ï¾çµ¿_1,1109069030002,1,166,16.6
»ï¾çµ¿_2,1109069010010,2,102,10.2
»ï¾çµ¿_3,1109069020009,3,97,9.7
»ï¾çµ¿_4,1109069040108,4,59,5.9
»ï¾çµ¿_5,1109069010002,5,44,4.4
»ï¾çµ¿_6,1109069030012,6,43,4.3
»ï¾çµ¿_7,1109069030010,7,40,4
»ï¾çµ¿_8,1109069020010,8,39,3.9
»ï¾çµ¿_9,1109069010005,9,37,3.7
»ï¾çµ¿_10,1109069020005,10,33,3.3
»ï¾çµ¿_11,1109069020007,11,28,2.8
»ï¾çµ¿_12,1109069030004,12,27,2.7
»ï¾çµ¿_13,1109069010004,13,24,2.4
»ï¾çµ¿_14,1109069030001,14,23,2.3
»ï¾çµ¿_15,1109069030011,15,22,2.2
»ï¾çµ¿_16,1109069030009,16,20,2
»ï¾çµ¿_17,1109069010006,17,20,2
»ï¾çµ¿_18,1109069020002,18,19,1.9
»ï¾çµ¿_19,1109069030007,19,19,1.9
»ï¾çµ¿_20,1109069030006,20,16,1.6
»ï¾çµ¿_21,1109069010007,21,15,1.5
»ï¾çµ¿_22,1109069010003,22,14,1.4
»ï¾çµ¿_23,1109069020017,23,13,1.3
»ï¾çµ¿_24,1109069040002,24,12,1.2
»ï¾çµ¿_25,1109069010001,25,10,1
»ï¾çµ¿_26,1109069030003,26,8,0.8
»ï¾çµ¿_27,1109069030005,27,7,0.7
»ï¾çµ¿_28,1109069030008,28,7,0.7
»ï¾çµ¿_29,1109069020006,29,7,0.7
»ï¾çµ¿_30,1109069010009,30,6,0.6
»ï¾çµ¿_31,1109069020013,31,6,0.6
»ï¾çµ¿_32,1109069020014,32,5,0.5
»ï¾çµ¿_33,1109069020011,33,5,0.5
»ï¾çµ¿_34,1109069020008,34,5,0.5
