Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
»ï¾çµ¿_1,1109069040103,1,635,2.3
»ï¾çµ¿_2,1109069010301,2,610,2.2
»ï¾çµ¿_3,1109069040108,3,607,2.2
»ï¾çµ¿_4,1109069030008,4,603,2.2
»ï¾çµ¿_5,1109069010201,5,603,2.2
»ï¾çµ¿_6,1109069020010,6,601,2.2
»ï¾çµ¿_7,1109069030011,7,599,2.2
»ï¾çµ¿_8,1109069040105,8,598,2.2
»ï¾çµ¿_9,1109069030009,9,588,2.1
»ï¾çµ¿_10,1109069020004,10,584,2.1
»ï¾çµ¿_11,1109069040101,11,577,2.1
»ï¾çµ¿_12,1109069030005,12,575,2.1
»ï¾çµ¿_13,1109069020017,13,569,2.1
»ï¾çµ¿_14,1109069030006,14,568,2.1
»ï¾çµ¿_15,1109069030012,15,561,2
»ï¾çµ¿_16,1109069030013,16,561,2
»ï¾çµ¿_17,1109069040107,17,557,2
»ï¾çµ¿_18,1109069020012,18,553,2
»ï¾çµ¿_19,1109069030004,19,545,2
»ï¾çµ¿_20,1109069040104,20,534,1.9
»ï¾çµ¿_21,1109069040102,21,534,1.9
»ï¾çµ¿_22,1109069010008,22,534,1.9
»ï¾çµ¿_23,1109069040110,23,520,1.9
»ï¾çµ¿_24,1109069040109,24,514,1.9
»ï¾çµ¿_25,1109069010010,25,508,1.8
»ï¾çµ¿_26,1109069030010,26,507,1.8
»ï¾çµ¿_27,1109069040106,27,505,1.8
»ï¾çµ¿_28,1109069010006,28,503,1.8
»ï¾çµ¿_29,1109069020001,29,495,1.8
»ï¾çµ¿_30,1109069030003,30,492,1.8
»ï¾çµ¿_31,1109069020016,31,480,1.7
»ï¾çµ¿_32,1109069010005,32,468,1.7
»ï¾çµ¿_33,1109069030002,33,467,1.7
»ï¾çµ¿_34,1109069020006,34,465,1.7
»ï¾çµ¿_35,1109069010004,35,463,1.7
»ï¾çµ¿_36,1109069020002,36,458,1.7
»ï¾çµ¿_37,1109069020003,37,458,1.7
»ï¾çµ¿_38,1109069020011,38,455,1.7
»ï¾çµ¿_39,1109069010002,39,449,1.6
»ï¾çµ¿_40,1109069020009,40,449,1.6
»ï¾çµ¿_41,1109069020015,41,445,1.6
»ï¾çµ¿_42,1109069010001,42,443,1.6
»ï¾çµ¿_43,1109069030001,43,436,1.6
»ï¾çµ¿_44,1109069010007,44,434,1.6
»ï¾çµ¿_45,1109069020005,45,427,1.6
»ï¾çµ¿_46,1109069010003,46,417,1.5
»ï¾çµ¿_47,1109069020013,47,415,1.5
»ï¾çµ¿_48,1109069030007,48,411,1.5
»ï¾çµ¿_49,1109069020008,49,410,1.5
»ï¾çµ¿_50,1109069020014,50,410,1.5
»ï¾çµ¿_51,1109069020007,51,402,1.5
»ï¾çµ¿_52,1109069010009,52,399,1.5
»ï¾çµ¿_53,1109069040001,53,382,1.4
»ï¾çµ¿_54,1109069040002,54,378,1.4
»ï¾çµ¿_55,1109069010202,55,323,1.2
