Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
»ï¾çµ¿_1,1109069040105,1,270,3.4
»ï¾çµ¿_2,1109069040110,2,253,3.2
»ï¾çµ¿_3,1109069040108,3,209,2.6
»ï¾çµ¿_4,1109069010301,4,208,2.6
»ï¾çµ¿_5,1109069010201,5,200,2.5
»ï¾çµ¿_6,1109069040103,6,198,2.5
»ï¾çµ¿_7,1109069020010,7,196,2.5
»ï¾çµ¿_8,1109069030008,8,196,2.5
»ï¾çµ¿_9,1109069030013,9,193,2.4
»ï¾çµ¿_10,1109069040101,10,189,2.4
»ï¾çµ¿_11,1109069020004,11,185,2.3
»ï¾çµ¿_12,1109069020001,12,177,2.2
»ï¾çµ¿_13,1109069040104,13,177,2.2
»ï¾çµ¿_14,1109069040109,14,173,2.2
»ï¾çµ¿_15,1109069040106,15,170,2.1
»ï¾çµ¿_16,1109069040107,16,165,2.1
»ï¾çµ¿_17,1109069040102,17,164,2.1
»ï¾çµ¿_18,1109069020017,18,164,2.1
»ï¾çµ¿_19,1109069020006,19,163,2.1
»ï¾çµ¿_20,1109069020016,20,154,1.9
»ï¾çµ¿_21,1109069020012,21,153,1.9
»ï¾çµ¿_22,1109069030004,22,144,1.8
»ï¾çµ¿_23,1109069030011,23,143,1.8
»ï¾çµ¿_24,1109069030003,24,141,1.8
»ï¾çµ¿_25,1109069010004,25,139,1.8
»ï¾çµ¿_26,1109069010010,26,134,1.7
»ï¾çµ¿_27,1109069020009,27,133,1.7
»ï¾çµ¿_28,1109069020013,28,132,1.7
»ï¾çµ¿_29,1109069030005,29,132,1.7
»ï¾çµ¿_30,1109069010007,30,131,1.7
»ï¾çµ¿_31,1109069010008,31,130,1.6
»ï¾çµ¿_32,1109069020003,32,129,1.6
»ï¾çµ¿_33,1109069020011,33,127,1.6
»ï¾çµ¿_34,1109069040001,34,126,1.6
»ï¾çµ¿_35,1109069010006,35,125,1.6
»ï¾çµ¿_36,1109069010001,36,123,1.6
»ï¾çµ¿_37,1109069040002,37,119,1.5
»ï¾çµ¿_38,1109069010005,38,118,1.5
»ï¾çµ¿_39,1109069020002,39,117,1.5
»ï¾çµ¿_40,1109069020014,40,114,1.4
»ï¾çµ¿_41,1109069020015,41,114,1.4
»ï¾çµ¿_42,1109069030012,42,114,1.4
»ï¾çµ¿_43,1109069020005,43,112,1.4
»ï¾çµ¿_44,1109069030010,44,111,1.4
»ï¾çµ¿_45,1109069020007,45,110,1.4
»ï¾çµ¿_46,1109069010002,46,109,1.4
»ï¾çµ¿_47,1109069020008,47,108,1.4
»ï¾çµ¿_48,1109069010202,48,106,1.3
»ï¾çµ¿_49,1109069010003,49,101,1.3
»ï¾çµ¿_50,1109069030002,50,99,1.3
»ï¾çµ¿_51,1109069030007,51,92,1.2
»ï¾çµ¿_52,1109069010009,52,88,1.1
»ï¾çµ¿_53,1109069030009,53,86,1.1
»ï¾çµ¿_54,1109069030006,54,84,1.1
»ï¾çµ¿_55,1109069030001,55,63,0.8
