항목,집계구번호,순위,값,비율(%)
송천동_1,1109072050005,1,265,2.2
송천동_2,1109072040003,2,261,2.2
송천동_3,1109072040010,3,259,2.2
송천동_4,1109072030010,4,246,2.1
송천동_5,1109072050008,5,244,2.1
송천동_6,1109072030015,6,239,2
송천동_7,1109072030024,7,230,1.9
송천동_8,1109072040014,8,221,1.9
송천동_9,1109072050006,9,220,1.9
송천동_10,1109072030012,10,219,1.8
송천동_11,1109072040101,11,218,1.8
송천동_12,1109072030022,12,218,1.8
송천동_13,1109072040001,13,218,1.8
송천동_14,1109072030009,14,218,1.8
송천동_15,1109072030020,15,215,1.8
송천동_16,1109072030008,16,213,1.8
송천동_17,1109072030023,17,208,1.8
송천동_18,1109072040012,18,205,1.7
송천동_19,1109072010002,19,204,1.7
송천동_20,1109072040015,20,204,1.7
송천동_21,1109072050102,21,203,1.7
송천동_22,1109072030007,22,202,1.7
송천동_23,1109072030001,23,202,1.7
송천동_24,1109072030005,24,201,1.7
송천동_25,1109072030019,25,200,1.7
송천동_26,1109072010005,26,200,1.7
송천동_27,1109072030003,27,198,1.7
송천동_28,1109072020001,28,197,1.7
송천동_29,1109072050002,29,197,1.7
송천동_30,1109072030011,30,197,1.7
송천동_31,1109072030013,31,196,1.7
송천동_32,1109072040008,32,196,1.7
송천동_33,1109072040002,33,195,1.6
송천동_34,1109072040004,34,193,1.6
송천동_35,1109072030006,35,192,1.6
송천동_36,1109072050003,36,189,1.6
송천동_37,1109072010004,37,189,1.6
송천동_38,1109072050202,38,188,1.6
송천동_39,1109072030021,39,184,1.6
송천동_40,1109072030017,40,184,1.6
송천동_41,1109072010006,41,183,1.5
송천동_42,1109072040009,42,183,1.5
송천동_43,1109072040006,43,183,1.5
송천동_44,1109072010003,44,183,1.5
송천동_45,1109072040007,45,182,1.5
송천동_46,1109072030016,46,180,1.5
송천동_47,1109072040011,47,178,1.5
송천동_48,1109072040005,48,178,1.5
송천동_49,1109072030018,49,176,1.5
송천동_50,1109072050001,50,175,1.5
송천동_51,1109072050101,51,173,1.5
송천동_52,1109072030014,52,170,1.4
송천동_53,1109072030004,53,169,1.4
송천동_54,1109072040013,54,168,1.4
송천동_55,1109072050004,55,166,1.4
송천동_56,1109072010001,56,165,1.4
송천동_57,1109072050007,57,160,1.3
송천동_58,1109072030002,58,160,1.3
송천동_59,1109072050203,59,153,1.3
송천동_60,1109072050201,60,139,1.2
