항목,집계구번호,순위,값,비율(%)
송천동_1,1109072050003,1,272,13.5
송천동_2,1109072020001,2,258,12.8
송천동_3,1109072040012,3,105,5.2
송천동_4,1109072030022,4,78,3.9
송천동_5,1109072040004,5,74,3.7
송천동_6,1109072030010,6,70,3.5
송천동_7,1109072040002,7,70,3.5
송천동_8,1109072010002,8,57,2.8
송천동_9,1109072030015,9,57,2.8
송천동_10,1109072050007,10,53,2.6
송천동_11,1109072010005,11,53,2.6
송천동_12,1109072030011,12,46,2.3
송천동_13,1109072030009,13,45,2.2
송천동_14,1109072030014,14,43,2.1
송천동_15,1109072030020,15,42,2.1
송천동_16,1109072040013,16,39,1.9
송천동_17,1109072040014,17,39,1.9
송천동_18,1109072030018,18,35,1.7
송천동_19,1109072040010,19,33,1.6
송천동_20,1109072030007,20,33,1.6
송천동_21,1109072040003,21,30,1.5
송천동_22,1109072040008,22,29,1.4
송천동_23,1109072050005,23,28,1.4
송천동_24,1109072010006,24,27,1.3
송천동_25,1109072030021,25,24,1.2
송천동_26,1109072010004,26,24,1.2
송천동_27,1109072030019,27,24,1.2
송천동_28,1109072030002,28,23,1.1
송천동_29,1109072050004,29,22,1.1
송천동_30,1109072030004,30,20,1
송천동_31,1109072030024,31,20,1
송천동_32,1109072030012,32,18,0.9
송천동_33,1109072050001,33,18,0.9
송천동_34,1109072030017,34,17,0.8
송천동_35,1109072040101,35,17,0.8
송천동_36,1109072050002,36,17,0.8
송천동_37,1109072030008,37,16,0.8
송천동_38,1109072040007,38,16,0.8
송천동_39,1109072050006,39,14,0.7
송천동_40,1109072050101,40,14,0.7
송천동_41,1109072050008,41,14,0.7
송천동_42,1109072040009,42,14,0.7
송천동_43,1109072010003,43,12,0.6
송천동_44,1109072030003,44,12,0.6
송천동_45,1109072030023,45,11,0.5
송천동_46,1109072030013,46,9,0.4
송천동_47,1109072040006,47,8,0.4
송천동_48,1109072030016,48,8,0.4
송천동_49,1109072030005,49,5,0.2
송천동_50,1109072030006,50,5,0.2
