항목,집계구번호,순위,값,비율(%)
송천동_1,1109072040101,1,621,2.2
송천동_2,1109072040003,2,588,2.1
송천동_3,1109072040010,3,587,2.1
송천동_4,1109072050008,4,571,2
송천동_5,1109072030010,5,564,2
송천동_6,1109072030015,6,563,2
송천동_7,1109072030023,7,555,2
송천동_8,1109072050005,8,548,2
송천동_9,1109072050102,9,547,2
송천동_10,1109072050006,10,543,1.9
송천동_11,1109072050202,11,539,1.9
송천동_12,1109072030001,12,537,1.9
송천동_13,1109072030022,13,535,1.9
송천동_14,1109072030012,14,523,1.9
송천동_15,1109072030024,15,522,1.9
송천동_16,1109072030020,16,506,1.8
송천동_17,1109072030019,17,492,1.8
송천동_18,1109072040015,18,491,1.8
송천동_19,1109072010002,19,491,1.8
송천동_20,1109072030006,20,489,1.7
송천동_21,1109072050101,21,487,1.7
송천동_22,1109072040001,22,485,1.7
송천동_23,1109072030005,23,483,1.7
송천동_24,1109072040014,24,476,1.7
송천동_25,1109072030009,25,474,1.7
송천동_26,1109072030003,26,471,1.7
송천동_27,1109072030008,27,469,1.7
송천동_28,1109072050203,28,466,1.7
송천동_29,1109072050002,29,452,1.6
송천동_30,1109072030013,30,448,1.6
송천동_31,1109072010005,31,446,1.6
송천동_32,1109072030007,32,445,1.6
송천동_33,1109072040008,33,444,1.6
송천동_34,1109072040002,34,441,1.6
송천동_35,1109072030011,35,439,1.6
송천동_36,1109072030004,36,438,1.6
송천동_37,1109072040012,37,436,1.6
송천동_38,1109072040004,38,435,1.6
송천동_39,1109072010003,39,427,1.5
송천동_40,1109072040009,40,422,1.5
송천동_41,1109072020001,41,420,1.5
송천동_42,1109072030016,42,414,1.5
송천동_43,1109072010006,43,414,1.5
송천동_44,1109072030018,44,414,1.5
송천동_45,1109072040005,45,413,1.5
송천동_46,1109072030002,46,413,1.5
송천동_47,1109072050001,47,412,1.5
송천동_48,1109072040011,48,412,1.5
송천동_49,1109072040006,49,409,1.5
송천동_50,1109072040007,50,409,1.5
송천동_51,1109072010001,51,409,1.5
송천동_52,1109072030014,52,407,1.5
송천동_53,1109072030021,53,406,1.5
송천동_54,1109072040013,54,399,1.4
송천동_55,1109072010004,55,399,1.4
송천동_56,1109072030017,56,399,1.4
송천동_57,1109072050201,57,398,1.4
송천동_58,1109072050004,58,389,1.4
송천동_59,1109072050003,59,379,1.4
송천동_60,1109072050007,60,353,1.3
