항목,집계구번호,순위,값,비율(%)
송천동_1,1109072040101,1,216,3.2
송천동_2,1109072050102,2,203,3
송천동_3,1109072050202,3,188,2.8
송천동_4,1109072050101,4,173,2.6
송천동_5,1109072030010,5,165,2.4
송천동_6,1109072050203,6,153,2.3
송천동_7,1109072030023,7,151,2.2
송천동_8,1109072050006,8,151,2.2
송천동_9,1109072050201,9,139,2.1
송천동_10,1109072040008,10,136,2
송천동_11,1109072030020,11,134,2
송천동_12,1109072040014,12,133,2
송천동_13,1109072030015,13,132,2
송천동_14,1109072040005,14,131,1.9
송천동_15,1109072030001,15,130,1.9
송천동_16,1109072050005,16,130,1.9
송천동_17,1109072040015,17,128,1.9
송천동_18,1109072030019,18,126,1.9
송천동_19,1109072040010,19,125,1.9
송천동_20,1109072050008,20,124,1.8
송천동_21,1109072030018,21,123,1.8
송천동_22,1109072030012,22,122,1.8
송천동_23,1109072030003,23,120,1.8
송천동_24,1109072040001,24,118,1.7
송천동_25,1109072030005,25,114,1.7
송천동_26,1109072030002,26,113,1.7
송천동_27,1109072030017,27,113,1.7
송천동_28,1109072010001,28,113,1.7
송천동_29,1109072030016,29,112,1.7
송천동_30,1109072010006,30,109,1.6
송천동_31,1109072030006,31,106,1.6
송천동_32,1109072030011,32,105,1.6
송천동_33,1109072010002,33,104,1.5
송천동_34,1109072040013,34,104,1.5
송천동_35,1109072030024,35,101,1.5
송천동_36,1109072040003,36,101,1.5
송천동_37,1109072020001,37,100,1.5
송천동_38,1109072030022,38,100,1.5
송천동_39,1109072030009,39,99,1.5
송천동_40,1109072010003,40,98,1.5
송천동_41,1109072010005,41,96,1.4
송천동_42,1109072010004,42,93,1.4
송천동_43,1109072030004,43,91,1.3
송천동_44,1109072040009,44,91,1.3
송천동_45,1109072040007,45,90,1.3
송천동_46,1109072030008,46,89,1.3
송천동_47,1109072050003,47,83,1.2
송천동_48,1109072050001,48,82,1.2
송천동_49,1109072040011,49,82,1.2
송천동_50,1109072050004,50,82,1.2
송천동_51,1109072030014,51,82,1.2
송천동_52,1109072030013,52,81,1.2
송천동_53,1109072050002,53,79,1.2
송천동_54,1109072040012,54,78,1.2
송천동_55,1109072040004,55,73,1.1
송천동_56,1109072030021,56,72,1.1
송천동_57,1109072040002,57,70,1
송천동_58,1109072030007,58,69,1
송천동_59,1109072040006,59,65,1
송천동_60,1109072050007,60,55,0.8
