항목,집계구번호,순위,값,비율(%)
수유1동_1,1109063010004,1,351,26
수유1동_2,1109063010014,2,141,10.5
수유1동_3,1109063020006,3,90,6.7
수유1동_4,1109063010016,4,86,6.4
수유1동_5,1109063010006,5,52,3.9
수유1동_6,1109063020017,6,48,3.6
수유1동_7,1109063010003,7,45,3.3
수유1동_8,1109063010007,8,42,3.1
수유1동_9,1109063020003,9,42,3.1
수유1동_10,1109063010012,10,39,2.9
수유1동_11,1109063010013,11,38,2.8
수유1동_12,1109063010015,12,30,2.2
수유1동_13,1109063020002,13,29,2.1
수유1동_14,1109063030004,14,27,2
수유1동_15,1109063020007,15,26,1.9
수유1동_16,1109063010009,16,24,1.8
수유1동_17,1109063010001,17,22,1.6
수유1동_18,1109063020013,18,21,1.6
수유1동_19,1109063020010,19,20,1.5
수유1동_20,1109063010005,20,19,1.4
수유1동_21,1109063020015,21,18,1.3
수유1동_22,1109063010011,22,17,1.3
수유1동_23,1109063020021,23,17,1.3
수유1동_24,1109063030003,24,16,1.2
수유1동_25,1109063010010,25,14,1
수유1동_26,1109063020005,26,13,1
수유1동_27,1109063010002,27,11,0.8
수유1동_28,1109063020008,28,10,0.7
수유1동_29,1109063020016,29,8,0.6
수유1동_30,1109063010008,30,8,0.6
수유1동_31,1109063030001,31,7,0.5
수유1동_32,1109063030002,32,6,0.4
수유1동_33,1109063020014,33,6,0.4
수유1동_34,1109063020012,34,6,0.4
