항목,집계구번호,순위,값,비율(%)
수유1동_1,1109063020017,1,875,4.1
수유1동_2,1109063020011,2,762,3.6
수유1동_3,1109063020002,3,740,3.5
수유1동_4,1109063020003,4,681,3.2
수유1동_5,1109063030002,5,655,3.1
수유1동_6,1109063020014,6,607,2.9
수유1동_7,1109063020006,7,597,2.8
수유1동_8,1109063020001,8,588,2.8
수유1동_9,1109063010010,9,580,2.7
수유1동_10,1109063020009,10,565,2.7
수유1동_11,1109063030001,11,565,2.7
수유1동_12,1109063010014,12,564,2.7
수유1동_13,1109063020012,13,511,2.4
수유1동_14,1109063030003,14,509,2.4
수유1동_15,1109063010015,15,504,2.4
수유1동_16,1109063020015,16,504,2.4
수유1동_17,1109063010002,17,502,2.4
수유1동_18,1109063020016,18,500,2.4
수유1동_19,1109063020007,19,496,2.3
수유1동_20,1109063030005,20,488,2.3
수유1동_21,1109063010013,21,481,2.3
수유1동_22,1109063010001,22,480,2.3
수유1동_23,1109063010012,23,474,2.2
수유1동_24,1109063020008,24,462,2.2
수유1동_25,1109063010004,25,450,2.1
수유1동_26,1109063030004,26,442,2.1
수유1동_27,1109063010011,27,439,2.1
수유1동_28,1109063010006,28,438,2.1
수유1동_29,1109063010005,29,427,2
수유1동_30,1109063010009,30,424,2
수유1동_31,1109063010007,31,419,2
수유1동_32,1109063010008,32,418,2
수유1동_33,1109063010016,33,417,2
수유1동_34,1109063020010,34,409,1.9
수유1동_35,1109063030006,35,400,1.9
수유1동_36,1109063010003,36,399,1.9
수유1동_37,1109063020013,37,380,1.8
수유1동_38,1109063020019,38,367,1.7
수유1동_39,1109063020004,39,343,1.6
수유1동_40,1109063020018,40,333,1.6
수유1동_41,1109063020020,41,319,1.5
수유1동_42,1109063020005,42,318,1.5
수유1동_43,1109063020021,43,310,1.5
