항목,집계구번호,순위,값,비율(%)
수유1동_1,1109063030002,1,267,4.5
수유1동_2,1109063020011,2,264,4.4
수유1동_3,1109063020017,3,251,4.2
수유1동_4,1109063010015,4,228,3.8
수유1동_5,1109063020003,5,216,3.6
수유1동_6,1109063020002,6,205,3.5
수유1동_7,1109063020014,7,188,3.2
수유1동_8,1109063020001,8,177,3
수유1동_9,1109063020009,9,172,2.9
수유1동_10,1109063030003,10,167,2.8
수유1동_11,1109063030001,11,165,2.8
수유1동_12,1109063030005,12,161,2.7
수유1동_13,1109063020012,13,158,2.7
수유1동_14,1109063020015,14,148,2.5
수유1동_15,1109063020006,15,148,2.5
수유1동_16,1109063020016,16,146,2.5
수유1동_17,1109063010012,17,138,2.3
수유1동_18,1109063030006,18,135,2.3
수유1동_19,1109063010009,19,135,2.3
수유1동_20,1109063020007,20,130,2.2
수유1동_21,1109063020008,21,126,2.1
수유1동_22,1109063020013,22,126,2.1
수유1동_23,1109063030004,23,122,2.1
수유1동_24,1109063010010,24,117,2
수유1동_25,1109063020018,25,117,2
수유1동_26,1109063010013,26,114,1.9
수유1동_27,1109063010001,27,114,1.9
수유1동_28,1109063010003,28,110,1.9
수유1동_29,1109063010016,29,109,1.8
수유1동_30,1109063020019,30,107,1.8
수유1동_31,1109063010002,31,106,1.8
수유1동_32,1109063010011,32,101,1.7
수유1동_33,1109063020004,33,100,1.7
수유1동_34,1109063010006,34,98,1.7
수유1동_35,1109063010004,35,95,1.6
수유1동_36,1109063010007,36,93,1.6
수유1동_37,1109063020010,37,91,1.5
수유1동_38,1109063010008,38,91,1.5
수유1동_39,1109063020021,39,85,1.4
수유1동_40,1109063010014,40,84,1.4
수유1동_41,1109063020020,41,83,1.4
수유1동_42,1109063020005,42,78,1.3
수유1동_43,1109063010005,43,72,1.2
