항목,집계구번호,순위,값,비율(%)
수유2동_1,1109064010021,1,261,3.2
수유2동_2,1109064010020,2,246,3
수유2동_3,1109064010004,3,243,2.9
수유2동_4,1109064020004,4,241,2.9
수유2동_5,1109064020005,5,237,2.9
수유2동_6,1109064020006,6,235,2.8
수유2동_7,1109064020310,7,235,2.8
수유2동_8,1109064010019,8,234,2.8
수유2동_9,1109064010016,9,233,2.8
수유2동_10,1109064020002,10,232,2.8
수유2동_11,1109064020003,11,232,2.8
수유2동_12,1109064010003,12,224,2.7
수유2동_13,1109064010002,13,218,2.6
수유2동_14,1109064020304,14,212,2.6
수유2동_15,1109064010018,15,203,2.5
수유2동_16,1109064010009,16,201,2.4
수유2동_17,1109064010008,17,198,2.4
수유2동_18,1109064010010,18,195,2.4
수유2동_19,1109064010006,19,194,2.3
수유2동_20,1109064020001,20,191,2.3
수유2동_21,1109064020901,21,190,2.3
수유2동_22,1109064010001,22,189,2.3
수유2동_23,1109064020008,23,188,2.3
수유2동_24,1109064020902,24,187,2.3
수유2동_25,1109064010017,25,185,2.2
수유2동_26,1109064020904,26,179,2.2
수유2동_27,1109064010007,27,177,2.1
수유2동_28,1109064010005,28,172,2.1
수유2동_29,1109064020007,29,171,2.1
수유2동_30,1109064010012,30,165,2
수유2동_31,1109064020306,31,164,2
수유2동_32,1109064010015,32,160,1.9
수유2동_33,1109064020303,33,159,1.9
수유2동_34,1109064010014,34,156,1.9
수유2동_35,1109064010013,35,156,1.9
수유2동_36,1109064020308,36,149,1.8
수유2동_37,1109064010011,37,148,1.8
수유2동_38,1109064020301,38,146,1.8
수유2동_39,1109064020305,39,135,1.6
수유2동_40,1109064020302,40,135,1.6
수유2동_41,1109064020903,41,133,1.6
수유2동_42,1109064020309,42,127,1.5
수유2동_43,1109064020201,43,111,1.3
수유2동_44,1109064020307,44,110,1.3
