Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
½Ö¹®1µ¿_1,1110051020001,1,356,4.4
½Ö¹®1µ¿_2,1110051030005,2,314,3.9
½Ö¹®1µ¿_3,1110051030012,3,296,3.6
½Ö¹®1µ¿_4,1110051030018,4,274,3.4
½Ö¹®1µ¿_5,1110051020002,5,259,3.2
½Ö¹®1µ¿_6,1110051040003,6,255,3.1
½Ö¹®1µ¿_7,1110051030001,7,230,2.8
½Ö¹®1µ¿_8,1110051030017,8,219,2.7
½Ö¹®1µ¿_9,1110051030019,9,216,2.7
½Ö¹®1µ¿_10,1110051030011,10,212,2.6
½Ö¹®1µ¿_11,1110051030701,11,210,2.6
½Ö¹®1µ¿_12,1110051030014,12,210,2.6
½Ö¹®1µ¿_13,1110051030022,13,208,2.6
½Ö¹®1µ¿_14,1110051040001,14,207,2.6
½Ö¹®1µ¿_15,1110051040004,15,204,2.5
½Ö¹®1µ¿_16,1110051040102,16,204,2.5
½Ö¹®1µ¿_17,1110051030008,17,203,2.5
½Ö¹®1µ¿_18,1110051030021,18,202,2.5
½Ö¹®1µ¿_19,1110051030007,19,200,2.5
½Ö¹®1µ¿_20,1110051030302,20,184,2.3
½Ö¹®1µ¿_21,1110051010002,21,183,2.3
½Ö¹®1µ¿_22,1110051030003,22,181,2.2
½Ö¹®1µ¿_23,1110051030004,23,181,2.2
½Ö¹®1µ¿_24,1110051030016,24,172,2.1
½Ö¹®1µ¿_25,1110051030802,25,172,2.1
½Ö¹®1µ¿_26,1110051030020,26,159,2
½Ö¹®1µ¿_27,1110051010001,27,157,1.9
½Ö¹®1µ¿_28,1110051030006,28,154,1.9
½Ö¹®1µ¿_29,1110051020101,29,154,1.9
½Ö¹®1µ¿_30,1110051030002,30,153,1.9
½Ö¹®1µ¿_31,1110051030702,31,150,1.8
½Ö¹®1µ¿_32,1110051010003,32,146,1.8
½Ö¹®1µ¿_33,1110051030023,33,145,1.8
½Ö¹®1µ¿_34,1110051030010,34,143,1.8
½Ö¹®1µ¿_35,1110051030009,35,143,1.8
½Ö¹®1µ¿_36,1110051030101,36,141,1.7
½Ö¹®1µ¿_37,1110051030703,37,134,1.7
½Ö¹®1µ¿_38,1110051040005,38,131,1.6
½Ö¹®1µ¿_39,1110051030301,39,130,1.6
½Ö¹®1µ¿_40,1110051040101,40,119,1.5
½Ö¹®1µ¿_41,1110051030801,41,115,1.4
½Ö¹®1µ¿_42,1110051030015,42,110,1.4
½Ö¹®1µ¿_43,1110051030501,43,103,1.3
½Ö¹®1µ¿_44,1110051030013,44,40,0.5
½Ö¹®1µ¿_45,1110051040002,45,33,0.4
