Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
½Ö¹®1µ¿_1,1110051020001,1,101,15.9
½Ö¹®1µ¿_2,1110051020002,2,76,12
½Ö¹®1µ¿_3,1110051030001,3,74,11.7
½Ö¹®1µ¿_4,1110051030008,4,66,10.4
½Ö¹®1µ¿_5,1110051040102,5,32,5
½Ö¹®1µ¿_6,1110051030010,6,31,4.9
½Ö¹®1µ¿_7,1110051040001,7,27,4.3
½Ö¹®1µ¿_8,1110051010003,8,26,4.1
½Ö¹®1µ¿_9,1110051040003,9,23,3.6
½Ö¹®1µ¿_10,1110051040005,10,22,3.5
½Ö¹®1µ¿_11,1110051030016,11,21,3.3
½Ö¹®1µ¿_12,1110051030003,12,20,3.1
½Ö¹®1µ¿_13,1110051030023,13,14,2.2
½Ö¹®1µ¿_14,1110051030018,14,13,2
½Ö¹®1µ¿_15,1110051030015,15,12,1.9
½Ö¹®1µ¿_16,1110051030006,16,12,1.9
½Ö¹®1µ¿_17,1110051010002,17,12,1.9
½Ö¹®1µ¿_18,1110051030019,18,11,1.7
½Ö¹®1µ¿_19,1110051030014,19,8,1.3
½Ö¹®1µ¿_20,1110051030020,20,7,1.1
½Ö¹®1µ¿_21,1110051030021,21,6,0.9
½Ö¹®1µ¿_22,1110051030022,22,6,0.9
½Ö¹®1µ¿_23,1110051030802,23,5,0.8
½Ö¹®1µ¿_24,1110051030011,24,5,0.8
½Ö¹®1µ¿_25,1110051040004,25,5,0.8
