Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
½Ö¹®1µ¿_1,1110051030005,1,735,3.3
½Ö¹®1µ¿_2,1110051030018,2,723,3.3
½Ö¹®1µ¿_3,1110051020001,3,711,3.2
½Ö¹®1µ¿_4,1110051030012,4,701,3.2
½Ö¹®1µ¿_5,1110051030701,5,649,2.9
½Ö¹®1µ¿_6,1110051040002,6,640,2.9
½Ö¹®1µ¿_7,1110051020002,7,615,2.8
½Ö¹®1µ¿_8,1110051030302,8,583,2.6
½Ö¹®1µ¿_9,1110051030001,9,579,2.6
½Ö¹®1µ¿_10,1110051040102,10,575,2.6
½Ö¹®1µ¿_11,1110051030011,11,574,2.6
½Ö¹®1µ¿_12,1110051030017,12,572,2.6
½Ö¹®1µ¿_13,1110051040003,13,560,2.5
½Ö¹®1µ¿_14,1110051030019,14,556,2.5
½Ö¹®1µ¿_15,1110051030008,15,546,2.5
½Ö¹®1µ¿_16,1110051030014,16,520,2.4
½Ö¹®1µ¿_17,1110051010002,17,512,2.3
½Ö¹®1µ¿_18,1110051030022,18,511,2.3
½Ö¹®1µ¿_19,1110051040001,19,504,2.3
½Ö¹®1µ¿_20,1110051030802,20,494,2.2
½Ö¹®1µ¿_21,1110051030021,21,491,2.2
½Ö¹®1µ¿_22,1110051030101,22,490,2.2
½Ö¹®1µ¿_23,1110051030004,23,474,2.1
½Ö¹®1µ¿_24,1110051030013,24,470,2.1
½Ö¹®1µ¿_25,1110051020101,25,465,2.1
½Ö¹®1µ¿_26,1110051030007,26,459,2.1
½Ö¹®1µ¿_27,1110051030702,27,455,2.1
½Ö¹®1µ¿_28,1110051030016,28,432,2
½Ö¹®1µ¿_29,1110051010001,29,432,2
½Ö¹®1µ¿_30,1110051030301,30,430,1.9
½Ö¹®1µ¿_31,1110051040004,31,426,1.9
½Ö¹®1µ¿_32,1110051030003,32,423,1.9
½Ö¹®1µ¿_33,1110051030020,33,417,1.9
½Ö¹®1µ¿_34,1110051030009,34,406,1.8
½Ö¹®1µ¿_35,1110051010003,35,399,1.8
½Ö¹®1µ¿_36,1110051030703,36,396,1.8
½Ö¹®1µ¿_37,1110051030006,37,391,1.8
½Ö¹®1µ¿_38,1110051030002,38,375,1.7
½Ö¹®1µ¿_39,1110051030010,39,374,1.7
½Ö¹®1µ¿_40,1110051030023,40,369,1.7
½Ö¹®1µ¿_41,1110051030801,41,365,1.7
½Ö¹®1µ¿_42,1110051040005,42,356,1.6
½Ö¹®1µ¿_43,1110051040101,43,319,1.4
½Ö¹®1µ¿_44,1110051030015,44,313,1.4
½Ö¹®1µ¿_45,1110051030501,45,307,1.4
