항목,집계구번호,순위,값,비율(%)
우이동_1,1109074020004 ,1,254,3.2
우이동_2,1109074040010 ,2,237,3
우이동_3,1109074010009 ,3,232,3
우이동_4,1109074010012 ,4,232,3
우이동_5,1109074010018 ,5,222,2.8
우이동_6,1109074040001 ,6,220,2.8
우이동_7,1109074010011 ,7,217,2.8
우이동_8,1109074010014 ,8,216,2.8
우이동_9,1109074040006 ,9,214,2.7
우이동_10,1109074040002 ,10,213,2.7
우이동_11,1109074040009 ,11,211,2.7
우이동_12,1109074010002 ,12,210,2.7
우이동_13,1109074020003 ,13,210,2.7
우이동_14,1109074010003 ,14,208,2.7
우이동_15,1109074010004 ,15,205,2.6
우이동_16,1109074010007 ,16,201,2.6
우이동_17,1109074020005 ,17,194,2.5
우이동_18,1109074040004 ,18,187,2.4
우이동_19,1109074010013 ,19,183,2.3
우이동_20,1109074030001 ,20,182,2.3
우이동_21,1109074010010 ,21,182,2.3
우이동_22,1109074030004 ,22,180,2.3
우이동_23,1109074040003 ,23,179,2.3
우이동_24,1109074010008 ,24,175,2.2
우이동_25,1109074010015 ,25,173,2.2
우이동_26,1109074040007 ,26,172,2.2
우이동_27,1109074010001 ,27,172,2.2
우이동_28,1109074020001 ,28,170,2.2
우이동_29,1109074040005 ,29,169,2.2
우이동_30,1109074040008 ,30,168,2.1
우이동_31,1109074020006 ,31,167,2.1
우이동_32,1109074010017 ,32,167,2.1
우이동_33,1109074030002 ,33,166,2.1
우이동_34,1109074010005 ,34,164,2.1
우이동_35,1109074010016 ,35,163,2.1
우이동_36,1109074020002 ,36,154,2
우이동_37,1109074030003 ,37,145,1.9
우이동_38,1109074010101 ,38,145,1.9
우이동_39,1109074010501 ,39,141,1.8
우이동_40,1109074030005 ,40,141,1.8
우이동_41,1109074010102 ,41,118,1.5
우이동_42,1109074010502 ,42,118,1.5
우이동_43,1109074010006 ,43,44,0.6
