항목,집계구번호,순위,값,비율(%)
우이동_1,1109074020004 ,1,75,9.3
우이동_2,1109074010004 ,2,62,7.7
우이동_3,1109074040004 ,3,60,7.4
우이동_4,1109074020006 ,4,56,6.9
우이동_5,1109074010012 ,5,48,5.9
우이동_6,1109074010014 ,6,45,5.6
우이동_7,1109074020005 ,7,43,5.3
우이동_8,1109074010008 ,8,39,4.8
우이동_9,1109074020001 ,9,38,4.7
우이동_10,1109074040006 ,10,34,4.2
우이동_11,1109074040001 ,11,32,4
우이동_12,1109074040003 ,12,30,3.7
우이동_13,1109074010006 ,13,29,3.6
우이동_14,1109074010001 ,14,28,3.5
우이동_15,1109074010007 ,15,28,3.5
우이동_16,1109074040002 ,16,27,3.3
우이동_17,1109074030002 ,17,23,2.8
우이동_18,1109074030005 ,18,22,2.7
우이동_19,1109074010002 ,19,14,1.7
우이동_20,1109074010013 ,20,14,1.7
우이동_21,1109074040010 ,21,11,1.4
우이동_22,1109074030004 ,22,7,0.9
우이동_23,1109074010101 ,23,7,0.9
우이동_24,1109074010009 ,24,7,0.9
우이동_25,1109074020002 ,25,7,0.9
우이동_26,1109074010010 ,26,6,0.7
우이동_27,1109074040009 ,27,6,0.7
우이동_28,1109074030003 ,28,5,0.6
우이동_29,1109074010003 ,29,5,0.6
