항목,집계구번호,순위,값,비율(%)
우이동_1,1109074010018 ,1,215,3.5
우이동_2,1109074010009 ,2,206,3.4
우이동_3,1109074010012 ,3,190,3.1
우이동_4,1109074040010 ,4,189,3.1
우이동_5,1109074010014 ,5,185,3
우이동_6,1109074040002 ,6,184,3
우이동_7,1109074040001 ,7,180,2.9
우이동_8,1109074030004 ,8,173,2.8
우이동_9,1109074010011 ,9,172,2.8
우이동_10,1109074010002 ,10,171,2.8
우이동_11,1109074010013 ,11,164,2.7
우이동_12,1109074010004 ,12,161,2.6
우이동_13,1109074020003 ,13,160,2.6
우이동_14,1109074010005 ,14,157,2.6
우이동_15,1109074010017 ,15,156,2.5
우이동_16,1109074040006 ,16,153,2.5
우이동_17,1109074040005 ,17,149,2.4
우이동_18,1109074040009 ,18,146,2.4
우이동_19,1109074010101 ,19,144,2.3
우이동_20,1109074010501 ,20,141,2.3
우이동_21,1109074020002 ,21,139,2.3
우이동_22,1109074040004 ,22,138,2.2
우이동_23,1109074040008 ,23,137,2.2
우이동_24,1109074010010 ,24,137,2.2
우이동_25,1109074020005 ,25,135,2.2
우이동_26,1109074030001 ,26,132,2.2
우이동_27,1109074030002 ,27,131,2.1
우이동_28,1109074010008 ,28,130,2.1
우이동_29,1109074020004 ,29,129,2.1
우이동_30,1109074010003 ,30,127,2.1
우이동_31,1109074010015 ,31,126,2.1
우이동_32,1109074010007 ,32,125,2
우이동_33,1109074020001 ,33,122,2
우이동_34,1109074030005 ,34,120,2
우이동_35,1109074010502 ,35,118,1.9
우이동_36,1109074010102 ,36,118,1.9
우이동_37,1109074010001 ,37,116,1.9
우이동_38,1109074030003 ,38,113,1.8
우이동_39,1109074010016 ,39,112,1.8
우이동_40,1109074040003 ,40,106,1.7
우이동_41,1109074040007 ,41,106,1.7
우이동_42,1109074020006 ,42,88,1.4
우이동_43,1109074010006 ,43,36,0.6
