항목,집계구번호,순위,값,비율(%)
우이동_1,1109074010018 ,1,601,2.9
우이동_2,1109074040010 ,2,598,2.9
우이동_3,1109074010012 ,3,589,2.9
우이동_4,1109074010009 ,4,585,2.9
우이동_5,1109074010014 ,5,579,2.8
우이동_6,1109074040001 ,6,578,2.8
우이동_7,1109074010006 ,7,577,2.8
우이동_8,1109074020003 ,8,565,2.8
우이동_9,1109074010011 ,9,548,2.7
우이동_10,1109074040009 ,10,545,2.7
우이동_11,1109074040002 ,11,534,2.6
우이동_12,1109074010002 ,12,527,2.6
우이동_13,1109074040006 ,13,518,2.5
우이동_14,1109074020004 ,14,515,2.5
우이동_15,1109074010013 ,15,508,2.5
우이동_16,1109074010005 ,16,497,2.4
우이동_17,1109074010004 ,17,494,2.4
우이동_18,1109074030004 ,18,486,2.4
우이동_19,1109074030001 ,19,484,2.4
우이동_20,1109074010010 ,20,479,2.3
우이동_21,1109074020005 ,21,479,2.3
우이동_22,1109074040008 ,22,464,2.3
우이동_23,1109074010007 ,23,461,2.3
우이동_24,1109074010003 ,24,459,2.2
우이동_25,1109074010017 ,25,445,2.2
우이동_26,1109074040005 ,26,445,2.2
우이동_27,1109074040007 ,27,443,2.2
우이동_28,1109074040004 ,28,441,2.2
우이동_29,1109074030002 ,29,435,2.1
우이동_30,1109074010101 ,30,430,2.1
우이동_31,1109074010008 ,31,427,2.1
우이동_32,1109074040003 ,32,426,2.1
우이동_33,1109074010001 ,33,419,2
우이동_34,1109074020006 ,34,417,2
우이동_35,1109074020001 ,35,416,2
우이동_36,1109074020002 ,36,410,2
우이동_37,1109074030005 ,37,406,2
우이동_38,1109074010015 ,38,404,2
우이동_39,1109074010016 ,39,400,2
우이동_40,1109074010501 ,40,381,1.9
우이동_41,1109074030003 ,41,378,1.8
우이동_42,1109074010502 ,42,342,1.7
우이동_43,1109074010102 ,43,341,1.7
