항목,집계구번호,순위,값,비율(%)
인수동_1,1109075040020,1,324,2.6
인수동_2,1109075020001,2,299,2.4
인수동_3,1109075040011,3,282,2.3
인수동_4,1109075030007,4,238,1.9
인수동_5,1109075040013,5,236,1.9
인수동_6,1109075040005,6,234,1.9
인수동_7,1109075030014,7,229,1.9
인수동_8,1109075020005,8,228,1.9
인수동_9,1109075030003,9,227,1.9
인수동_10,1109075040017,10,226,1.8
인수동_11,1109075030004,11,225,1.8
인수동_12,1109075010013,12,225,1.8
인수동_13,1109075030010,13,225,1.8
인수동_14,1109075030009,14,223,1.8
인수동_15,1109075010014,15,222,1.8
인수동_16,1109075040007,16,217,1.8
인수동_17,1109075010005,17,215,1.8
인수동_18,1109075010004,18,214,1.7
인수동_19,1109075040019,19,212,1.7
인수동_20,1109075010010,20,212,1.7
인수동_21,1109075030008,21,210,1.7
인수동_22,1109075010101,22,207,1.7
인수동_23,1109075040004,23,202,1.6
인수동_24,1109075040016,24,202,1.6
인수동_25,1109075040021,25,200,1.6
인수동_26,1109075020003,26,200,1.6
인수동_27,1109075040018,27,199,1.6
인수동_28,1109075010011,28,197,1.6
인수동_29,1109075040009,29,197,1.6
인수동_30,1109075030011,30,197,1.6
인수동_31,1109075010002,31,194,1.6
인수동_32,1109075010008,32,194,1.6
인수동_33,1109075030012,33,193,1.6
인수동_34,1109075040012,34,191,1.6
인수동_35,1109075010012,35,190,1.5
인수동_36,1109075030001,36,189,1.5
인수동_37,1109075010103,37,186,1.5
인수동_38,1109075030018,38,184,1.5
인수동_39,1109075030015,39,182,1.5
인수동_40,1109075040015,40,182,1.5
인수동_41,1109075040014,41,182,1.5
인수동_42,1109075010102,42,181,1.5
인수동_43,1109075040003,43,178,1.5
인수동_44,1109075010007,44,177,1.4
인수동_45,1109075030017,45,175,1.4
인수동_46,1109075030006,46,173,1.4
인수동_47,1109075040008,47,173,1.4
인수동_48,1109075030013,48,172,1.4
인수동_49,1109075010001,49,171,1.4
인수동_50,1109075040002,50,170,1.4
인수동_51,1109075030016,51,169,1.4
인수동_52,1109075010009,52,169,1.4
인수동_53,1109075040010,53,168,1.4
인수동_54,1109075020004,54,168,1.4
인수동_55,1109075010006,55,167,1.4
인수동_56,1109075010003,56,160,1.3
인수동_57,1109075030005,57,158,1.3
인수동_58,1109075020002,58,154,1.3
인수동_59,1109075030002,59,153,1.2
인수동_60,1109075040006,60,147,1.2
인수동_61,1109075040022,61,147,1.2
인수동_62,1109075040001,62,140,1.1
