항목,집계구번호,순위,값,비율(%)
인수동_1,1109075020001,1,111,9.1
인수동_2,1109075020003,2,85,7
인수동_3,1109075030012,3,80,6.6
인수동_4,1109075010010,4,58,4.8
인수동_5,1109075040019,5,48,4
인수동_6,1109075010007,6,47,3.9
인수동_7,1109075010004,7,44,3.6
인수동_8,1109075040005,8,37,3
인수동_9,1109075030002,9,37,3
인수동_10,1109075030015,10,35,2.9
인수동_11,1109075030005,11,35,2.9
인수동_12,1109075040017,12,32,2.6
인수동_13,1109075010003,13,32,2.6
인수동_14,1109075010002,14,31,2.6
인수동_15,1109075020002,15,30,2.5
인수동_16,1109075010005,16,27,2.2
인수동_17,1109075030008,17,25,2.1
인수동_18,1109075030010,18,24,2
인수동_19,1109075030016,19,24,2
인수동_20,1109075030018,20,23,1.9
인수동_21,1109075030013,21,21,1.7
인수동_22,1109075030006,22,20,1.6
인수동_23,1109075010013,23,19,1.6
인수동_24,1109075030001,24,18,1.5
인수동_25,1109075020005,25,15,1.2
인수동_26,1109075030009,26,15,1.2
인수동_27,1109075030017,27,13,1.1
인수동_28,1109075020004,28,13,1.1
인수동_29,1109075040003,29,13,1.1
인수동_30,1109075010001,30,13,1.1
인수동_31,1109075010009,31,13,1.1
인수동_32,1109075030014,32,13,1.1
인수동_33,1109075010012,33,12,1
인수동_34,1109075040014,34,11,0.9
인수동_35,1109075010101,35,11,0.9
인수동_36,1109075040016,36,11,0.9
인수동_37,1109075010006,37,10,0.8
인수동_38,1109075040015,38,10,0.8
인수동_39,1109075030007,39,10,0.8
인수동_40,1109075010008,40,9,0.7
인수동_41,1109075030011,41,9,0.7
인수동_42,1109075040008,42,9,0.7
인수동_43,1109075040012,43,8,0.7
인수동_44,1109075030004,44,8,0.7
인수동_45,1109075040011,45,7,0.6
인수동_46,1109075040020,46,7,0.6
인수동_47,1109075010011,47,6,0.5
인수동_48,1109075040004,48,6,0.5
인수동_49,1109075040013,49,5,0.4
인수동_50,1109075040010,50,5,0.4
인수동_51,1109075040006,51,5,0.4
인수동_52,1109075040021,52,5,0.4
