항목,집계구번호,순위,값,비율(%)
인수동_1,1109075040020,1,792,2.5
인수동_2,1109075010013,2,602,1.9
인수동_3,1109075020001,3,601,1.9
인수동_4,1109075040009,4,598,1.9
인수동_5,1109075010101,5,596,1.9
인수동_6,1109075030007,6,595,1.9
인수동_7,1109075010005,7,591,1.9
인수동_8,1109075030014,8,587,1.9
인수동_9,1109075040005,9,578,1.9
인수동_10,1109075030010,10,576,1.8
인수동_11,1109075010004,11,574,1.8
인수동_12,1109075010014,12,573,1.8
인수동_13,1109075040011,13,567,1.8
인수동_14,1109075030003,14,566,1.8
인수동_15,1109075040019,15,562,1.8
인수동_16,1109075010103,16,560,1.8
인수동_17,1109075010010,17,558,1.8
인수동_18,1109075040007,18,557,1.8
인수동_19,1109075020003,19,551,1.8
인수동_20,1109075040013,20,547,1.8
인수동_21,1109075040015,21,547,1.8
인수동_22,1109075040017,22,546,1.7
인수동_23,1109075040016,23,541,1.7
인수동_24,1109075040018,24,536,1.7
인수동_25,1109075010102,25,532,1.7
인수동_26,1109075040004,26,529,1.7
인수동_27,1109075030009,27,527,1.7
인수동_28,1109075030008,28,524,1.7
인수동_29,1109075030004,29,522,1.7
인수동_30,1109075040021,30,510,1.6
인수동_31,1109075010011,31,506,1.6
인수동_32,1109075040012,32,493,1.6
인수동_33,1109075030012,33,488,1.6
인수동_34,1109075030011,34,485,1.6
인수동_35,1109075010008,35,485,1.6
인수동_36,1109075020005,36,484,1.6
인수동_37,1109075030001,37,479,1.5
인수동_38,1109075030017,38,476,1.5
인수동_39,1109075010012,39,473,1.5
인수동_40,1109075040002,40,455,1.5
인수동_41,1109075030015,41,454,1.5
인수동_42,1109075020002,42,452,1.4
인수동_43,1109075040003,43,449,1.4
인수동_44,1109075040014,44,448,1.4
인수동_45,1109075020004,45,443,1.4
인수동_46,1109075030016,46,443,1.4
인수동_47,1109075010002,47,443,1.4
인수동_48,1109075010006,48,443,1.4
인수동_49,1109075030013,49,440,1.4
인수동_50,1109075010003,50,432,1.4
인수동_51,1109075010009,51,428,1.4
인수동_52,1109075010007,52,427,1.4
인수동_53,1109075040010,53,420,1.3
인수동_54,1109075030006,54,417,1.3
인수동_55,1109075010001,55,416,1.3
인수동_56,1109075030005,56,412,1.3
인수동_57,1109075040008,57,407,1.3
인수동_58,1109075030018,58,405,1.3
인수동_59,1109075030002,59,399,1.3
인수동_60,1109075040001,60,397,1.3
인수동_61,1109075040022,61,391,1.3
인수동_62,1109075040006,62,386,1.2
