항목,집계구번호,순위,값,비율(%)
인수동_1,1109075040011,1,258,2.8
인수동_2,1109075040020,2,250,2.8
인수동_3,1109075040013,3,227,2.5
인수동_4,1109075010101,4,207,2.3
인수동_5,1109075010005,5,201,2.2
인수동_6,1109075040004,6,196,2.2
인수동_7,1109075040007,7,196,2.2
인수동_8,1109075010103,8,186,2.1
인수동_9,1109075030010,9,185,2
인수동_10,1109075040009,10,184,2
인수동_11,1109075010102,11,181,2
인수동_12,1109075010014,12,180,2
인수동_13,1109075010013,13,167,1.8
인수동_14,1109075040017,14,163,1.8
인수동_15,1109075030001,15,163,1.8
인수동_16,1109075030009,16,162,1.8
인수동_17,1109075040002,17,161,1.8
인수동_18,1109075040016,18,160,1.8
인수동_19,1109075010004,19,159,1.8
인수동_20,1109075040012,20,158,1.7
인수동_21,1109075030008,21,158,1.7
인수동_22,1109075030014,22,155,1.7
인수동_23,1109075010008,23,153,1.7
인수동_24,1109075040003,24,153,1.7
인수동_25,1109075010011,25,151,1.7
인수동_26,1109075020004,26,148,1.6
인수동_27,1109075040021,27,146,1.6
인수동_28,1109075040005,28,140,1.5
인수동_29,1109075010010,29,139,1.5
인수동_30,1109075040019,30,139,1.5
인수동_31,1109075040001,31,137,1.5
인수동_32,1109075030007,32,137,1.5
인수동_33,1109075020003,33,136,1.5
인수동_34,1109075040018,34,134,1.5
인수동_35,1109075030017,35,131,1.4
인수동_36,1109075020005,36,130,1.4
인수동_37,1109075040008,37,129,1.4
인수동_38,1109075030003,38,128,1.4
인수동_39,1109075030013,39,127,1.4
인수동_40,1109075030012,40,127,1.4
인수동_41,1109075010006,41,126,1.4
인수동_42,1109075010002,42,125,1.4
인수동_43,1109075040006,43,125,1.4
인수동_44,1109075010003,44,125,1.4
인수동_45,1109075010009,45,124,1.4
인수동_46,1109075040014,46,123,1.4
인수동_47,1109075040010,47,123,1.4
인수동_48,1109075030018,48,122,1.3
인수동_49,1109075040015,49,122,1.3
인수동_50,1109075020001,50,122,1.3
인수동_51,1109075030004,51,117,1.3
인수동_52,1109075010012,52,117,1.3
인수동_53,1109075030011,53,114,1.3
인수동_54,1109075010001,54,112,1.2
인수동_55,1109075030006,55,108,1.2
인수동_56,1109075030016,56,107,1.2
인수동_57,1109075030005,57,106,1.2
인수동_58,1109075030002,58,106,1.2
인수동_59,1109075020002,59,106,1.2
인수동_60,1109075040022,60,101,1.1
인수동_61,1109075030015,61,95,1
인수동_62,1109075010007,62,95,1
