Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
Á¤¸ª1µ¿_1,1108062020301,1,744,4.1
Á¤¸ª1µ¿_2,1108062010301,2,738,4
Á¤¸ª1µ¿_3,1108062020101,3,701,3.8
Á¤¸ª1µ¿_4,1108062020102,4,685,3.7
Á¤¸ª1µ¿_5,1108062020601,5,609,3.3
Á¤¸ª1µ¿_6,1108062010205,6,585,3.2
Á¤¸ª1µ¿_7,1108062020602,7,579,3.2
Á¤¸ª1µ¿_8,1108062020104,8,579,3.2
Á¤¸ª1µ¿_9,1108062020401,9,569,3.1
Á¤¸ª1µ¿_10,1108062010001,10,553,3
Á¤¸ª1µ¿_11,1108062010101,11,544,3
Á¤¸ª1µ¿_12,1108062010204,12,525,2.9
Á¤¸ª1µ¿_13,1108062010103,13,521,2.8
Á¤¸ª1µ¿_14,1108062020201,14,509,2.8
Á¤¸ª1µ¿_15,1108062010203,15,502,2.7
Á¤¸ª1µ¿_16,1108062010102,16,461,2.5
Á¤¸ª1µ¿_17,1108062010202,17,459,2.5
Á¤¸ª1µ¿_18,1108062020103,18,454,2.5
Á¤¸ª1µ¿_19,1108062020008,19,445,2.4
Á¤¸ª1µ¿_20,1108062020005,20,435,2.4
Á¤¸ª1µ¿_21,1108062010004,21,433,2.4
Á¤¸ª1µ¿_22,1108062020006,22,431,2.4
Á¤¸ª1µ¿_23,1108062020004,23,431,2.4
Á¤¸ª1µ¿_24,1108062020501,24,429,2.3
Á¤¸ª1µ¿_25,1108062020503,25,423,2.3
Á¤¸ª1µ¿_26,1108062020003,26,421,2.3
Á¤¸ª1µ¿_27,1108062020203,27,408,2.2
Á¤¸ª1µ¿_28,1108062010002,28,404,2.2
Á¤¸ª1µ¿_29,1108062020009,29,403,2.2
Á¤¸ª1µ¿_30,1108062020010,30,399,2.2
Á¤¸ª1µ¿_31,1108062020504,31,395,2.2
Á¤¸ª1µ¿_32,1108062010201,32,391,2.1
Á¤¸ª1µ¿_33,1108062010005,33,381,2.1
Á¤¸ª1µ¿_34,1108062020502,34,380,2.1
Á¤¸ª1µ¿_35,1108062020202,35,376,2.1
Á¤¸ª1µ¿_36,1108062010003,36,373,2
Á¤¸ª1µ¿_37,1108062020012,37,324,1.8
Á¤¸ª1µ¿_38,1108062020002,38,314,1.7
Á¤¸ª1µ¿_39,1108062020001,39,25,0.1
