Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
Á¤¸ª3µ¿_1,1108064030007,1,340,4.8
Á¤¸ª3µ¿_2,1108064030004,2,322,4.5
Á¤¸ª3µ¿_3,1108064010011,3,320,4.5
Á¤¸ª3µ¿_4,1108064030002,4,274,3.9
Á¤¸ª3µ¿_5,1108064030003,5,266,3.7
Á¤¸ª3µ¿_6,1108064010012,6,251,3.5
Á¤¸ª3µ¿_7,1108064030301,7,250,3.5
Á¤¸ª3µ¿_8,1108064020009,8,244,3.4
Á¤¸ª3µ¿_9,1108064020008,9,237,3.3
Á¤¸ª3µ¿_10,1108064020010,10,235,3.3
Á¤¸ª3µ¿_11,1108064010001,11,228,3.2
Á¤¸ª3µ¿_12,1108064020006,12,225,3.2
Á¤¸ª3µ¿_13,1108064010005,13,224,3.2
Á¤¸ª3µ¿_14,1108064020012,14,218,3.1
Á¤¸ª3µ¿_15,1108064030001,15,215,3
Á¤¸ª3µ¿_16,1108064010009,16,214,3
Á¤¸ª3µ¿_17,1108064010006,17,208,2.9
Á¤¸ª3µ¿_18,1108064020004,18,205,2.9
Á¤¸ª3µ¿_19,1108064030006,19,204,2.9
Á¤¸ª3µ¿_20,1108064010013,20,201,2.8
Á¤¸ª3µ¿_21,1108064030005,21,197,2.8
Á¤¸ª3µ¿_22,1108064010007,22,195,2.7
Á¤¸ª3µ¿_23,1108064020011,23,194,2.7
Á¤¸ª3µ¿_24,1108064020007,24,180,2.5
Á¤¸ª3µ¿_25,1108064020002,25,179,2.5
Á¤¸ª3µ¿_26,1108064010004,26,172,2.4
Á¤¸ª3µ¿_27,1108064020001,27,171,2.4
Á¤¸ª3µ¿_28,1108064020003,28,171,2.4
Á¤¸ª3µ¿_29,1108064020005,29,163,2.3
Á¤¸ª3µ¿_30,1108064020301,30,151,2.1
Á¤¸ª3µ¿_31,1108064010003,31,142,2
Á¤¸ª3µ¿_32,1108064010008,32,142,2
Á¤¸ª3µ¿_33,1108064020302,33,120,1.7
Á¤¸ª3µ¿_34,1108064010002,34,41,0.6
