Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
Á¤¸ª3µ¿_1,1108064030004,1,300,6.2
Á¤¸ª3µ¿_2,1108064030301,2,249,5.2
Á¤¸ª3µ¿_3,1108064030001,3,193,4
Á¤¸ª3µ¿_4,1108064030003,4,189,3.9
Á¤¸ª3µ¿_5,1108064030005,5,181,3.8
Á¤¸ª3µ¿_6,1108064010001,6,180,3.7
Á¤¸ª3µ¿_7,1108064020008,7,179,3.7
Á¤¸ª3µ¿_8,1108064010011,8,167,3.5
Á¤¸ª3µ¿_9,1108064010012,9,161,3.3
Á¤¸ª3µ¿_10,1108064020009,10,153,3.2
Á¤¸ª3µ¿_11,1108064020301,11,151,3.1
Á¤¸ª3µ¿_12,1108064030007,12,146,3
Á¤¸ª3µ¿_13,1108064020006,13,143,3
Á¤¸ª3µ¿_14,1108064010013,14,143,3
Á¤¸ª3µ¿_15,1108064020012,15,142,2.9
Á¤¸ª3µ¿_16,1108064030002,16,139,2.9
Á¤¸ª3µ¿_17,1108064020004,17,139,2.9
Á¤¸ª3µ¿_18,1108064020011,18,138,2.9
Á¤¸ª3µ¿_19,1108064010005,19,134,2.8
Á¤¸ª3µ¿_20,1108064020010,20,133,2.8
Á¤¸ª3µ¿_21,1108064020005,21,133,2.8
Á¤¸ª3µ¿_22,1108064020002,22,131,2.7
Á¤¸ª3µ¿_23,1108064010004,23,124,2.6
Á¤¸ª3µ¿_24,1108064020302,24,120,2.5
Á¤¸ª3µ¿_25,1108064010006,25,119,2.5
Á¤¸ª3µ¿_26,1108064010009,26,114,2.4
Á¤¸ª3µ¿_27,1108064030006,27,113,2.3
Á¤¸ª3µ¿_28,1108064010007,28,113,2.3
Á¤¸ª3µ¿_29,1108064020001,29,105,2.2
Á¤¸ª3µ¿_30,1108064010003,30,94,2
Á¤¸ª3µ¿_31,1108064010008,31,93,1.9
Á¤¸ª3µ¿_32,1108064020003,32,82,1.7
Á¤¸ª3µ¿_33,1108064020007,33,81,1.7
Á¤¸ª3µ¿_34,1108064010002,34,32,0.7
