Ç×¸ñ,Áý°è±¸¹øÈ£,¼øÀ§,°ª,ºñÀ²(%)
Á¤¸ª4µ¿_1,1108065020009,1,103,15.7
Á¤¸ª4µ¿_2,1108065020016,2,65,9.9
Á¤¸ª4µ¿_3,1108065020010,3,62,9.4
Á¤¸ª4µ¿_4,1108065010008,4,47,7.1
Á¤¸ª4µ¿_5,1108065010907,5,47,7.1
Á¤¸ª4µ¿_6,1108065020015,6,44,6.7
Á¤¸ª4µ¿_7,1108065010002,7,31,4.7
Á¤¸ª4µ¿_8,1108065020011,8,27,4.1
Á¤¸ª4µ¿_9,1108065020006,9,27,4.1
Á¤¸ª4µ¿_10,1108065010003,10,25,3.8
Á¤¸ª4µ¿_11,1108065010009,11,25,3.8
Á¤¸ª4µ¿_12,1108065010004,12,23,3.5
Á¤¸ª4µ¿_13,1108065010101,13,15,2.3
Á¤¸ª4µ¿_14,1108065010001,14,14,2.1
Á¤¸ª4µ¿_15,1108065010201,15,13,2
Á¤¸ª4µ¿_16,1108065020002,16,13,2
Á¤¸ª4µ¿_17,1108065020005,17,12,1.8
Á¤¸ª4µ¿_18,1108065010403,18,12,1.8
Á¤¸ª4µ¿_19,1108065010007,19,11,1.7
Á¤¸ª4µ¿_20,1108065020101,20,11,1.7
Á¤¸ª4µ¿_21,1108065020008,21,10,1.5
Á¤¸ª4µ¿_22,1108065020001,22,10,1.5
Á¤¸ª4µ¿_23,1108065020013,23,6,0.9
Á¤¸ª4µ¿_24,1108065020007,24,5,0.8
